,Poem Title,line
189,CONTENTS.,song of the mother whose children are fond of drawing
195,CONTENTS.,what a very rude little bird said to johnny this morning
200,CONTENTS.,a little song to sing to a little maid in a swing
228,CONTENTS.,the princess in saturn and the red man in mars
290,THE BABY'S FUTURE.,he will draw up his regiment all in a row
291,THE BABY'S FUTURE.,and flourish his sword in the face of the foe
296,THE BABY'S FUTURE.,with a fore and an aft and a tight little craft
299,THE BABY'S FUTURE.,he will hoist his sails with a yo heave ho
300,THE BABY'S FUTURE.,and take in his reefs when it comes on to blow
305,THE BABY'S FUTURE.,with a powder and pill and a nice little bill
309,THE BABY'S FUTURE.,with draughts that are black and with pills that are blue
310,THE BABY'S FUTURE.,and the chances will be when hes finished with you
314,THE BABY'S FUTURE.,with a bag and a fee and a legal decree
319,THE BABY'S FUTURE.,you would take to your heels when he came into view
464,JOHNNY'S BY-LOW SONG.,and the fat little clouds are asleep in the sky
629,THE BALLAD OF THE FAIRY SPOON.,but a wind came up to my poor little mouth
768,JINGLE.,i pulled down a cloud that was hiding the blue
841,THE BUMBLEBEE.,he flew to the top but he could not stop
842,THE BUMBLEBEE.,for he had to get home to his early tea
846,THE BUMBLEBEE.,but he made a mistake and flew into the lake
859,THE OWL AND THE EEL AND THE WARMING-PAN.,so they all came back by the way of the town
987,BABY'S BELONGINGS.,a bell that will ring and a bird that will sing
1055,BABY BO.,and bring him a posy to put in his cap
1103,LITTLE JOHN BOTTLEJOHN.,and he hopped and he skipped and he skipped and he hopped
1112,LITTLE JOHN BOTTLEJOHN.,and she said oh i never saw any one half
1121,LITTLE JOHN BOTTLEJOHN.,and i never shall quail at the sight of your tail
1123,LITTLE JOHN BOTTLEJOHN.,so he took her hand and he left the land
1201,ALICE'S SUPPER.,and this is the song that i hear them sing
1221,ALICE'S SUPPER.,and what in her hand is she bringing so fast
1222,ALICE'S SUPPER.,tis a plate full of something all yellow and white
1223,ALICE'S SUPPER.,and she sings as she comes with her smile so bright
1385,A SONG FOR HAL.,once i saw a little boat and a pretty pretty boat
1387,A SONG FOR HAL.,and into it i jumped and away i did float
1395,A SONG FOR HAL.,all the fishes were asleep in their caves cool and deep
1397,A SONG FOR HAL.,said the minnow to the skate we must certainly be late
1407,A SONG FOR HAL.,quoth he may i be boiled if ill have my slumber spoiled
1415,A SONG FOR HAL.,said the sturgeon to the eel just imagine how i feel
1417,A SONG FOR HAL.,people ought to let us know when asailing they would go
1425,A SONG FOR HAL.,just then up jumped the sun and the fishes every one
1427,A SONG FOR HAL.,but i stayed to hear no more for my boat had reached the shore
1554,THE QUEEN OF THE ORKNEY ISLANDS.,he can amble and prance like a peer of france
1566,THE QUEEN OF THE ORKNEY ISLANDS.,she can manage her train with an air of disdain
1571,THE QUEEN OF THE ORKNEY ISLANDS.,so well hire a hack and well take her straight back
1600,POT AND KETTLE.,_to be read to little boys and girls who quarrel with each
1606,POT AND KETTLE.,sure no one would think you were made of metal
1622,PUNKYDOODLE AND JOLLAPIN.,he takes it with melons he takes it with milk
1629,PUNKYDOODLE AND JOLLAPIN.,he takes it in latin he takes it in greek
1631,PUNKYDOODLE AND JOLLAPIN.,he takes it so strong that it makes him grin
1636,PUNKYDOODLE AND JOLLAPIN.,he takes it with splices he takes it with spars
1643,PUNKYDOODLE AND JOLLAPIN.,he takes it in bed he takes it in school
1645,PUNKYDOODLE AND JOLLAPIN.,he takes it with brandy and thinks it no sin
1663,MRS. SNIPKIN AND MRS. WOBBLECHIN.,_will_ you shut the window down youre freezing me to death
1666,MRS. SNIPKIN AND MRS. WOBBLECHIN.,there isnt air enough for me to draw my precious breath
1670,MRS. SNIPKIN AND MRS. WOBBLECHIN.,threw it straight across the room as hard as she could throw
1703,MY SUNBEAMS.,and brush me the gloom straight out of the room
1834,BIRD-SONG.,half the day is over now half our work is done
1836,BIRD-SONG.,feather flower leaf and stems all added one by one
1842,BIRD-SONG.,sinking down to rest with the sinking of the sun
1848,BIRD-SONG.,waking up once more to all the wonder of the world
1872,GEOGRAPHI.,but his heart was light and his ways were free
1895,GEOGRAPHI.,and i never set eyes on that man any more
1944,BELINDA BLONDE.,but to say she was happy would not be true
1945,BELINDA BLONDE.,for she pined for love of the great big jack
1950,BELINDA BLONDE.,and all the day long she would murmur and pout
1965,BELINDA BLONDE.,out with a yell and a shriek and a shout
1971,BELINDA BLONDE.,and with pain and with terror she fell down dead
2085,JANUARY 1.,and do my sums if i sit up all night
2087,JANUARY 1.,nurse never will say im not fit to be seen
2088,JANUARY 1.,i mean not to break even one of my toys
2091,JANUARY 1.,the best little girl in the world i shall be
2098,DECEMBER 31.,what you have done in the course of the year
2101,DECEMBER 31.,im afraid it has _not_ been a very good year
2106,DECEMBER 31.,and somehow nurse says i have made such a noise
2107,DECEMBER 31.,i might just as well have been one of the boys
2154,II.,they said with delight we will sit up all night
2156,II.,we will beat on our drums till the constable comes
2158,II.,we will toot the gay horn till the coming of morn
2166,III.,they made such a noise that the other small boys
2178,IV.,they thought twould be best for a moment to rest
2180,IV.,on the steps of a house they began to carouse
2202,VI.,with squeaks and with squeals did they take to their heels
2204,VI.,and he beat them with sticks and he kicked them with kicks
2206,VI.,and halfway up the street he pursued them so fleet
2216,VII.,they crept to their beds and they laid down their heads
2229,THE DANDY CAT.,im tormented my cat both by mouse and by rat
2234,THE DANDY CAT.,yet never a trace of the blood of your race
2244,THE DANDY CAT.,and his sword he girt on which had never been drawn
2254,THE DANDY CAT.,save the bone of a ham which lay cold and calm
2269,THE DANDY CAT.,she came to the door and she rated him sore
2282,THE DANDY CAT.,and now in this world twould be hard to find
2284,THE DANDY CAT.,a cat who cares less for the beauties of dress
2363,AN INDIAN BALLAD.,and each said to the other now what shall we do
2406,AN INDIAN BALLAD.,and they soon put an end to the guilty squaws
2411,AN INDIAN BALLAD.,while they drank to the health of the lovers so true
2420,THE EGG.,oh how shall i get it how shall i get it
2450,THE EGG.,oh how shall i get it how shall i get it
2457,THE EGG.,and you _never_ could guess where they all were hidden
2469,WOULDN'T.,and she _would_ put her foot in her sunday hat
2479,WOULDN'T.,and pray what could we do with a girl like this
2483,WOULDN'T.,and we kissed her and tossed her until she was fain
2532,I.,so he thought it was night and he went to bed
2597,TO THE LITTLE GIRL WHO WRIGGLES.,im sure all your joints must be sore my dear
2602,TO THE LITTLE GIRL WHO WRIGGLES.,oh how do you think you would feel my dear
2605,TO THE LITTLE GIRL WHO WRIGGLES.,and no sign of a toe or a heel my dear
2608,TO THE LITTLE GIRL WHO WRIGGLES.,and what do you think you would do my dear
2610,TO THE LITTLE GIRL WHO WRIGGLES.,where the prawns and the shrimps with their curls and their crimps
2614,TO THE LITTLE GIRL WHO WRIGGLES.,the crab he would give you a nip my dear
2615,TO THE LITTLE GIRL WHO WRIGGLES.,and the lobster would lend you a clip my dear
2616,TO THE LITTLE GIRL WHO WRIGGLES.,and perhaps if a shark should come by in the dark
2617,TO THE LITTLE GIRL WHO WRIGGLES.,down his throat you might happen to slip my dear
2620,TO THE LITTLE GIRL WHO WRIGGLES.,then try to sit still on your chair my dear
2621,TO THE LITTLE GIRL WHO WRIGGLES.,to your parents tis no more than fair my dear
2631,TO THE LITTLE GIRL WHO WRIGGLES.,_a story with a certain amount of truth in it_
2634,TO THE LITTLE GIRL WHO WRIGGLES.,the forty little ducklings who lived up at the farm
2635,TO THE LITTLE GIRL WHO WRIGGLES.,they said unto each other oh the day is very warm
2636,TO THE LITTLE GIRL WHO WRIGGLES.,they said unto each other oh the rivers very cool
2637,TO THE LITTLE GIRL WHO WRIGGLES.,the duck who did not seek it now would surely be a fool
2640,TO THE LITTLE GIRL WHO WRIGGLES.,and waddle waddle waddle was the gait at which they goed
2641,TO THE LITTLE GIRL WHO WRIGGLES.,the same it is not grammaryou may change it if you choose
2642,TO THE LITTLE GIRL WHO WRIGGLES.,but one cannot stop for trifles when inspired by the muse
2644,TO THE LITTLE GIRL WHO WRIGGLES.,they waddled and they waddled and they waddled on and on
2645,TO THE LITTLE GIRL WHO WRIGGLES.,till one remarked oh deary me where is the river gone
2646,TO THE LITTLE GIRL WHO WRIGGLES.,we asked the ancient gander and he said twas very near
2647,TO THE LITTLE GIRL WHO WRIGGLES.,he must have been deceiving us or else himself i fear
2649,TO THE LITTLE GIRL WHO WRIGGLES.,they waddled and they waddled till no further they could go
2650,TO THE LITTLE GIRL WHO WRIGGLES.,then down upon a mossy bank they sat them in a row
2651,TO THE LITTLE GIRL WHO WRIGGLES.,they took their little handkerchiefs and wept a little weep
2652,TO THE LITTLE GIRL WHO WRIGGLES.,and then they put away their heads and then they went to sleep
2654,TO THE LITTLE GIRL WHO WRIGGLES.,there came along a farmer with a basket on his arm
2655,TO THE LITTLE GIRL WHO WRIGGLES.,and all those little duckylings he took back to the farm
2656,TO THE LITTLE GIRL WHO WRIGGLES.,he put them in their little beds and wished them sweet repose
2659,TO THE LITTLE GIRL WHO WRIGGLES.,next day these little ducklings they were very very ill
2660,TO THE LITTLE GIRL WHO WRIGGLES.,their mother sent for doctor quack who gave them each a pill
2661,TO THE LITTLE GIRL WHO WRIGGLES.,but soon as they recovered the first thing that they did
2662,TO THE LITTLE GIRL WHO WRIGGLES.,was to peck the ancient gander till he ran away and hid
2727,A VALENTINE.,for a bud to tell of my love so true
2729,A VALENTINE.,and the snow beats down on my poor little head
2783,SOMEBODY'S BOY (NOT MINE).,and when he was in he cried to get out
2789,SOMEBODY'S BOY (NOT MINE).,and what shall we do to this bad little man
2793,SOMEBODY'S BOY (NOT MINE).,and when he was warm he cried to be cold
2799,SOMEBODY'S BOY (NOT MINE).,and what shall we do to this bad little man
2823,BOGY.,and if ever they try to get out you see
2826,BOGY.,_here mamma may toss the little boy up in the air or shake
2827,BOGY.,him or tickle his little chin whichever he likes best_
2832,BOGY.,but it gives me a great deal of pain dears
2834,BOGY.,or the king will be after you some fine day
2846,THE MERMAIDENS.,and their neat little tails are all covered with scales
2851,THE MERMAIDENS.,they swim all the night with a smile of delight
2861,THE PHRISKY PHROG,of their lives and their loves their joys and their woes
2865,THE PHRISKY PHROG,the snayle in a hole in the end of a log
2871,THE PHRISKY PHROG,while her lover replied that a hole in a log
2880,THE PHRISKY PHROG,where theres plenty to drink and the same to eat
2961,THE BOY AND THE BROOK.,said the boy to the brook that was rippling away
2963,THE BOY AND THE BROOK.,oh stay with me play with me all the day long
2965,THE BOY AND THE BROOK.,said the brook to the boy as it hurried away
2966,THE BOY AND THE BROOK.,and ist for my music you ask me to stay
2968,THE BOY AND THE BROOK.,should i pause for an instant my song would be hushed
2970,THE BOY AND THE BROOK.,said the boy to the wind that was fluttering past
2972,THE BOY AND THE BROOK.,oh stay with me play with me fan my hot brow
2974,THE BOY AND THE BROOK.,said the wind to the boy as it hurried away
2975,THE BOY AND THE BROOK.,and ist for my coolness you ask me to stay
2977,THE BOY AND THE BROOK.,should i pause for an instant that instant were death
2979,THE BOY AND THE BROOK.,said the boy to the day that was hurrying by
2981,THE BOY AND THE BROOK.,oh stay with me play with me just as you are
2983,THE BOY AND THE BROOK.,said the day to the boy as it hurried away
2984,THE BOY AND THE BROOK.,and ist for my brightness you ask me to stay
2985,THE BOY AND THE BROOK.,know the jewel of day would no longer seem bright
2986,THE BOY AND THE BROOK.,if it were not clasped round by the setting of night
3006,THE SHARK.,for they said such a sound in the country round
3009,THE SHARK.,he sang of the ships that hed eaten like chips
3011,THE SHARK.,and he added if you dont believe it is true
3014,THE SHARK.,he sang of the whales whod have given their tails
3026,THE SHARK.,though he said it is queer that no one draws near
3031,THE SHARK.,and ill wager a crown that unless hes come down
3177,LITTLE BLACK MONKEY.,i took up my gun and i said now why
3180,LITTLE BLACK MONKEY.,it may be your head or it may be your heart
3201,JIPPY AND JIMMY.,and they got very wet for their clothes were thin
3210,JIPPY AND JIMMY.,and we wont go to sail until we learn how
3224,MASTER JACK'S SONG.,you may talk about your moonlit waves that fall and flow
3266,MASTER JACK'S SONG.,never tell me of your meadows where the breezes blow
3284,MOTHER ROSEBUSH.,there are roses that grow on a vine on a vine
3310,MOTHER ROSEBUSH.,you train up your buds in the way they should go
3324,MOTHER ROSEBUSH.,oh fair is the rose on the vine on the vine
3331,MOTHER ROSEBUSH.,for if you are my daughter it stands to reason
3342,THE FIVE LITTLE PRINCESSES.,but one nose turned up and another nose turned down
3343,THE FIVE LITTLE PRINCESSES.,so all these little princesses were lost in the town
3417,"THE THREE LITTLE CHICKENS WHO WENT OUT TO TEA, AND THE ELEPHANT.",the three little chickens who went out to tea and the elephant
3603,ALIBAZAN.,he made me a bow and he made me three
3626,ALIBAZAN.,but he turned from them all to look on me
3873,A HOWL ABOUT AN OWL.,but youll look twice as well when ive bought you a wig
3874,A HOWL ABOUT AN OWL.,and ill teach you the lancers and the chorus jig
3878,A HOWL ABOUT AN OWL.,ill feed you with honey when the moon grows pale
3880,A HOWL ABOUT AN OWL.,ill hum you a hymn and ill sing you a scale
3881,A HOWL ABOUT AN OWL.,till you quiver with delight to the tip of your tail
3887,A HOWL ABOUT AN OWL.,but the sun was so bright that he could not see
3916,OUR CELEBRATION.,big hole in his jacket and another in his pocket
4038,MASTER JACK'S VIEWS.,id warm my hands at the gate of the sun
4053,MASTER JACK'S VIEWS.,id race with the comets id flirt with the moon
4055,MASTER JACK'S VIEWS.,till the whole solar system should hold up its hands
4090,EMILY JANE.,a hole for an eye and a lump for a nose
4093,EMILY JANE.,the half of one legs the extent of her charms
4097,EMILY JANE.,and now shall i bring you a fine new head
4101,EMILY JANE.,or ill buy you a dress of satin so fine
4107,EMILY JANE.,and ill buy you a doll all whole and new
4118,SONG OF THE MOTHER WHOSE CHILDREN ARE FOND OF DRAWING.,song of the mother whose children are fond of drawing
4174,THE SEVEN LITTLE TIGERS AND THE AGED COOK.,and each of the troop had a little plate of soup
4177,THE SEVEN LITTLE TIGERS AND THE AGED COOK.,they were feeling rather cross for they hadnt any sauce
4179,THE SEVEN LITTLE TIGERS AND THE AGED COOK.,so they rumpled up their hair in a spasm of despair
4182,THE SEVEN LITTLE TIGERS AND THE AGED COOK.,then they called the aged cook and a fryingpan they took
4192,THE SEVEN LITTLE TIGERS AND THE AGED COOK.,then he said unto the rest it has always been confessed
4194,THE SEVEN LITTLE TIGERS AND THE AGED COOK.,so ill fry him for you now and you all will find i trow
4195,THE SEVEN LITTLE TIGERS AND THE AGED COOK.,that to eat him will be much the better plan
4197,THE SEVEN LITTLE TIGERS AND THE AGED COOK.,so they tried it in a trice and found that it was nice
4199,THE SEVEN LITTLE TIGERS AND THE AGED COOK.,and they said by hook or crook we must keep this aged cook
4391,THE LITTLE COSSACK.,and when he was found to be not at home
4433,WHAT A VERY RUDE LITTLE BIRD SAID TO JOHNNY THIS MORNING.,what a very rude little bird said to johnny this morning
4459,WHAT A VERY RUDE LITTLE BIRD SAID TO JOHNNY THIS MORNING.,but stay here and talk to the like of you
4617,SOME FISHY NONSENSE.,that things with no legs should pretend to be frogs
4672,LADY'S SLIPPER.,but all would not do and with one wee shoe
4677,LADY'S SLIPPER.,for i am no elf yet i found it myself
4688,A LITTLE SONG TO SING TO A LITTLE MAID IN A SWING.,a little song to sing to a little maid in a swing
4758,BETTY IN BLOSSOM-TIME.,look how it laughs from her lips and her eyes
4759,BETTY IN BLOSSOM-TIME.,think you the sun there would shine on without her
4760,BETTY IN BLOSSOM-TIME.,nay tis her smile keeps the gray from the skies
4764,BETTY IN BLOSSOM-TIME.,day holds his breath and night comes up to look at her
4794,BETTY'S SONG.,and a patting down the hands that want to play
4822,A NONSENSE TRAGEDY.,oh said the owl but the sun is so bright
4856,A NONSENSE TRAGEDY.,as she laughed ho ho as she laughed he he
5044,MY UNCLE JEHOSHAPHAT.,and they both rode to town on the brindled calf
5683,THE PALACE,and on them you see as plain as can be
5772,MAY.,i think i shall make the best use of my powers
5779,MAY.,and how you are fair and how you are sweet
5795,GREGORY GRIGGS.,but he never could tell which he liked the best
5904,THE PRINCESS IN SATURN AND THE RED MAN IN MARS.,the princess in saturn and the red man in mars
5932,THE PRINCESS IN SATURN AND THE RED MAN IN MARS.,i will give you his monkey be sure of that
5939,THE PRINCESS IN SATURN AND THE RED MAN IN MARS.,and the small one to lace up your boots beside
5940,THE PRINCESS IN SATURN AND THE RED MAN IN MARS.,to lace up your boots and to shine them beside
