,Poem Title,line
1307,* P. 62.,while most of laniers poems are in a serious strain
1308,* P. 62.,several disclose no mean sense of humor  i refer to his dialect poems
1309,* P. 62.,such as joness private argyment uncle jims baptist revival hymn
1310,* P. 62.,and the power of prayer especially the last written in conjunction
1313,* P. 62.,there are passages in the poems no less pathetic than the poets life
1314,* P. 62.,in discussing his love of nature we have seen that he was a pantheist
1315,* P. 62.,in the best sense of the term  so delicate was his sensibility
1316,* P. 62.,that we do not wonder when we hear him declaring
1321,* P. 62.,a saying as felicitous as the romans i am a man and therefore
1323,* P. 62.,the ballad of trees and the master must touch all readers
1324,* P. 62.,few passages are more pathetic i think than that in june dreams
1325,* P. 62.,in january telling of the poets struggle for bread and fame
1326,* P. 62.,while his worshipful sweet wife sat still afar within the village
1327,* P. 62.,whence she sent him forth waiting all confident and proud and calm
1328,* P. 62.,and if there occurs therein a plaintive tone let us remember
1329,* P. 62.,that it is the only time that he complained of his lot
1330,* P. 62.,and that here really he has more in mind his dearer self his wife
1331,* P. 62.,and that calm succeeded to unrest just as it does in this passage
1357,* P. 62.,it is now time to say a word about laniers theory of art
1358,* P. 62.,especially the art of poetry  his views upon the formal side of poetry have
1359,* P. 62.,already been noticed in the consideration of his science of english verse
1362,* P. 62.,that lanier keenly appreciated the responsibility resting upon the artist
1369,* P. 62.,each artist  gift of terror  owns his will2
1383,* P. 62.,again the province of poetry is pointed out as in clover
1394,* P. 62.,in corn3 too the tall corncaptain types the poetsoul sublime
1402,* P. 62.,but it is in his prose works that lanier has treated the matter
1403,* P. 62.,most at length and to these i turn  in the first place
1404,* P. 62.,he insists that to be an artist one must know a great deal
1405,* P. 62.,a statement that would appear superfluous but for its frequent overlooking
1406,* P. 62.,by wouldbe artists  hence he is right in warning young writers
1407,* P. 62.,you need not dream of winning the attention of sober people with your poetry
1408,* P. 62.,unless that poetry and your soul behind it are informed and saturated
1409,* P. 62.,with at least the largest final conceptions of current science
1410,* P. 62.,that lanier strove to follow this precept we have abundant evidence
1411,* P. 62.,in his life and in his works and i think that if we remember
1412,* P. 62.,his environments we must wonder at the vastness the accuracy
1413,* P. 62.,and the variety of his knowledge  as additionally illustrative of the last
1414,* P. 62.,i may add that lanier invented some improvements for the flute
1415,* P. 62.,and made a discovery in the physics of music that the professor of physics
1423,* P. 62.,in the second place lanier thinks that a poets knowledge of his art
1424,* P. 62.,should be scientific  it was this that led him to write
1425,* P. 62.,the science of english verse the motto of which is
1426,* P. 62.,but the best conceptions cannot be save where science and genius are
1427,* P. 62.,in the english novel he declares that not a single verse
1428,* P. 62.,was ever written by instinct alone since the world began
1429,* P. 62.,and fortifies his statement by ben jonsons tribute to shakespeare 
1434,* P. 62.,but lanier clearly saw that no formal laws and no amount
1435,* P. 62.,of scientific knowledge could alone make a poet as appears from the motto
1436,* P. 62.,above quoted from the closing chapter of the science of english verse
1437,* P. 62.,which tells us that the educated love of beauty is the artists only law
1438,* P. 62.,and from this other motto from sir philip sidney  a poet
1439,* P. 62.,no industrie can make if his owne genius bee not carried unto it
1445,* P. 62.,in the third place lanier holds that a moral intention on the part
