,Poem Title,line
60,I,in the acadian land on the shores of the basin of minas
62,I,lay in the fruitful valley  vast meadows stretched to the eastward
63,I,giving the village its name and pasture to flocks without number
64,I,dikes that the hands of the farmers had raised with labor incessant
65,I,shut out the turbulent tides but at stated seasons the floodgates
66,I,opened and welcomed the sea to wander at will oer the meadows
67,I,west and south there were fields of flax and orchards and cornfields
68,I,spreading afar and unfenced oer the plain and away to the northward
69,I,blomidon rose and the forests old and aloft on the mountains
70,I,seafogs pitched their tents and mists from the mighty atlantic
71,I,looked on the happy valley but neer from their station descended
72,I,there in the midst of its farms reposed the acadian village
73,I,strongly built were the houses with frames of oak and of chestnut
74,I,such as the peasants of normandy built in the reign of the henries
77,I,there in the tranquil evenings of summer when brightly the sunset
78,I,lighted the village street and gilded the vanes on the chimneys
79,I,matrons and maidens sat in snowwhite caps and in kirtles
80,I,scarlet and blue and green with distaffs spinning the golden
81,I,flax for the gossiping looms whose noisy shuttles within doors
82,I,mingled their sound with the whir of the wheels and the songs of the maidens
83,I,solemnly down the street came the parish priest and the children
84,I,paused in their play to kiss the hand he extended to bless them
85,I,reverend walked he among them and up rose matrons and maidens
87,I,then came the laborers home from the field and serenely the sun sank
88,I,down to his rest and twilight prevailed  anon from the belfry
89,I,softly the angelus sounded and over the roofs of the village
90,I,columns of pale blue smoke like clouds of incense ascending
91,I,rose from a hundred hearths the homes of peace and contentment
93,I,dwelt in the love of god and of man  alike were they free from
94,I,fear that reigns with the tyrant and envy the vice of republics
95,I,neither locks had they to their doors nor bars to their windows
96,I,but their dwellings were open as day and the hearts of the owners
97,I,there the richest was poor and the poorest lived in abundance
99,I,somewhat apart from the village and nearer the basin of minas
101,I,dwelt on his goodly acres and with him directing his household
102,I,gentle evangeline lived his child and the pride of the village
103,I,stalworth and stately in form was the man of seventy winters
104,I,hearty and hale was he an oak that is covered with snowflakes
105,I,white as the snow were his locks and his cheeks as brown as the oakleaves
106,I,fair was she to behold that maiden of seventeen summers
107,I,black were her eyes as the berry that grows on the thorn by the wayside
108,I,black yet how softly they gleamed beneath the brown shade of her tresses
109,I,sweet was her breath as the breath of kine that feed in the meadows
110,I,when in the harvest heat she bore to the reapers at noontide
111,I,flagons of homebrewed ale ah fair in sooth was the maiden
112,I,fairer was she when on sunday morn while the bell from its turret
113,I,sprinkled with holy sounds the air as the priest with his hyssop
115,I,down the long street she passed with her chaplet of beads and her missal
116,I,wearing her norman cap and her kirtle of blue and the earrings
117,I,brought in the olden time from france and since as an heirloom
120,I,shone on her face and encircled her form when after confession
122,I,when she had passed it seemed like the ceasing of exquisite music
124,I,firmly builded with rafters of oak the house of the farmer
125,I,stood on the side of a hill commanding the sea and a shady
126,I,sycamore grew by the door with a woodbine wreathing around it
127,I,rudely carved was the porch with seats beneath and a footpath
128,I,led through an orchard wide and disappeared in the meadow
130,I,such as the traveller sees in regions remote by the roadside
131,I,built oer a box for the poor or the blessed image of mary
132,I,farther down on the slope of the hill was the well with its mossgrown
133,I,bucket fastened with iron and near it a trough for the horses
134,I,shielding the house from storms on the north were the barns and the farmyard
135,I,there stood the broadwheeled wains and the antique ploughs and the harrows
136,I,there were the folds for the sheep and there in his feathered seraglio
137,I,strutted the lordly turkey and crowed the cock with the selfsame
138,I,voice that in ages of old had startled the penitent peter
139,I,bursting with hay were the barns themselves a village  in each one
140,I,far oer the gable projected a roof of thatch and a staircase
141,I,under the sheltering eaves led up to the odorous cornloft
142,I,there too the dovecot stood with its meek and innocent inmates
143,I,murmuring ever of love while above in the variant breezes
146,I,thus at peace with god and the world the farmer of grandpré
147,I,lived on his sunny farm and evangeline governed his household
148,I,many a youth as he knelt in the church and opened his missal
