,Poem Title,line
0,I,in the acadian land on the shores of the basin of minas
1,I,lay in the fruitful valley  vast meadows stretched to the eastward
2,I,giving the village its name and pasture to flocks without number
3,I,dikes that the hands of the farmers had raised with labor incessant
4,I,shut out the turbulent tides but at stated seasons the floodgates
5,I,opened and welcomed the sea to wander at will oer the meadows
6,I,west and south there were fields of flax and orchards and cornfields
7,I,spreading afar and unfenced oer the plain and away to the northward
8,I,blomidon rose and the forests old and aloft on the mountains
9,I,seafogs pitched their tents and mists from the mighty atlantic
10,I,looked on the happy valley but neer from their station descended
11,I,there in the midst of its farms reposed the acadian village
12,I,strongly built were the houses with frames of oak and of chestnut
13,I,such as the peasants of normandy built in the reign of the henries
14,I,there in the tranquil evenings of summer when brightly the sunset
15,I,lighted the village street and gilded the vanes on the chimneys
16,I,matrons and maidens sat in snowwhite caps and in kirtles
17,I,scarlet and blue and green with distaffs spinning the golden
18,I,flax for the gossiping looms whose noisy shuttles within doors
19,I,mingled their sound with the whir of the wheels and the songs of the maidens
20,I,solemnly down the street came the parish priest and the children
21,I,paused in their play to kiss the hand he extended to bless them
22,I,reverend walked he among them and up rose matrons and maidens
23,I,then came the laborers home from the field and serenely the sun sank
24,I,down to his rest and twilight prevailed  anon from the belfry
25,I,softly the angelus sounded and over the roofs of the village
26,I,columns of pale blue smoke like clouds of incense ascending
27,I,rose from a hundred hearths the homes of peace and contentment
28,I,dwelt in the love of god and of man  alike were they free from
29,I,fear that reigns with the tyrant and envy the vice of republics
30,I,neither locks had they to their doors nor bars to their windows
31,I,but their dwellings were open as day and the hearts of the owners
32,I,there the richest was poor and the poorest lived in abundance
33,I,somewhat apart from the village and nearer the basin of minas
34,I,dwelt on his goodly acres and with him directing his household
35,I,gentle evangeline lived his child and the pride of the village
36,I,stalworth and stately in form was the man of seventy winters
37,I,hearty and hale was he an oak that is covered with snowflakes
38,I,white as the snow were his locks and his cheeks as brown as the oakleaves
39,I,fair was she to behold that maiden of seventeen summers
40,I,black were her eyes as the berry that grows on the thorn by the wayside
41,I,black yet how softly they gleamed beneath the brown shade of her tresses
42,I,sweet was her breath as the breath of kine that feed in the meadows
43,I,when in the harvest heat she bore to the reapers at noontide
44,I,flagons of homebrewed ale ah fair in sooth was the maiden
45,I,fairer was she when on sunday morn while the bell from its turret
46,I,sprinkled with holy sounds the air as the priest with his hyssop
47,I,down the long street she passed with her chaplet of beads and her missal
48,I,wearing her norman cap and her kirtle of blue and the earrings
49,I,brought in the olden time from france and since as an heirloom
50,I,shone on her face and encircled her form when after confession
51,I,when she had passed it seemed like the ceasing of exquisite music
52,I,firmly builded with rafters of oak the house of the farmer
53,I,stood on the side of a hill commanding the sea and a shady
54,I,sycamore grew by the door with a woodbine wreathing around it
55,I,rudely carved was the porch with seats beneath and a footpath
56,I,led through an orchard wide and disappeared in the meadow
57,I,such as the traveller sees in regions remote by the roadside
58,I,built oer a box for the poor or the blessed image of mary
59,I,farther down on the slope of the hill was the well with its mossgrown
60,I,bucket fastened with iron and near it a trough for the horses
61,I,shielding the house from storms on the north were the barns and the farmyard
62,I,there stood the broadwheeled wains and the antique ploughs and the harrows
63,I,there were the folds for the sheep and there in his feathered seraglio
64,I,strutted the lordly turkey and crowed the cock with the selfsame
65,I,voice that in ages of old had startled the penitent peter
66,I,bursting with hay were the barns themselves a village  in each one
67,I,far oer the gable projected a roof of thatch and a staircase
68,I,under the sheltering eaves led up to the odorous cornloft
69,I,there too the dovecot stood with its meek and innocent inmates
70,I,murmuring ever of love while above in the variant breezes
71,I,thus at peace with god and the world the farmer of grandpré
72,I,lived on his sunny farm and evangeline governed his household
73,I,many a youth as he knelt in the church and opened his missal
74,I,fixed his eyes upon her as the saint of his deepest devotion
75,I,happy was he who might touch her hand or the hem of her garment
76,I,many a suitor came to her door by the darkness befriended
77,I,and as he knocked and waited to hear the sound of her footsteps
