,Poem Title,line
29,MDCCCLXXXV,many of these verses have appeared in periodicals english or american
30,MDCCCLXXXV,and some were published in an american collection called _ballades and
31,MDCCCLXXXV,verses vain_  none of them have previously been put forth in book form
32,MDCCCLXXXV,in england  the _rondeaux of the galleries_ were published in the
33,MDCCCLXXXV,_magazine of art_ and are reprinted by permission of messrs cassell and
324,A DREAM IN JUNE.,who also had rhymed on the fortune islands of lucian
719,TO C. H. ARKCOLL,the summer is queen in the length of the land
721,TO C. H. ARKCOLL,when fans for a penny are sold in the strand
730,TO C. H. ARKCOLL,when fans for a penny are sold in the strand
736,TO C. H. ARKCOLL,and its oh to sail with the wind to steer
739,TO C. H. ARKCOLL,when fans for a penny are sold in the strand
746,ENVOY.,when fans for a penny are sold in the strand
904,SAN TERENZO.,the village in the bay of spezia near which shelley was living before
1070,TO T. W. LANG.,here shalt thou make a five and there a four
1108,THE LAST MAYING.,it is told of the last lovers which watched maynight in the forest
1109,THE LAST MAYING.,before men brought the tidings of the gospel to this land that they
1110,THE LAST MAYING.,beheld no fairies nor dwarfs nor no such thing but the very venus
1111,THE LAST MAYING.,herself who bade them make such cheer as they might for said she
1112,THE LAST MAYING.,i shall live no more in these woods nor shall ye endure to see
1116,THE LAST MAYING.,whence do ye come with the dew on your hair
1134,THE LAST MAYING.,the face that is flushed with her joy and shame
1156,THE LAST MAYING.,ye shall walk no more with the may she said
1167,THE LAST MAYING.,ye shall play no more with the fauns i wis
1193,HOMERIC UNITY.,and strives to rend thy songs too blind to see
1209,ELLE.,nay from the sea there came a ghost that kissed
1219,ELLE.,nay for his arms are cold and strong to bind
1220,ELLE.,and i must dwell with him and make my home
1239,PISIDICÊ.,the incident is from the love stories of parthenius who preserved
1240,PISIDICÊ.,fragments of a lost epic on the expedition of achilles against lesbos an
1330,Ο ΕΡΩΤΑΣ ’Σ ΤΟΝ ΤΑΦΟ.,and left him to his rest  an end of love
1337,Ο ΕΡΩΤΑΣ ’Σ ΤΟΝ ΤΑΦΟ.,and graves give up their ghosts he will not rise
1398,BALLADE OF A FRIAR.,others has not hitherto been rendered into the original measure of
1522,(FROM ARISTOPHANES.),hither come hither ye clouds renowned and unveil yourselves here
1523,(FROM ARISTOPHANES.),come though ye dwell on the sacred crests of olympian snow
1524,(FROM ARISTOPHANES.),or whether ye dance with the nereid choir in the gardens clear
1525,(FROM ARISTOPHANES.),or whether your golden urns are dipped in niles overflow
1528,(FROM ARISTOPHANES.),and hearken to us and accept our gifts ere ye rise and go
1544,(FROM ARISTOPHANES.),from the height of the heaven on the land and air
1552,(FROM ARISTOPHANES.),and the gifts of the gods that know not stain
1679,ART’S MARTYR.,telleth of a young man that fain would be fairly tattooed on his flesh
1680,ART’S MARTYR.,after the heathen manner in devices of blue and that falling among the
