,Poem Title,line
0,MDCCCLXXXV,many of these verses have appeared in periodicals english or american
1,MDCCCLXXXV,and some were published in an american collection called _ballades and
2,MDCCCLXXXV,verses vain_  none of them have previously been put forth in book form
3,MDCCCLXXXV,in england  the _rondeaux of the galleries_ were published in the
4,MDCCCLXXXV,_magazine of art_ and are reprinted by permission of messrs cassell and
5,A DREAM IN JUNE.,who also had rhymed on the fortune islands of lucian
6,TO C. H. ARKCOLL,the summer is queen in the length of the land
7,TO C. H. ARKCOLL,when fans for a penny are sold in the strand
8,TO C. H. ARKCOLL,when fans for a penny are sold in the strand
9,TO C. H. ARKCOLL,and its oh to sail with the wind to steer
10,TO C. H. ARKCOLL,when fans for a penny are sold in the strand
11,ENVOY.,when fans for a penny are sold in the strand
12,SAN TERENZO.,the village in the bay of spezia near which shelley was living before
13,TO T. W. LANG.,here shalt thou make a five and there a four
14,THE LAST MAYING.,it is told of the last lovers which watched maynight in the forest
15,THE LAST MAYING.,before men brought the tidings of the gospel to this land that they
16,THE LAST MAYING.,beheld no fairies nor dwarfs nor no such thing but the very venus
17,THE LAST MAYING.,herself who bade them make such cheer as they might for said she
18,THE LAST MAYING.,i shall live no more in these woods nor shall ye endure to see
19,THE LAST MAYING.,whence do ye come with the dew on your hair
20,THE LAST MAYING.,the face that is flushed with her joy and shame
21,THE LAST MAYING.,ye shall walk no more with the may she said
22,THE LAST MAYING.,ye shall play no more with the fauns i wis
23,HOMERIC UNITY.,and strives to rend thy songs too blind to see
24,ELLE.,nay from the sea there came a ghost that kissed
25,ELLE.,nay for his arms are cold and strong to bind
26,ELLE.,and i must dwell with him and make my home
27,PISIDICÊ.,the incident is from the love stories of parthenius who preserved
28,PISIDICÊ.,fragments of a lost epic on the expedition of achilles against lesbos an
29,Ο ΕΡΩΤΑΣ ’Σ ΤΟΝ ΤΑΦΟ.,and left him to his rest  an end of love
30,Ο ΕΡΩΤΑΣ ’Σ ΤΟΝ ΤΑΦΟ.,and graves give up their ghosts he will not rise
31,BALLADE OF A FRIAR.,others has not hitherto been rendered into the original measure of
32,(FROM ARISTOPHANES.),hither come hither ye clouds renowned and unveil yourselves here
33,(FROM ARISTOPHANES.),come though ye dwell on the sacred crests of olympian snow
34,(FROM ARISTOPHANES.),or whether ye dance with the nereid choir in the gardens clear
35,(FROM ARISTOPHANES.),or whether your golden urns are dipped in niles overflow
36,(FROM ARISTOPHANES.),and hearken to us and accept our gifts ere ye rise and go
37,(FROM ARISTOPHANES.),from the height of the heaven on the land and air
38,(FROM ARISTOPHANES.),and the gifts of the gods that know not stain
39,ART’S MARTYR.,telleth of a young man that fain would be fairly tattooed on his flesh
40,ART’S MARTYR.,after the heathen manner in devices of blue and that falling among the
41,ART’S MARTYR.,dyacks a folk of borneo was by them tattooed in modern fashion and
42,ART’S MARTYR.,device and of his misery that fell upon him and his outlawry
43,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,in the _aves_ of aristophanes the bird chorus declare that they are
44,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,older than the gods and greater benefactors of men  this idea recurs in
45,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,almost all savage mythologies and i have made the savage birdgods state
46,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,we would have you to wit that on eggs though we sit and are spiked
47,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,birds are older by far than your ancestors are and made love and made
48,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,for when all things were dark not a glimmer nor spark and the world
49,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,floated on through the night twas a bird struck a light twas a
50,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,then the hawk 106a with some dry wood flew up in the sky and afar
51,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,and the birds of the air they rejoiced everywhere and they recked not
52,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,for the hawk so they tell was then known as pundjel 106b and
53,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,then he went on the quest as we thought of a nest with some bark of
54,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,and with these did he frame two birds lacking a name without feathers
55,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,next around them he fluttered adancing and muttered and lastly he
56,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,then the figures of clay as they featherless lay they leaped up who
57,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,and _this_ was the baking of man and his making but now hes
58,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,now these creatures of mire they kept whining for fire and to crown
59,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,to the high heaven he came from the sun stole he flame and for this
60,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,and in india who for the soma juice flew and to men brought it
61,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,why the hawk twas again and great indra to men would appear now and
62,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,while the thlinkeets delight is the bird of the night the beak and
63,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,and who for mans need brought the famed suttungs mead why tis told
64,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,twas the eagle god who brought the drink from the blue and gave
65,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,next who gave men their laws and what reason or cause the young
66,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,till he thinks it a shame to wed one of his name and his conduct you
67,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,for you still hold it wrong if a _lubra_ 108b belong to the
68,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,to take _her_ as a bride to your ebony side nay you give her a wide
69,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,for her father you know is _your_ father the crow and no blessing
70,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,well these rules they were made in the wattlegum shade and were
71,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,thus on earths little ball to the birds you owe all yet your
72,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,and their feathers you pill and you eat them at will yes you
73,THE BARBAROUS BIRD-GODS: A SAVAGE PARABASIS.,theres a price on their head and the dodo is dead and the moa has
74,BALLADE OF THE PRIMITIVE JEST.,what did the darkhaired iberian laugh at before the tall blonde
75,_SONNETS FROM THE ANTIQUE_.,these versions from classical passages are pretty close to the original
76,_SONNETS FROM THE ANTIQUE_.,except where compression was needed as in the sonnets from pausanias and
77,_SONNETS FROM THE ANTIQUE_.,apuleius or where as in the case of fragments of æschylus and
