,Poem Title,line
451,THE DULE’S I’ THIS BONNET O’ MINE.,but th tale wur at th end o my tung
550,JAMIE’S FROLIC.,one neet aw crope whoam when my weighvin were oer
551,JAMIE’S FROLIC.,to brush mo an wesh mo an fettle my yure
553,JAMIE’S FROLIC.,kept tryin my hond at a bit ov a tune
582,JAMIE’S FROLIC.,thinks i th lasss reet an aw houd wi her wit
583,JAMIE’S FROLIC.,so aw saidfor aw wanted to cheer her a bit
584,JAMIE’S FROLIC.,owd crayter awve noan made my mind up to dee
598,JAMIE’S FROLIC.,thinks i th fats ith fireaw mun make it no wur
599,JAMIE’S FROLIC.,for theres plenty o feightin to do eawt oth dur
601,JAMIE’S FROLIC.,or else hooll have houd o my toppin in neaw
606,JAMIE’S FROLIC.,iv truth mun be towd aw began to be fain
608,JAMIE’S FROLIC.,so aw said to her mally this worlds rough enoo
609,JAMIE’S FROLIC.,to fo eawt wi thoose one likes best winnut do
614,JAMIE’S FROLIC.,lord heaw a mon talks when his hearts in his tung
615,JAMIE’S FROLIC.,aw roost her poor lass an aw showd hoo wur wrung
616,JAMIE’S FROLIC.,till hoo took mo bith hond with a tear in her ee
623,JAMIE’S FROLIC.,for theres no peace ith world iv theres no peace awhoam
624,JAMIE’S FROLIC.,an neaw when a random word gies her some pain
830,WHILE TAKIN’ A WIFT O’ MY PIPE.,iv mon had bin made for a bit of a spree
858,WHILE TAKIN’ A WIFT O’ MY PIPE.,hes weel off ats rich iv he nobbut can feel
868,WHILE TAKIN’ A WIFT O’ MY PIPE.,lung or short rough or fine little matter for that
870,WHILE TAKIN’ A WIFT O’ MY PIPE.,an when it leets eawt to get rivven a bit
1145,TH’ SWEETHEART GATE.,an theres never a gate ats so kind to th fuut
1154,TH’ SWEETHEART GATE.,oh theres summut ith leet o yon two blue een
1172,TH’ SWEETHEART GATE.,that aw could go whoam to my own true love
1541,A LIFT ON THE WAY.,come whats th use o fratchin lads this lifes noan so lung
1542,A LIFT ON THE WAY.,so iv yon gether reawnd awll try my hond at a sung
1543,A LIFT ON THE WAY.,it may shew a guidin glimmer to some wandrer astray
1544,A LIFT ON THE WAY.,or haply gi some poor owd soul a lift on the way
1547,A LIFT ON THE WAY.,or haply gi some poor owd soul a lift on the way
1549,A LIFT ON THE WAY.,lifes roads full o ruts its very slutchy an its dree
1550,A LIFT ON THE WAY.,an mony a worneawt limper lies him deawn there to dee
1551,A LIFT ON THE WAY.,then fleawndrin low ith gutter he looks reawnd wi dismay
1552,A LIFT ON THE WAY.,to see iv aught ith world can give a lift on the way
1555,A LIFT ON THE WAY.,to see iv aught ith world can give a lift on the way
1557,A LIFT ON THE WAY.,oh theres some folk at mun trudge it an theres some folk at
1559,A LIFT ON THE WAY.,but never mortal mon con tell what chance may betide
1561,A LIFT ON THE WAY.,tomorn he may be beggin for a lift on the way
1564,A LIFT ON THE WAY.,tomorn he may be beggin for a lift on the way
1568,A LIFT ON THE WAY.,goodwill its a jewel where theres little else to spare
1569,A LIFT ON THE WAY.,an a mon may help another though his pouch may be bare
1570,A LIFT ON THE WAY.,a genrous heart like sunshine brings good cheer in its ray
1571,A LIFT ON THE WAY.,an a friendly word can sometimes give a lift on the way
1574,A LIFT ON THE WAY.,an a friendly word can sometimes give a lift on the way
1577,A LIFT ON THE WAY.,theres mony a poor heart faints afore the journey be run
1578,A LIFT ON THE WAY.,then lay the dust wi kindness till the close of the day
1579,A LIFT ON THE WAY.,an gi these droopin travellers a lift on the way
1582,A LIFT ON THE WAY.,an gi these drooping travellers a lift on the way
1584,A LIFT ON THE WAY.,oh soft be his pillow when he sinks deawn to his rest
1585,A LIFT ON THE WAY.,that can keep the lamp o charity alive in his breast
1587,A LIFT ON THE WAY.,an angels give him up aboon a lift on the way
1590,A LIFT ON THE WAY.,an angels give him up aboon a lift on the way
1592,A LIFT ON THE WAY.,jog on my noble comrades then an so mote it be
1593,A LIFT ON THE WAY.,that hond in hond we travel till the day we mun dee
1594,A LIFT ON THE WAY.,an neaw to end my ditty lads lets heartily pray
1595,A LIFT ON THE WAY.,that heaven may give us evry one a lift on the way
1598,A LIFT ON THE WAY.,that heaven may give us evry one a lift on the way
