,Poem Title,line
0,BY THE MACMILLAN COMPANY.,o ciel toute la chine est par terre en morceaux
1,BY THE MACMILLAN COMPANY.,ce vase pâle et doux comme un reflet des eaux
2,BY THE MACMILLAN COMPANY.,de ce vague idéal qui sort du bleu des songes
3,BY THE MACMILLAN COMPANY.,gardant sur lui le clair de lune en plein midi
4,BY THE MACMILLAN COMPANY.,qui semblait presque un monstre et semblait presque une âme
5,PREFACE,it is a perilous adventurethe writing of a preface however brief to
6,PREFACE,ones own poems for one may be tempted to restate matters that could
7,PREFACE,find their full elucidation only in the verses themselves tennyson once
8,PREFACE,remarked that poetry is like shot silk glancing with many colours and
9,PREFACE,any attempt to define its meanings is as great a mistake as the attempt
10,PREFACE,its logical nutshells through poetry alone whether of deeds or words
11,PREFACE,thought or colour passion or marble is it possible to approach the
12,PREFACE,but this revelation is the sole end and object of all true art and i
13,PREFACE,hope it may not be thought presumptuous to say here simply
14,PREFACE,thatwhether the attempt be a success or a failureit was especially
15,PREFACE,my own aim in the two following poems if the feet of childhood are set
16,PREFACE,dancing in them it was because as children we are best able to enter
17,PREFACE,into that kingdom of dreams which is also the only true the only real
18,PREFACE,kingdom the first tale for instance must not be taken to have any
19,PREFACE,real relation to japan it belongsas the _spectator_ put itto the
20,PREFACE,kind of dreamland which an imaginative child might construct out of the
21,PREFACE,oddities of a willowpattern plate and it differs chiefly from
22,PREFACE,wonderlands of the lewis carrol type in a certain seriousness behind its
23,PREFACE,fantasy it is astonishing to me that these things require comment but
24,PREFACE,undoubtedly they do for on the one hand the first tale has been
25,PREFACE,praised enthusiastically as a vivid picture of japan and the author has
26,PREFACE,not only had to correspond with tokyo on the subject but was also
27,PREFACE,invited to meetings of the japan society in london on the other hand
28,PREFACE,because the childvoices are allowed to declare that tusitala lies
29,PREFACE,asleep in that distant country of dreams a prosaic english critic once
30,PREFACE,wrote a lengthy review in an important paper to point out my gross
31,PREFACE,ignorance of the fact that stevenson was really buried in samoa the
32,PREFACE,tales are such stuff as dreams are made on butas a kinder critic
33,PREFACE,has remarkedwe ourselves are made of that stuff it is perhaps
34,PREFACE,because these poems are almost light enough for a nonsensebook that i
35,PREFACE,feel there is something in them more elemental more essential more
36,PREFACE,poem i could write they are based on the fundamental and very simple
37,PREFACE,mystery of the universethat anything even a grain of sand should
38,PREFACE,exist at all if we could understand that we could understand
39,PREFACE,everything set clear of all irrelevancies that is the simple problem
40,PREFACE,that has been puzzling all the ages and it is well sometimes to forget
41,PREFACE,our accumulated knowledge and return to it in all its childish
42,PREFACE,_naïveté_ it is well to face that inconceivable miracle that
43,PREFACE,contradiction in terms that fundamental paradox for which we have at
44,PREFACE,best only a cruciform symbol with its arms pointing in opposite
45,PREFACE,the inscription on the wisdom lookingglass the discovery by the
46,PREFACE,children that the selflimitation of their little wishes was necessary
47,PREFACE,not only to their own happiness but to the harmony of the whole world
48,PREFACE,the development of the same idea in the passages leading up to the
49,PREFACE,song_what does it take to make a rose_where a _divine_ act of
50,PREFACE,passion of the godhead such as perhaps was shadowed forth on calvary
51,PREFACE,is found to be at the heart of the universe and to beas it werethe
52,PREFACE,highest aspect of the paradox aforesaid the living secret and price of
53,PREFACE,our very existence these things are only one twisted strand of the
54,PREFACE,shot silk out of which the two tales are woven it is no new wisdom to
55,PREFACE,regard these things through the eyes of little children and i
56,PREFACE,contain as deep and true things as i personally have the power to
57,PREFACE,express i hope therefore that i may be pardoned in these hurried
58,PREFACE,days for pointing out that the two poems are not to be taken merely as
59,PREFACE,fairytales but as an attempt to follow the careless and happy feet of
60,PREFACE,childhood back into the kingdom of those dreams which as we said above
61,PREFACE,are the sole reality worth living and dying for those beautiful dreams
62,PREFACE,or those fantastic jestsif any care to call them sofor which mankind
63,PREFACE,has endured so many triumphant martyrdoms that even amidst the rush and
64,SONG,our guide was he sleeping we could not wake him
65,SONG,were the words of the doom that he dared not name
66,SONG,and sneered have you stolen the strength of the skies
67,SONG,and our hearts will be softened and let you go
68,SONG,till it seemed that the soul of the whole world sung
69,SONG,if you taught us the truths that we always know
70,SONG,can you tell us the length of a monkeys beard
71,SONG,or the weight of the gems on the emperors fan
72,SONG, yet a thing like a monkey shrivelled and black
73,SONG,in the face of a foe that he cannot but fear
74,SONG,as the cry of a wizard that dares not own
75,THE CRY OF THE MAD MOONSHEE,so the cry flapped off as a wild goose flies
76,THE CRY OF THE MAD MOONSHEE, a dead ape lay where their feet had been 
77,THE CRY OF THE MAD MOONSHEE,and the black trees dripped like the fringe of a marsh
78,THE CRY OF THE MAD MOONSHEE,but we came to a bend and the white moon glowed
79,THE CRY OF THE MAD MOONSHEE,like a gate at the end of the narrowing road
80,SONG,as we came to the great black tower of apes
81,THE MYSTIC RUBY,and we saw that the cave was a diamond hall
82,THE MYSTIC RUBY,and we saw that his face grew sad and wan
83,THE MYSTIC RUBY,but his robe was gone as a dream that flies
84,THE MYSTIC RUBY,yet we thought that the world grew thrice more sweet
