,Poem Title,line
26,HOMER AND HIS AGE,etext editors note due to unclear typesetting of the original work
27,HOMER AND HIS AGE,which contains unidentifiable characters and blank spaces it has not
28,HOMER AND HIS AGE,been possible to capture this text completely where we have been unable
29,HOMER AND HIS AGE,to recover the meaning of the text this has been indicated by the
30,HOMER AND HIS AGE,annotation sic or blank space we hope that in the future a complete
31,HOMER AND HIS AGE,edition can be found and these gaps can be filled
39,PREFACE,in _homer and the epic_ ten or twelve years ago i examined the
40,PREFACE,literary objections to homeric unity these objections are chiefly based
41,PREFACE,on alleged discrepancies in the narrative of which no one poet it
42,PREFACE,is supposed could have been guilty the critics repose i venture
43,PREFACE,to think mainly on a fallacy we may style it the fallacy of the
44,PREFACE,analytical reader the poet is expected to satisfy a minutely critical
45,PREFACE,reader a personage whom he could not foresee and whom he did not
47,PREFACE,has recently reminded his countrymen homer is put to a test which
48,PREFACE,goethe could not endure no long fictitious narrative can satisfy the
51,PREFACE,the fallacy is that of disregarding the homeric poets audience he
52,PREFACE,did not sing for aristotle or for aristarchus or for modern minute
53,PREFACE,and reflective inquirers but for warriors and ladies he certainly
54,PREFACE,satisfied them but if he does not satisfy microscopic professors he is
55,PREFACE,described as a syndicate of many minstrels living in many ages
57,PREFACE,in the present volume little is said in defence of the poets
58,PREFACE,consistency several chapters on that point have been excised the way
59,PREFACE,of living which homer describes is examined and an effort is made to
60,PREFACE,prove that he depicts the life of a single brief age of culture the
61,PREFACE,investigation is compelled to a tedious minuteness because the points
63,PREFACE,details of existenceare so minute as to be all but invisible
65,PREFACE,the unity of the epics is not so important a topic as the methods of
66,PREFACE,criticism they ought to be sober logical and selfconsistent when
67,PREFACE,these qualities are absent homeric criticism may be described in the
68,PREFACE,recent words of blass as a swamp haunted by wandering fires will o
71,PREFACE,in our country many of the most eminent scholars are no believers in
72,PREFACE,separatist criticism justly admiring the industry and erudition of the
73,PREFACE,separatists they are unmoved by their arguments to which they do
74,PREFACE,not reply being convinced in their own minds but the number and
75,PREFACE,perseverance of the separatists make on the general reader the
76,PREFACE,impression that homeric unity is chose _jugée_ that _scientia locuta
77,PREFACE,est_ and has condemned homer this is far from being the case the
78,PREFACE,question is still open science herself is subject to criticism and
79,PREFACE,new materials accruing yearly forbid a tame acquiescence in hasty
82,PREFACE,may i say a word to the lovers of poetry who in reading homer feel no
83,PREFACE,more doubt than in reading milton that on the whole they are studying
84,PREFACE,a work of one age by one author do not let them be driven from their
85,PREFACE,natural impression by the statement that science has decided against
86,PREFACE,them the certainties of the exact sciences are one thing the opinions
87,PREFACE,of homeric commentators are other and very different things among all
