,Poem Title,line
450,THEN PRESIDENT OF WALES.,_the copy of a letter written by sir henry wotton to the author upon the
458,"SIR,",it was a special favour when you lately bestowed upon me here the first
459,"SIR,",taste of your acquaintance though no longer than to make me know that i
460,"SIR,",wanted more time to value it and to enjoy it rightly and in truth if
461,"SIR,",i could then have imagined your farther stay in these parts which i
462,"SIR,",understood afterwards by mr h i would have been bold in our vulgar
463,"SIR,",phrase to mend my draught for you left me with an extreme thirst and
464,"SIR,",to have begged your conversation again jointly with your said learned
465,"SIR,",friend at a poor meal or two that we might have banded together some
466,"SIR,",good authors of the antient time among which i observed you to have
469,"SIR,",since your going you have charged me with new obligations both for a
470,"SIR,",very kind letter from you dated the sixth of this month and for a
471,"SIR,",dainty piece of entertainment which came therewith wherein i should
472,"SIR,",much commend the tragical part if the lyrical did not ravish me with a
473,"SIR,",certain doric delicacy in your songs and odes whereunto i must plainly
474,"SIR,",confess to have seen yet nothing parallel in our language _ipsa
475,"SIR,",mollities_19a but i must not omit to tell you that i now only owe
476,"SIR,",you thanks for intimating unto me how modestly soever the true
477,"SIR,",artificer for the work itself i had viewed some good while before with
478,"SIR,",singular delight having received it from our common friend mr r in
479,"SIR,",the very close of the late rs poems printed at oxford whereunto it
480,"SIR,",is added as i now suppose that the accessory might help out the
481,"SIR,",principal according to the art of stationers and to leave the reader
484,"SIR,",now sir concerning your travels wherein i may challenge a little more
485,"SIR,",privilege of discourse with you i suppose you will not blanch20b
486,"SIR,",paris in your way therefore i have been bold to trouble you with a few
487,"SIR,",lines to mr m b whom you shall easily find attending the young lord
488,"SIR,",s as his governor and you may surely receive from him good directions
489,"SIR,",for shaping of your farther journey into italy where he did reside by
490,"SIR,",my choice some time for the king after mine own recess from venice
492,"SIR,",i should think that your best line will be through the whole length of
493,"SIR,",france to marseilles and thence by sea to genoa whence the passage
494,"SIR,",into tuscany is as diurnal as a gravesend barge i hasten as you do to
495,"SIR,",florence or siena the rather to tell you a short story from the
498,"SIR,",at siena i was tabled in the house of one alberto scipione an old roman
499,"SIR,",courtier in dangerous times having been steward to the duca di
500,"SIR,",pagliano who with all his family were strangled save this only man
501,"SIR,",that escaped by foresight of the tempest with him i had often much chat
502,"SIR,",of those affairs into which he took pleasure to look back from his
