,Poem Title,Stanza
2,A BALLAD,FINNISH ARTS OR SIR THOR AND DAMSEL THURE A BALLAD 
5,PRINTED FOR PRIVATE CIRCULATION,"_Copyright in the United States of America_ _by Houghton_, _Mifflin & Co. for Clement Shorter_. "
7,SIR THOR AND DAMSEL THURE.,"Sir Thor was a knight of prowess tried, The son of a king he was beside. "
8,SIR THOR AND DAMSEL THURE.,"He was a knight excelled by none, At home such deeds of might he'd done. "
9,SIR THOR AND DAMSEL THURE.,"And not alone in his native home, But manhood had he displayed at Rome. "
10,SIR THOR AND DAMSEL THURE.,"He faithfully served the emperor, And hatred to all his foes he bore. "
11,SIR THOR AND DAMSEL THURE.,"King of Norroway was his sire, His fame spreads over the world entire. "
12,SIR THOR AND DAMSEL THURE.,"He was a King both aged and grey, So he summoned his son from Rome away. "
13,SIR THOR AND DAMSEL THURE.,"He summoned his son from Rome away, To help him Norway's land to sway. "
14,SIR THOR AND DAMSEL THURE.,"As soon as the tidings reached Sir Thor, He hied to the Roman Emperor. "
15,SIR THOR AND DAMSEL THURE.,"""Hail, Emperor Ludvig, great and brave! Thy leave to return to my sire I crave."" "
16,SIR THOR AND DAMSEL THURE.,"""Freely shalt thou permission gain, And thy post shall vacant for thee remain."" "
17,SIR THOR AND DAMSEL THURE.,"He greeted all the knightly train, They begged him quickly return again. "
18,SIR THOR AND DAMSEL THURE.,"When from Rome he came to his own countrie, His father welcomed him heartilie. "
19,SIR THOR AND DAMSEL THURE.,"His dear son married he fain would see, And divide with him his domain would he. "
20,SIR THOR AND DAMSEL THURE.,He envoys sends with all despatch To seek a maid with his son to match. 
21,SIR THOR AND DAMSEL THURE.,They travelled wide with unwearied mind Before his equal they could find. 
22,SIR THOR AND DAMSEL THURE.,"O'er land and sea so wide they speed, Until they reached the land of Swede. "
23,SIR THOR AND DAMSEL THURE.,"And when they reached the Swedish State, They found one worthy to be his mate. "
24,SIR THOR AND DAMSEL THURE.,"Damsel Thura the maiden hight, In Swedish land was none so bright. "
25,SIR THOR AND DAMSEL THURE.,"The loveliest maiden in all the land, Her father was high Sir Sallemand. "
26,SIR THOR AND DAMSEL THURE.,"He was a noble rich and great, His equal was not in Sweden's State. "
27,SIR THOR AND DAMSEL THURE.,"So glad to Norroway back they wend, That the matter be brought to a happy end. "
28,SIR THOR AND DAMSEL THURE.,They the tidings to their lord declare That they had found a damsel rare. 
29,SIR THOR AND DAMSEL THURE.,"No fairer was in the Swede countrie, Nor in all the isles there round that be. "
30,SIR THOR AND DAMSEL THURE.,The heart of Sir Thor with joy beat loud When they described the damsel proud. 
31,SIR THOR AND DAMSEL THURE.,"He spoke to his men, so gallant and stout, Who were to attend him in his rout: "
32,SIR THOR AND DAMSEL THURE.,"""We must quickly away, so ready make, I've sworn an oath I dare not break, "
33,SIR THOR AND DAMSEL THURE.,"""As soon as the lovely rose was found, To her o'er land and sea to bound."" "
34,SIR THOR AND DAMSEL THURE.,"They hoisted their sails on the yard so high, And out of the haven away they fly. "
35,SIR THOR AND DAMSEL THURE.,"So gay thence sailed they every one, To Sweden in less than a month they won. "
36,SIR THOR AND DAMSEL THURE.,"The noble he steered his ship to the land, Sir Thor was the first who stepped on the sand. "
37,SIR THOR AND DAMSEL THURE.,"The knight he sprang on his courser red: ""God help us now to this lovely maid."" "
38,SIR THOR AND DAMSEL THURE.,"As they through the land of Sweden hied, The folks received them with joy and pride. "
39,SIR THOR AND DAMSEL THURE.,"To Sir Sallemand's house came Sir Thor on his steed, Erect in his sables stood the Swede. "
40,SIR THOR AND DAMSEL THURE.,"""Here stand'st thou, Sir Sallemand, gallantly dight, Say, wilt thou house me with thee to-night?"" "
41,SIR THOR AND DAMSEL THURE.,"""As one from God thou shalt welcome be, Respect and honour I pay to thee."" "
42,SIR THOR AND DAMSEL THURE.,"To the hall of the women Sir Thor led they, His eyes fell straight on the lovely may. "
43,SIR THOR AND DAMSEL THURE.,"They washed their hands and to table went, With the music and talk were they well content. "
44,SIR THOR AND DAMSEL THURE.,"And when they had feasted all so free, They cried for chess to increase their glee. "
45,SIR THOR AND DAMSEL THURE.,"""Sir Sallemand, listen to what I say, May I at chess with thy daughter play?"" "
46,SIR THOR AND DAMSEL THURE.,"""Yes, thou to play with her art free, Whether within or without I be."" "
47,SIR THOR AND DAMSEL THURE.,"The young Sir Thor and Thure the maid, A game of chess at the table played. "
48,SIR THOR AND DAMSEL THURE.,"The longer they played, they happier grew, Full pleased with each other were the two. "
49,SIR THOR AND DAMSEL THURE.,"""Hear thou, May Thure, thou lily bright, Wilt thou with thy white hand thyself to me plight?"" "
50,SIR THOR AND DAMSEL THURE.,"""Hear thou, Sir Thor, I tell thee plain, My faith and troth thou may'st obtain. "
51,SIR THOR AND DAMSEL THURE.,"""My faith and troth I would plight to thee If I knew thou would'st be true to me."" "
52,SIR THOR AND DAMSEL THURE.,"""May Christ destroy the dastard vile Who a noble maid would ever beguile!"" "
53,SIR THOR AND DAMSEL THURE.,"She gave him her troth with her hand so fair, But what she did more there was none aware. "
54,SIR THOR AND DAMSEL THURE.,"From his hand a gold bracelet he unbound, And placed it the Damsel's arm around. "
55,SIR THOR AND DAMSEL THURE.,"""Hear me, May Thure,"" then said he, ""How long wilt thou tarry a maid for me?"" "
56,SIR THOR AND DAMSEL THURE.,"""I will, Sir Thor, if need there be, For eighteen winters wait for thee."" "
57,SIR THOR AND DAMSEL THURE.,"""So long a time thou need'st not wait, No longer a time than winters eight."" "
58,SIR THOR AND DAMSEL THURE.,When the eight winters they were o'er The damsel began to grieve so sore. 
59,SIR THOR AND DAMSEL THURE.,"The damsel began to grieve so sore, And briny tears from her eyes to pour. "
60,SIR THOR AND DAMSEL THURE.,"A noble Duke has paid her his suit, A hero was he, on horse and on foot. "
61,SIR THOR AND DAMSEL THURE.,"The Duke to her royal father said: ""Wilt give me counsel thy daughter to wed? "
62,SIR THOR AND DAMSEL THURE.,"""And she I'll hold, till life depart, As the only lady of my heart."" "
63,SIR THOR AND DAMSEL THURE.,"So rash a man was Sir Sallemand, To the Duke he promised his daughter's hand. "
64,SIR THOR AND DAMSEL THURE.,"""I'll give my daughter to thy good hand, She never shall go into Norroway land. "
65,SIR THOR AND DAMSEL THURE.,"""Sir Thor shall never behold the day, That he with her shall Norway sway."" "
