,Poem Title,line
0,PREFACE,i must apologize for the size of this booklet which can only be
1,PREFACE,justified on the grounds that there is some demand for the contents as
2,PREFACE,recitations i hope presently to combine whatever is worth preserving
3,PREFACE,in my three volumes of verse so as to make a single collection
4,THE GUARDS CAME THROUGH,and i hear some one cry clear the front for the guards
5,THE GUNS IN SUSSEX,of all things foul and black my heart is hot
6,THE GUNS IN SUSSEX,than all the peace that comes to such as i
7,"SEPTEMBER, 1915",push on my lord of würtemberg across the flemish fen
8,"SEPTEMBER, 1915",theres just one ragged british line of plumers weary men
9,"SEPTEMBER, 1915",its true they held you off before but venture it again
10,"SEPTEMBER, 1915",youve been some little time my lord perhaps you scarce remember
11,"SEPTEMBER, 1915",was it in october last or was it in november
12,"SEPTEMBER, 1915",and now the leaves are turning and you stand in midseptember
13,"SEPTEMBER, 1915",can you recall the fateful daya day of drifting skies
14,"SEPTEMBER, 1915",can it be the warlord blundered when he urged the enterprise
15,"SEPTEMBER, 1915",for surely its a weary while since first before your eyes
16,"SEPTEMBER, 1915",you held council at your quarters when the budding alexanders
17,"SEPTEMBER, 1915",ever ventured the opinion that a little town of flanders
18,"SEPTEMBER, 1915",you all clasped hands upon it you would break the british line
19,"SEPTEMBER, 1915",you would smash a road to westward with your host
20,"SEPTEMBER, 1915",till calais heard the blaring of the distant wacht am rhein
21,"SEPTEMBER, 1915",said the graf von feueressen its a fact beyond discussion
22,"SEPTEMBER, 1915",there is valour in the french there is patience in the russian
23,"SEPTEMBER, 1915",but blend all warlike virtues and you get the lordly prussian
24,"SEPTEMBER, 1915",tis the only sort of music that will call them to the battle
25,"SEPTEMBER, 1915",and so next day your battle rolled across the menin plain
26,"SEPTEMBER, 1915",you broke him and you broke him but you broke him all in vain
27,"SEPTEMBER, 1915",and on the day when gheluvelt lay smoking in the sun
28,"SEPTEMBER, 1915",you smiled as haig reeled backwards and you thought him on the run
29,"SEPTEMBER, 1915",but alas for dreams that vanish for before the day was done
30,"SEPTEMBER, 1915",spruce and splendid in the morning were the potsdam grenadiere
31,"SEPTEMBER, 1915",but not so spruce that evening when they staggered spent and weary
32,"SEPTEMBER, 1915",you knewyour spies had told youthat the ranks were scant and thin
33,"SEPTEMBER, 1915",that the guns were short of shell and very few
