,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
24,PG10130,The Works of Charles and Mary Lamb — Volume 3: Books for Children,"Lamb, Charles",1775.0,1834.0,['en'],54,"""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
25,PG10131,"Required Poems for Reading and Memorizing: Third and Fourth Grades, Prescribed by State Courses of Study",Anonymous,,,['en'],46,"""Children's poetry""",Text,"""Children's poetry"""
71,PG10607,The Real Mother Goose,,,,['en'],1135,"'Nursery rhymes', ""Children's poetry""",Text,"""Children's poetry"""
92,PG10796,The Story of the Two Bulls,"Bolles, John R. (John Rogers)",1810.0,1895.0,['en'],49,"'Wit and humor, Juvenile', 'Bulls -- Juvenile poetry', ""Children's poetry""",Text,"""Children's poetry"""
94,PG10839,Sugar and Spice: Comical Tales Comically Dressed,"Johnson, James",,,['en'],14,"'Wit and humor, Juvenile', 'Children -- Conduct of life -- Juvenile fiction', ""Children's stories"", 'Conduct of life -- Juvenile fiction', ""Children's poetry""",Text,"""Children's poetry"""
95,PG10853,Our Gift,Teachers of the School Street Universalist Sunday School. Boston,,,['en'],14,"'Christian life -- Juvenile literature', ""Children's poetry"", ""Children's stories"", 'Gift books'",Text,"""Children's poetry"""
100,PG10912,The Infant's Delight: Poetry,Anonymous,,,['en'],41,"""Children's poetry""",Text,"""Children's poetry"""
104,PG10965,"The World Turned Upside Down: Or, No News, and Strange News",Anonymous,,,['en'],74,"""Children's poetry"", 'Picture books for children'",Text,"""Children's poetry"""
105,PG10979,"Footsteps on the Road to Learning; Or, The Alphabet in Rhyme",Anonymous,,,['en'],36,"""Children's poetry"", 'Alphabet rhymes', 'Readers (Elementary)'",Text,"""Children's poetry"""
106,PG10994,The Good Resolution,,,,['en'],16,"'Sunday school literature', 'Conduct of life -- Juvenile fiction', ""Children's poetry""",Text,"""Children's poetry"""
116,PG11073,The Illustrated Alphabet of Birds,Unknown,,,['en'],65,"""Children's poetry"", 'Birds -- Juvenile poetry', 'Alphabet books'",Text,"""Children's poetry"""
120,PG11083,"The Parables of the Saviour: The Good Child's Library, Tenth Book",Anonymous,,,['en'],30,"'Bible stories, English -- Juvenile poetry', 'Jesus Christ -- Parables -- Juvenile poetry', ""Children's poetry""",Text,"""Children's poetry"""
122,PG11095,Fun and Nonsense,"Bonte, Willard",1873.0,1946.0,['en'],58,"'Nursery rhymes', ""Children's poetry"", 'Nonsense verses'",Text,"""Children's poetry"""
124,PG11098,Happy and Gay Marching Away,Unknown,,,['en'],23,"""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
126,PG11147,"Phebe, the Blackberry Girl",,,,['en'],6,"""Children's poetry""",Text,"""Children's poetry"""
127,PG11150,Gems Gathered in Haste: A New Year's Gift for Sunday Schools,Anonymous,,,['en'],20,"""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
131,PG11237,The Pearl Box: Containing One Hundred Beautiful Stories for Young People,Anonymous,,,['en'],30,"'Nature -- Juvenile fiction', ""Children's poetry"", 'Love stories', ""Children's stories""",Text,"""Children's poetry"""
136,PG11333,"The Pearl Story Book: A Collection of Tales, Original and Selected","Colman, Mrs. (Pamela Chandler)",1799.0,1865.0,['en'],15,"""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
138,PG11374,Fun and Frolic,,,,['en'],69,"""Children's literature"", ""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
141,PG11432,The Youth's Coronal,"Gould, Hannah Flagg",1789.0,1865.0,['en'],14,"""Children's poetry""",Text,"""Children's poetry"""
142,PG11435,Small Means and Great Ends,,,,['en'],34,"'Children -- Conduct of life -- Juvenile fiction', 'Christian life -- Juvenile fiction', ""Children's stories"", 'Conduct of life -- Juvenile fiction', ""Children's poetry""",Text,"""Children's poetry"""
157,PG11595,"The Pearl Box: Containing One Hundred Beautiful Stories for Young People, by a Pastor",Anonymous,,,['en'],21,"'Nature -- Juvenile fiction', ""Children's poetry"", 'Love stories', ""Children's stories""",Text,"""Children's poetry"""
166,PG11877,Monkey Jack and Other Stories,,,,['en'],28,"""Children's poetry"", ""Children's stories"", 'Readers (Primary)'",Text,"""Children's poetry"""
179,PG12007,Cousin Hatty's Hymns and Twilight Stories,,,,['en'],18,"'Religious poetry, American -- Juvenile literature', ""Children's poetry"", 'Hymns'",Text,"""Children's poetry"""
403,PG15809,A Apple Pie,"Greenaway, Kate",1846.0,1901.0,['en'],409,"'Nursery rhymes', 'Alphabet', ""Children's poetry"", 'Alphabet rhymes'",Text,"""Children's poetry"""
421,PG16171,Our Boys: Entertaining Stories by Popular Authors,Various,,,['en'],37,"""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
449,PG16560,"The Diving Bell; Or, Pearls to be Sought for","Woodworth, Francis C. (Francis Channing)",1812.0,1859.0,['en'],31,"'Conduct of life -- Juvenile literature', ""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
457,PG1664,Songs for Parents,"Farrar, John Chipman",1896.0,1974.0,['en'],20,"""Children's poetry""",Text,"""Children's poetry"""
459,PG16681,Baby Chatterbox,Anonymous,,,['en'],32,"'Conduct of life -- Juvenile literature', ""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
462,PG16688,"Hymns, Songs, and Fables, for Young People","Follen, Eliza Lee Cabot",1787.0,1860.0,['en'],47,"'Fables', 'United States -- Social life and customs -- 19th century -- Juvenile literature', ""Children's songs"", 'Hymns -- Juvenile', ""Children's poetry""",Text,"""Children's poetry"""
478,PG17060,Death and Burial of Poor Cock Robin,,,,['en'],97,"'Nursery rhymes', ""Children's poetry"", 'Cock Robin (Fictitious character) -- Poetry'",Text,"""Children's poetry"""
482,PG17068,The Animals' Rebellion,"Bingham, Clifton",1859.0,1913.0,['en'],27,"'Animals -- Juvenile poetry', ""Children's poetry""",Text,"""Children's poetry"""
485,PG17104,The Rocket Book,"Newell, Peter",1862.0,1924.0,['en'],58,"'Stories in rhyme', ""Children's poetry"", 'Humorous poetry'",Text,"""Children's poetry"""
503,PG17254,The Slant Book,"Newell, Peter",1862.0,1924.0,['en'],65,"'Stories in rhyme', ""Children's poetry"", 'Humorous poetry'",Text,"""Children's poetry"""
507,PG17282,An Alphabet of Old Friends,"Crane, Walter",1845.0,1915.0,['en'],80,"'Nursery rhymes', 'Alphabet', ""Children's poetry""",Text,"""Children's poetry"""
508,PG17283,The Absurd ABC,"Crane, Walter",1845.0,1915.0,['en'],134,"""Children's poetry"", 'Alphabet books', 'Alphabet rhymes'",Text,"""Children's poetry"""
537,PG17750,Laugh and play : $b A collection of original stories,,,,['en'],31,"""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
611,PG18937,My First Picture Book: With Thirty-six Pages of Pictures Printed in Colours by Kronheim,"Kronheim, Joseph Martin",1810.0,1896.0,['en'],248,"'Fairy tales', ""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
640,PG19366,Punky Dunk and the Spotted Pup,Anonymous,,,['en'],45,"'Kittens -- Juvenile poetry', 'Puppies -- Juvenile poetry', ""Children's poetry""",Text,"""Children's poetry"""
643,PG19389,Child Songs of Cheer,"Stein, Evaleen",1863.0,1923.0,['en'],49,"""Children's poetry""",Text,"""Children's poetry"""
660,PG19531,Punky Dunk and the Mouse,Anonymous,,,['en'],43,"'Kittens -- Juvenile poetry', 'Mice -- Juvenile poetry', ""Children's poetry""",Text,"""Children's poetry"""
662,PG19537,Punky Dunk and the Gold Fish,Anonymous,,,['en'],60,"'Kittens -- Juvenile poetry', ""Children's poetry"", 'Goldfish -- Juvenile poetry'",Text,"""Children's poetry"""
690,PG1978,"Buttercup Gold, and Other Stories","Field, Ellen Robena",,,['en'],42,"""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
708,PG19993,"Childhood's Favorites and Fairy Stories: The Young Folks Treasury, Volume 1",,,,['en'],363,"'Fables', 'Nursery rhymes', ""Children's stories"", 'Fairy tales', ""Children's poetry""",Text,"""Children's poetry"""
712,PG20017,Pages for Laughing Eyes,Unknown,,,['en'],72,"""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
