,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
58,PG10490,The Golden Legend,"Longfellow, Henry Wadsworth",1807.0,1882.0,['en'],197,'American poetry -- 19th century',Text,'American poetry -- 19th century'
197,PG1229,Select Poems of Sidney Lanier,"Lanier, Sidney",1842.0,1881.0,['en'],36,'American poetry -- 19th century',Text,'American poetry -- 19th century'
267,PG13184,Narrative and Lyric Poems (first series) for use in the Lower School,,,,['en'],27,"'Readers', 'English poetry -- 19th century', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
273,PG1322,Leaves of Grass,"Whitman, Walt",1819.0,1892.0,['en'],2669,'American poetry -- 19th century',Text,'American poetry -- 19th century'
430,PG16341,Poems by William Cullen Bryant,"Bryant, William Cullen",1794.0,1878.0,['en'],433,'American poetry -- 19th century',Text,'American poetry -- 19th century'
476,PG16995,Riley Love-Lyrics,"Riley, James Whitcomb",1849.0,1916.0,['en'],45,"'American poetry -- 19th century', 'Love poetry'",Text,'American poetry -- 19th century'
695,PG19897,Riley Love-Lyrics,"Riley, James Whitcomb",1849.0,1916.0,['en'],29,"'American poetry -- 19th century', 'Love poetry'",Text,'American poetry -- 19th century'
946,PG23332,Greetings from Longfellow,"Longfellow, Henry Wadsworth",1807.0,1882.0,['en'],19,'American poetry -- 19th century',Text,'American poetry -- 19th century'
1405,PG29273,A Complete Edition of the Works of Nancy Luce,"Luce, Nancy",1814.0,1890.0,['en'],32,"'Poultry -- Diseases', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
1535,PG317,"The Culprit Fay, and Other Poems","Drake, Joseph Rodman",1795.0,1820.0,['en'],74,"'Fairies -- Poetry', 'American poetry -- 19th century', 'New York (State) -- Poetry'",Text,'American poetry -- 19th century'
1537,PG31874,Second Book of Verse,"Field, Eugene",1850.0,1895.0,['en'],27,'American poetry -- 19th century',Text,'American poetry -- 19th century'
1543,PG31919,Blooms of the Berry,"Cawein, Madison Julius",1865.0,1914.0,['en'],28,'American poetry -- 19th century',Text,'American poetry -- 19th century'
1758,PG35714,"How She Felt in Her First Corset, and Other Poems","Alderson, Matthew W.",1855.0,1924.0,['en'],18,'American poetry -- 19th century',Text,'American poetry -- 19th century'
1792,PG36305,A Day with Walt Whitman,"Byron, May",1861.0,1936.0,['en'],40,"'American poetry -- 19th century', 'Whitman, Walt, 1819-1892'",Text,'American poetry -- 19th century'
1902,PG37980,A Day with Longfellow,Anonymous,,,['en'],33,"'American poetry -- 19th century', 'Longfellow, Henry Wadsworth, 1807-1882'",Text,'American poetry -- 19th century'
2027,PG40786,"The Black Riders, and Other Lines","Crane, Stephen",1871.0,1900.0,['en'],152,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2150,PG43612,Katydid's Poems,"McKinney, Kate Slaughter",1857.0,,['en'],78,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2176,PG44444,"The Mother's Dream, and Other Poems","Gould, Hannah Flagg",1789.0,1865.0,['en'],32,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2232,PG45280,"The Wonderful ""One-Hoss-Shay"", and Other Poems","Holmes, Oliver Wendell",1809.0,1894.0,['en'],714,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2286,PG45736,"Ballades and Rondeaus, Chants Royal, Sestinas, Villanelles, etc.",,,,['en'],71,"'Ballades', 'Rondeaus', 'Provençal poetry -- History and criticism', 'English poetry -- 19th century', 'English language -- Versification', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
2316,PG4669,"Town and Country; Or, Life at Home and Abroad, Without and Within Us","Adams, John S. (John Stowell)",,1893.0,['en'],15,"'United States -- Social life and customs -- Fiction', 'Short stories, American', 'American poetry -- 19th century', 'United States -- Social life and customs -- Poetry'",Text,'American poetry -- 19th century'
2382,PG47934,An Old Man's Prayer,"Baker, George M. (George Melville)",1832.0,1890.0,['en'],29,"'United States -- History -- Civil War, 1861-1865 -- Poetry', 'American poetry -- 19th century', 'Temperance -- Poetry'",Text,'American poetry -- 19th century'
2391,PG48067,Sonnets and Canzonets,"Alcott, Amos Bronson",1799.0,1888.0,['en'],34,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2435,PG49518,A Few More Verses,"Coolidge, Susan",1835.0,1905.0,['en'],28,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2522,PG51367,Poems: Pastoral and Psalm,"Copeland, Benjamin",,,['en'],26,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2534,PG51614,Poems of Pleasure,"Wilcox, Ella Wheeler",1850.0,1919.0,['en'],50,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2543,PG51904,Poems,"Conant, Henry Reed",1872.0,,['en'],25,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2571,PG52533,"""England and Yesterday"": A Book of Short Poems","Guiney, Louise Imogen",1861.0,1920.0,['en'],37,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2572,PG52546,Poems,"Shastid, Thomas Hall",1866.0,1947.0,['en'],23,"'American poetry -- 19th century', ""Children's writings, American""",Text,'American poetry -- 19th century'
2600,PG52865,Home Poems,"Wheeler, Kate Louise",,,['en'],63,"'Christian poetry', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
2634,PG53087,Songs at the Start,"Guiney, Louise Imogen",1861.0,1920.0,['en'],24,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2682,PG54003,Farm Legends,"Carleton, Will",1845.0,1912.0,['en'],27,"'American poetry -- 19th century', 'Farm life -- Poetry'",Text,'American poetry -- 19th century'
2685,PG54017,"Two Women, 1862; a Poem","Woolson, Constance Fenimore",1840.0,1894.0,['en'],45,"'United States -- History -- Civil War, 1861-1865 -- Poetry', 'American poetry -- 19th century', 'Man-woman relationships -- Poetry'",Text,'American poetry -- 19th century'
2725,PG54822,A Roadside Harp: A Book of Verses,"Guiney, Louise Imogen",1861.0,1920.0,['en'],21,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2730,PG54907,"The White Sail, and Other Poems","Guiney, Louise Imogen",1861.0,1920.0,['en'],26,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2731,PG54912,Poems,"Dorr, Julia C. R. (Caroline Ripley)",1825.0,1913.0,['en'],27,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2732,PG54947,"The Martyrs' Idyl, and Shorter Poems","Guiney, Louise Imogen",1861.0,1920.0,['en'],28,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2740,PG55032,Poems of Progress,"Doten, Lizzie",1827.0,1913.0,['en'],34,"'American poetry -- 19th century', 'Spiritualism -- Poetry'",Text,'American poetry -- 19th century'
2771,PG55807,Verses,"Wharton, Edith",1862.0,1937.0,['en'],29,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2800,PG56368,"Alhalla, or the Lord of Talladega: A Tale of the Creek War.: With Some Selected Miscellanies, Chiefly of Early Date.","Schoolcraft, Henry Rowe",1793.0,1864.0,['en'],31,"'Creek War, 1813-1814 -- Poetry', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
2811,PG56575,Poems from the Inner Life,"Doten, Lizzie",1827.0,1913.0,['en'],54,"'American poetry -- 19th century', 'Spiritualism -- Poetry'",Text,'American poetry -- 19th century'
2852,PG57504,The Angel in the Cloud,"Fuller, Edwin W. (Edwin Wiley)",1847.0,1876.0,['en'],34,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2890,PG58992,Modern American Poetry,,,,['en'],78,"'American poetry -- 19th century', 'American poetry -- 20th century'",Text,'American poetry -- 19th century'
2948,PG59988,Poems of Nature,"Thoreau, Henry David",1817.0,1862.0,['en'],306,"'Nature -- Poetry', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
2988,PG60481,In this our world,"Gilman, Charlotte Perkins",1860.0,1935.0,['en'],70,'American poetry -- 19th century',Text,'American poetry -- 19th century'
2991,PG60504,A-Naughty-Biography and other poems,"Taylor, Enoch, Mrs.",,,['en'],28,"'Biographical poetry', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
2999,PG6062,Pike County Ballads and Other Poems,"Hay, John",1838.0,1905.0,['en'],57,"'American poetry -- 19th century', 'Ballads, English -- United States'",Text,'American poetry -- 19th century'
3055,PG61701,O. Henry Encore,"Henry, O.",1862.0,1910.0,['en'],51,"'American essays -- 19th century', 'American fiction -- 19th century', 'Short stories, American', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
3056,PG61734,Postscripts,"Henry, O.",1862.0,1910.0,['en'],89,"'American wit and humor', 'American fiction -- 19th century', 'Short stories, American', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
3066,PG61902,"How Salvator Won, and Other Recitations","Wilcox, Ella Wheeler",1850.0,1919.0,['en'],28,"'Recitations', 'American poetry -- 19th century', 'American fiction -- 19th century', 'Short stories, American'",Text,'American poetry -- 19th century'
3125,PG63289,The Ring of Amethyst,"Rollins, Alice Wellington",1847.0,1897.0,['en'],55,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3131,PG63423,Kathrina—A Poem,"Holland, J. G. (Josiah Gilbert)",1819.0,1881.0,['en'],19,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3141,PG63552,Armazindy: The Poems and Prose Sketches of James Whitcomb Riley,"Riley, James Whitcomb",1849.0,1916.0,['en'],41,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3159,PG63973,Short Flights,"Nicholson, Meredith",1866.0,1947.0,['en'],26,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3169,PG64093,Christmas offering,"Dimond, Elizabeth, Mrs.",,,['en'],23,"'American poetry -- 19th century', 'Christian poetry, American'",Text,'American poetry -- 19th century'
3194,PG6442,Bitter-Sweet: A Poem,"Holland, J. G. (Josiah Gilbert)",1819.0,1881.0,['en'],16,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3211,PG65068,"Terrible Tractoration, and Other Poems","Fessenden, Thomas Green",1771.0,1837.0,['en'],32,"'Perkins, Elisha, 1741-1799', 'American poetry -- 19th century', 'Tractors, Metallic'",Text,'American poetry -- 19th century'
3242,PG65564,"Spider-webs in Verse: A Collection of Lyrics for Leisure Moments, Spun at Idle Hours","Wallace, Charles William",1865.0,1932.0,['en'],39,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3252,PG65732,"The Hybrids, An Epi-comic Satire",An M. D.,,,['en'],37,"'Women', 'Women -- Humor', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
3281,PG66180,Sketches,"Willis, Nathaniel Parker",1806.0,1867.0,['en'],32,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3284,PG66213,A Fable for Critics,"Lowell, James Russell",1819.0,1891.0,['en'],55,"'American poetry -- 19th century', 'American literature -- 19th century -- Anecdotes, facetiae, satire, etc.'",Text,'American poetry -- 19th century'
3328,PG67012,"The man with the hoe, and other poems","Markham, Edwin",1852.0,1940.0,['en'],36,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3336,PG67152,"Ballads and Other Poems: Fourth Edition, Revised","Raymond, George Lansing",1839.0,1929.0,['en'],28,"'American poetry -- 19th century', 'United States -- History -- Revolution, 1775-1783 -- Poetry'",Text,'American poetry -- 19th century'
3338,PG67202,"John Greenleaf Whittier: A sketch of his life, with selected poems","Perry, Bliss",1860.0,1954.0,['en'],31,"'Poets, American -- 19th century -- Biography', 'American poetry -- 19th century', 'Whittier, John Greenleaf, 1807-1892'",Text,'American poetry -- 19th century'
3339,PG67246,In the Morning,"Allen, Willis Boyd",1855.0,1938.0,['en'],31,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3378,PG68260,Heartsease and Rue,"Lowell, James Russell",1819.0,1891.0,['en'],32,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3386,PG68531,Elfin land: and other poems,"Ball, Benjamin West",1823.0,1896.0,['en'],22,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3421,PG69365,Zephyrs,"Stiles, Kate R.",,,['en'],32,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3435,PG69681,The Southern war poetry of the Civil War,"Ellinger, Esther Parker",1893.0,1943.0,['en'],93,"'War poetry, American -- Southern States', 'United States -- History -- Civil War, 1861-1865 -- Poetry', 'American poetry -- 19th century', 'Thesis (Ph. D.)', 'American poetry -- 19th century -- Bibliography', 'War poetry, American -- Southern States -- Bibliography', 'Confederate States of America -- Poetry'",Text,'American poetry -- 19th century'
3452,PG70006,The hermit thrush,"Mathews, F. Schuyler (Ferdinand Schuyler)",1854.0,1938.0,['en'],31,"'American poetry -- 19th century', 'Hermit thrush -- Poetry', 'New Hampshire -- Poetry'",Text,'American poetry -- 19th century'
3482,PG7056,Along the Shore,"Lathrop, Rose Hawthorne",1851.0,1926.0,['en'],27,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3489,PG70763,The poetical works of Edmund Clarence Stedman,"Stedman, Edmund Clarence",1833.0,1908.0,['en'],24,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3506,PG71302,"Poems, translated and original","Ellet, E. F. (Elizabeth Fries)",1818.0,1877.0,['en'],42,"'Poetry -- Translations into English', 'American drama -- 19th century', 'American poetry -- 19th century', 'Venice (Italy) -- Drama'",Text,'American poetry -- 19th century'
3636,PG8388,Poems by Walt Whitman,"Whitman, Walt",1819.0,1892.0,['en'],115,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3637,PG8402,East and West: Poems,"Harte, Bret",1836.0,1902.0,['en'],21,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3641,PG845,Poems of Henry Timrod; with Memoir,"Timrod, Henry",1828.0,1867.0,['en'],54,"'Timrod, Henry, 1828-1867', 'American poetry -- 19th century', 'United States -- History -- Civil War, 1861-1865 -- Poetry -- Confederate'",Text,'American poetry -- 19th century'
3748,PG937,"Poems: Patriotic, Religious, Miscellaneous","Ryan, Abram Joseph",1839.0,1886.0,['en'],33,"'Patriotism -- Poetry', 'United States -- History -- Civil War, 1861-1865 -- Poetry', 'American poetry -- 19th century', 'Religion -- Poetry'",Text,'American poetry -- 19th century'
3772,PG9560,"The Vaudois Teacher, and other poems: Part 1 From Volume I of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],18,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3773,PG9561,The Bridal of Pennacook: Part 2 From Volume I of The Works of John Greenleaf Whittier,"Whittier, John Greenleaf",1807.0,1892.0,['en'],7,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3774,PG9562,"Barclay of Ury, and other poems: Part 3 From Volume I of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],4,'American poetry -- 19th century',Text,'American poetry -- 19th century'
