,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
31,PG1020,Sword Blades and Poppy Seed,"Lowell, Amy",1874.0,1925.0,['en'],179,"'Imagist poetry', 'American poetry'",Text,'American poetry'
36,PG1021,"The Congo, and Other Poems","Lindsay, Vachel",1879.0,1931.0,['en'],548,"'Narrative poetry', 'American poetry'",Text,'American poetry'
45,PG1035,The Man Against the Sky: A Book of Poems,"Robinson, Edwin Arlington",1869.0,1935.0,['en'],94,'American poetry',Text,'American poetry'
49,PG1040,The Three Taverns: A Book of Poems,"Robinson, Edwin Arlington",1869.0,1935.0,['en'],37,"'Lyric poetry', 'American poetry'",Text,'American poetry'
56,PG10460,When Day is Done,"Guest, Edgar A. (Edgar Albert)",1881.0,1959.0,['en'],44,'American poetry',Text,'American poetry'
69,PG10596,Cap and Gown: A Treasury of College Verse,,,,['en'],13,"'College verse, American', 'American poetry'",Text,'American poetry'
90,PG10763,It Can Be Done: Poems of Inspiration,,,,['en'],93,"'English poetry', 'American poetry'",Text,'American poetry'
107,PG109,"Renascence, and Other Poems","Millay, Edna St. Vincent",1892.0,1950.0,['en'],113,'American poetry',Text,'American poetry'
113,PG11059,The Sylphs of the Season with Other Poems,"Allston, Washington",1779.0,1843.0,['en'],18,'American poetry',Text,'American poetry'
153,PG11558,Poems,"Goodrich, Samuel G. (Samuel Griswold)",1793.0,1860.0,['en'],99,'American poetry',Text,'American poetry'
159,PG1165,The Little Book of Modern Verse: A Selection from the Work of Contemporaneous American Poets,,,,['en'],17,'American poetry',Text,'American poetry'
194,PG12241,"Poems by Emily Dickinson, Third Series","Dickinson, Emily",1830.0,1886.0,['en'],71,'American poetry',Text,'American poetry'
195,PG12242,"Poems by Emily Dickinson, Three Series, Complete","Dickinson, Emily",1830.0,1886.0,['en'],2649,'American poetry',Text,'American poetry'
216,PG1246,The House of Dust: A Symphony,"Aiken, Conrad",1889.0,1973.0,['en'],115,"'American poetry', 'Pastoral poetry'",Text,'American poetry'
219,PG1247,Second April,"Millay, Edna St. Vincent",1892.0,1950.0,['en'],153,'American poetry',Text,'American poetry'
224,PG12658,Shapes of Clay,"Bierce, Ambrose",1842.0,1913.0,['en'],56,'American poetry',Text,'American poetry'
226,PG12696,"John Smith, U.S.A.","Field, Eugene",1850.0,1895.0,['en'],25,'American poetry',Text,'American poetry'
244,PG1280,Spoon River Anthology,"Masters, Edgar Lee",1868.0,1950.0,['en'],1820,'American poetry',Text,'American poetry'
276,PG13310,The Complete Poetical Works of James Russell Lowell,"Lowell, James Russell",1819.0,1891.0,['en'],118,'American poetry',Text,'American poetry'
297,PG1365,The Complete Poetical Works of Henry Wadsworth Longfellow,"Longfellow, Henry Wadsworth",1807.0,1882.0,['en'],695,'American poetry',Text,'American poetry'
