,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
29,PG1019,"Poems by Currer, Ellis, and Acton Bell","Brontë, Anne",1820.0,1849.0,['en'],428,'English poetry -- 19th century',Text,'English poetry -- 19th century'
33,PG10219,The Poetical Works of William Wordsworth — Volume 1 (of 8),"Wordsworth, William",1770.0,1850.0,['en'],214,"'English poetry -- 19th century', 'English poetry -- 18th century'",Text,'English poetry -- 19th century'
98,PG10910,"Robert Louis Stevenson, an Elegy; and Other Poems","Le Gallienne, Richard",1866.0,1947.0,['en'],17,"'Authors -- Poetry', 'English poetry -- 19th century', 'Stevenson, Robert Louis, 1850-1894 -- Poetry'",Text,'English poetry -- 19th century'
101,PG10913,English Poems,"Le Gallienne, Richard",1866.0,1947.0,['en'],20,'English poetry -- 19th century',Text,'English poetry -- 19th century'
115,PG11064,"Andromeda, and Other Poems","Kingsley, Charles",1819.0,1875.0,['en'],54,'English poetry -- 19th century',Text,'English poetry -- 19th century'
165,PG1186,Poems,"Meynell, Alice",1847.0,1922.0,['en'],61,'English poetry -- 19th century',Text,'English poetry -- 19th century'
189,PG12145,The Poetical Works of William Wordsworth — Volume 2 (of 8),"Wordsworth, William",1770.0,1850.0,['en'],195,"'English poetry -- 19th century', 'English poetry -- 18th century'",Text,'English poetry -- 19th century'
201,PG12383,The Poetical Works of William Wordsworth — Volume 3 (of 8),"Wordsworth, William",1770.0,1850.0,['en'],379,"'English poetry -- 19th century', 'English poetry -- 18th century'",Text,'English poetry -- 19th century'
264,PG13179,The Poems of William Watson,"Watson, William",1858.0,1935.0,['en'],20,'English poetry -- 19th century',Text,'English poetry -- 19th century'
266,PG13184,Narrative and Lyric Poems (first series) for use in the Lower School,,,,['en'],27,"'Readers', 'English poetry -- 19th century', 'American poetry -- 19th century'",Text,'English poetry -- 19th century'
286,PG13586,Poems,"Rogers, Samuel",1763.0,1855.0,['en'],67,'English poetry -- 19th century',Text,'English poetry -- 19th century'
287,PG1358,"Enoch Arden, &c.","Tennyson, Alfred Tennyson, Baron",1809.0,1892.0,['en'],102,'English poetry -- 19th century',Text,'English poetry -- 19th century'
298,PG13672,The Unknown Eros,"Patmore, Coventry",1823.0,1896.0,['en'],131,'English poetry -- 19th century',Text,'English poetry -- 19th century'
326,PG14094,The Suppressed Poems of Alfred Lord Tennyson,"Tennyson, Alfred Tennyson, Baron",1809.0,1892.0,['en'],81,'English poetry -- 19th century',Text,'English poetry -- 19th century'
362,PG14952,Selections from Wordsworth and Tennyson,"Tennyson, Alfred Tennyson, Baron",1809.0,1892.0,['en'],46,'English poetry -- 19th century',Text,'English poetry -- 19th century'
511,PG17347,"Sonnets, and Sonnets on English Dramatic Poets (1590-1650): Taken from The Collected Poetical Works of Algernon Charles; Swinburne, Vol V.","Swinburne, Algernon Charles",1837.0,1909.0,['en'],42,'English poetry -- 19th century',Text,'English poetry -- 19th century'
