,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
50,PG1041,Shakespeare's Sonnets,"Shakespeare, William",1564.0,1616.0,['en'],1740,"'English poetry', 'Sonnets, English'",Text,'English poetry'
51,PG1042,"A Reading of Life, with Other Poems","Meredith, George",1828.0,1909.0,['en'],27,'English poetry',Text,'English poetry'
89,PG10763,It Can Be Done: Poems of Inspiration,,,,['en'],93,"'English poetry', 'American poetry'",Text,'English poetry'
114,PG1105,The Sonnets,"Shakespeare, William",1564.0,1616.0,['en'],130,"'English poetry', 'Sonnets, English'",Text,'English poetry'
125,PG11101,Coleridge's Ancient Mariner and Select Poems,"Coleridge, Samuel Taylor",1772.0,1834.0,['en'],55,'English poetry',Text,'English poetry'
144,PG11488,"The Poetical Works of John Dryden, Volume 1: With Life, Critical Dissertation, and Explanatory Notes","Dryden, John",1631.0,1700.0,['en'],98,'English poetry',Text,'English poetry'
155,PG11576,The Works of Charles and Mary Lamb — Volume 4: Poems and Plays,"Lamb, Charles",1775.0,1834.0,['en'],41,"'English drama', 'English poetry'",Text,'English poetry'
156,PG11578,"The Poetical Works of John Dryden, Volume 2: With Life, Critical Dissertation, and Explanatory Notes","Dryden, John",1631.0,1700.0,['en'],35,'English poetry',Text,'English poetry'
180,PG12026,Poems New and Old,"Freeman, John",1880.0,1929.0,['en'],35,'English poetry',Text,'English poetry'
181,PG12031,Collected Poems 1901-1918 in Two Volumes. Volume I.,"De la Mare, Walter",1873.0,1956.0,['en'],51,'English poetry',Text,'English poetry'
182,PG12032,Collected Poems 1901-1918 in Two Volumes. Volume II.,"De la Mare, Walter",1873.0,1956.0,['en'],26,'English poetry',Text,'English poetry'
183,PG12037,The Wild Knight and Other Poems,"Chesterton, G. K. (Gilbert Keith)",1874.0,1936.0,['en'],71,'English poetry',Text,'English poetry'
208,PG1238,The City of Dreadful Night,"Thomson, James",1834.0,1882.0,['en'],221,'English poetry',Text,'English poetry'
234,PG12719,Sonnet # 29,"Shakespeare, William",1564.0,1616.0,['en'],8,"'English poetry', 'Sonnets, English'",Sound,'English poetry'
235,PG12720,Sonnet #40,"Shakespeare, William",1564.0,1616.0,['en'],10,"'English poetry', 'Sonnets, English'",Sound,'English poetry'
236,PG12721,Sonnet #55,"Shakespeare, William",1564.0,1616.0,['en'],8,"'English poetry', 'Sonnets, English'",Sound,'English poetry'
237,PG12722,Sonnet #100,"Shakespeare, William",1564.0,1616.0,['en'],8,"'English poetry', 'Sonnets, English'",Sound,'English poetry'
238,PG12723,Sonnet #106,"Shakespeare, William",1564.0,1616.0,['en'],6,"'English poetry', 'Sonnets, English'",Sound,'English poetry'
239,PG12724,Sonnet #116,"Shakespeare, William",1564.0,1616.0,['en'],5,"'English poetry', 'Sonnets, English'",Sound,'English poetry'
254,PG1304,Bulchevy's Book of English Verse,,,,['en'],283,'English poetry',Text,'English poetry'
259,PG13085,A Diversity of Creatures,"Kipling, Rudyard",1865.0,1936.0,['en'],262,"'English poetry', 'Short stories, English'",Text,'English poetry'
271,PG13223,"Poems by Jean Ingelow, In Two Volumes, Volume I.","Ingelow, Jean",1820.0,1897.0,['en'],41,'English poetry',Text,'English poetry'
272,PG13224,"Poems by Jean Ingelow, In Two Volumes, Volume II.","Ingelow, Jean",1820.0,1897.0,['en'],34,'English poetry',Text,'English poetry'
281,PG13364,Matthew Arnold's Sohrab and Rustum and Other Poems,"Arnold, Matthew",1822.0,1888.0,['en'],347,'English poetry',Text,'English poetry'
282,PG13535,Selections from Five English Poets,,,,['en'],36,'English poetry',Text,'English poetry'
293,PG13647,Nonsense Songs,"Lear, Edward",1812.0,1888.0,['en'],101,"'Humorous poetry, English', ""Children's poetry, English"", 'English wit and humor', 'English poetry', 'Nonsense verses, English'",Text,'English poetry'
305,PG1381,Poems — Volume 1,"Meredith, George",1828.0,1909.0,['en'],55,"'English poetry', 'Pastoral poetry'",Text,'English poetry'
308,PG1382,Poems — Volume 2,"Meredith, George",1828.0,1909.0,['en'],37,"'Didactic poetry', 'English poetry'",Text,'English poetry'
312,PG1383,Poems — Volume 3,"Meredith, George",1828.0,1909.0,['en'],20,"'Didactic poetry', 'English poetry'",Text,'English poetry'
314,PG13900,"Collected Poems 1897 - 1907, by Henry Newbolt","Newbolt, Henry John, Sir",1862.0,1938.0,['en'],42,'English poetry',Text,'English poetry'
328,PG14129,"The Works of Charles Lamb in Four Volumes, Volume 4","Lamb, Charles",1775.0,1834.0,['en'],58,"'English poetry', 'Short stories, English', 'English essays'",Text,'English poetry'
348,PG1469,Poems,"Thompson, Francis",1859.0,1907.0,['en'],124,'English poetry',Text,'English poetry'
351,PG1471,New Poems,"Thompson, Francis",1859.0,1907.0,['en'],71,'English poetry',Text,'English poetry'
358,PG14887,Pipe and Pouch: The Smoker's Own Book of Poetry,,,,['en'],84,"'English poetry', 'Tobacco -- Poetry'",Text,'English poetry'
