,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
2,PG1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],3277,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
4,PG1002,"Divine Comedy, Longfellow's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],275,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
7,PG1003,"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],266,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
9,PG1004,"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],1235,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
12,PG1005,"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],60,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
14,PG1006,"Divine Comedy, Cary's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],65,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
16,PG1007,"Divine Comedy, Cary's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],61,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
20,PG1008,"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],308,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
108,PG11000,An Old Babylonian Version of the Gilgamesh Epic,"Clay, Albert Tobias",1866.0,1925.0,['en'],616,"'Epic poetry, Assyro-Babylonian'",Text,'Epic poetry
146,PG1151,The Nibelungenlied,,,,['en'],335,"'Mythology, Germanic', 'Epic poetry, Germanic', 'Kriemhild (Legendary character)', 'Siegfried (Legendary character)', 'Nibelungen', 'Folklore -- Germany'",Text,'Epic poetry
300,PG13725,Stories from the Odyssey,"Havell, H. L. (Herbert Lord)",,1913.0,['en'],105,"'Epic poetry, Greek -- Adaptations', 'Tales -- Greece', 'Odysseus, King of Ithaca (Mythological character) -- Fiction'",Text,'Epic poetry
428,PG16328,Beowulf: An Anglo-Saxon Epic Poem,,,,['en'],6082,"'Dragons -- Poetry', 'Monsters -- Poetry', 'Epic poetry, English (Old)'",Text,'Epic poetry
440,PG16452,The Iliad of Homer: Translated into English Blank Verse by William Cowper,Homer,-750.0,-650.0,['en'],1469,"'Achilles (Mythological character) -- Poetry', 'Epic poetry, Greek -- Translations into English', 'Trojan War -- Poetry'",Text,'Epic poetry
475,PG16990,The Story of Troy,"Clarke, Michael",,1916.0,['en'],124,"'Epic poetry, Greek -- Adaptations', 'Readers', 'Trojan War -- Juvenile literature', 'Achilles (Mythological character) -- Juvenile literature'",Text,'Epic poetry
506,PG1727,The Odyssey: Rendered into English prose for the use of those who cannot read the original,Homer,-750.0,-650.0,['en'],11982,"'Homer -- Translations into English', 'Epic poetry, Greek -- Translations into English', 'Odysseus, King of Ithaca (Mythological character)'",Text,'Epic poetry
509,PG1728,The Odyssey of Homer,Homer,-750.0,-650.0,['en'],559,"'Homer -- Translations into English', 'Epic poetry, Greek -- Translations into English', 'Odysseus, King of Ithaca (Mythological character)'",Text,'Epic poetry
572,PG18466,"The Æneid of Virgil, Translated into English Verse",Virgil,-70.0,-19.0,['en'],318,"'Aeneas (Legendary character) -- Poetry', 'Epic poetry, Latin -- Translations into English'",Text,'Epic poetry
602,PG18897,The Epic of Gilgamish: A Fragment of the Gilgamish Legend in Old-Babylonian Cuneiform,"Langdon, Stephen",1876.0,1937.0,['en'],737,"'Epic poetry, Assyro-Babylonian -- Translations into English'",Text,'Epic poetry
672,PG1958,Hermann and Dorothea,"Goethe, Johann Wolfgang von",1749.0,1832.0,['en'],150,"'Love poetry, German', 'Epic poetry, German', 'German poetry -- 18th century'",Text,'Epic poetry
675,PG19630,Maha-bharata: The Epic of Ancient India Condensed into English Verse,,,,['en'],264,"'Epic poetry, Sanskrit -- Translations into English'",Text,'Epic poetry
682,PG19633,Beowulf,,,,['en'],174,"'Dragons -- Poetry', 'Scandinavia -- Poetry', 'Monsters -- Poetry', 'Epic poetry, English (Old)'",Sound,'Epic poetry
701,PG1995,"The Divine Comedy, Volume 1, Hell",Dante Alighieri,1265.0,1321.0,['en'],154,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
703,PG1996,"The Divine Comedy, Volume 2, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],92,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
706,PG1997,"The Divine Comedy, Volume 3, Paradise",Dante Alighieri,1265.0,1321.0,['en'],65,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
749,PG20431,"The Tale of Beowulf, Sometime King of the Folk of the Weder Geats",,,,['en'],244,"'Dragons -- Poetry', 'Monsters -- Poetry', 'Epic poetry, English (Old)'",Text,'Epic poetry
853,PG2199,The Iliad,Homer,-750.0,-650.0,['en'],3605,"'Trojan War', 'Classical literature', 'Achilles (Mythological character)', 'Epic poetry, Greek -- Translations into English'",Text,'Epic poetry
874,PG22382,The Iliad,Homer,-750.0,-650.0,['en'],377,"'Trojan War', 'Achilles (Mythological character)', 'Epic poetry, Greek -- Translations into English'",Text,'Epic poetry
884,PG22456,The Aeneid of Virgil,Virgil,-70.0,-19.0,['en'],1323,"'Aeneas (Legendary character) -- Poetry', 'Epic poetry, Latin -- Translations into English'",Text,'Epic poetry
919,PG228,The Aeneid,Virgil,-70.0,-19.0,['en'],2080,"'Aeneas (Legendary character) -- Poetry', 'Epic poetry, Latin -- Translations into English', 'Legends -- Rome -- Poetry'",Text,'Epic poetry
1008,PG23819,La Chanson de Roland : Translated from the Seventh Edition of Léon Gautier,,,,['en'],231,"'Epic poetry, French -- Translations into English', 'Knights and knighthood -- Poetry', 'Roland (Legendary character) -- Romances'",Text,'Epic poetry
