,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
26,PG10133,"The Vigil of Venus and Other Poems by ""Q""","Quiller-Couch, Arthur",1863.0,1944.0,['en'],78,'Poetry',Text,'Poetry'
32,PG10216,Poems,"Holley, Marietta",1836.0,1926.0,['en'],30,'Poetry',Text,'Poetry'
37,PG10280,In de Mornin' and Jes Gib Him One Ob Mine,"Dunbar, Paul Laurence",1872.0,1906.0,['en'],52,'Poetry',Sound,'Poetry'
40,PG1031,"Charmides, and Other Poems","Wilde, Oscar",1854.0,1900.0,['en'],174,'Poetry',Text,'Poetry'
41,PG10328,Poems,"Cassels, Walter Richard",1826.0,1907.0,['en'],23,'Poetry',Text,'Poetry'
46,PG10367,Poems,"Carr, John, Sir",1772.0,1832.0,['en'],23,'Poetry',Text,'Poetry'
53,PG10457,The Lonely Dancer and Other Poems,"Le Gallienne, Richard",1866.0,1947.0,['en'],33,'Poetry',Text,'Poetry'
62,PG10518,Poems,"Hay, John",1838.0,1905.0,['en'],21,'Poetry',Text,'Poetry'
64,PG10559,Ballads,"Stevenson, Robert Louis",1850.0,1894.0,['en'],13,"'Ballads', 'Poetry'",Sound,'Poetry'
67,PG1057,"Poems, with The Ballad of Reading Gaol","Wilde, Oscar",1854.0,1900.0,['en'],2164,"'Prisons -- Poetry', 'Poetry'",Text,'Poetry'
72,PG1060,Grass of Parnassus,"Lang, Andrew",1844.0,1912.0,['en'],35,'Poetry',Text,'Poetry'
93,PG10835,"Dr. Johnson's Works: Life, Poems, and Tales, Volume 1: The Works of Samuel Johnson, LL.D., in Nine Volumes","Johnson, Samuel",1709.0,1784.0,['en'],23,"'Fiction', 'Johnson, Samuel, 1709-1784', 'Poetry', 'Johnson, Samuel, 1709-1784. Correspondence'",Text,'Poetry'
102,PG10931,"The Lullaby, with Original Engravings","Bolles, John R. (John Rogers)",1810.0,1895.0,['en'],8,'Poetry',Text,'Poetry'
109,PG11006,The Book with the Yellow Cover,"Wetterau, John Moncure",,,['en'],14,'Poetry',Text,'Poetry'
121,PG11091,Poems,"Stoddard, John L. (John Lawson)",1850.0,1931.0,['en'],13,'Poetry',Text,'Poetry'
129,PG11194,Vignettes in Verse,"Betham, Matilda",1776.0,1852.0,['en'],22,'Poetry',Text,'Poetry'
130,PG11215,Poems (1828),"Gent, Thomas",1780.0,,['en'],11,'Poetry',Text,'Poetry'
135,PG11266,Sonnets by the Nawab Nizamat Jung Bahadur,"Jung, Nizamat, Sir",1871.0,1955.0,['en'],20,"'Poetry', 'Sonnets'",Text,'Poetry'
137,PG11351,"Cape Cod Ballads, and Other Verse","Lincoln, Joseph Crosby",1870.0,1944.0,['en'],38,'Poetry',Text,'Poetry'
139,PG1137,A Lover's Complaint,"Shakespeare, William",1564.0,1616.0,['en'],41,'Poetry',Text,'Poetry'
140,PG1141,Selected Poems of Oscar Wilde,"Wilde, Oscar",1854.0,1900.0,['en'],114,'Poetry',Text,'Poetry'
143,PG11439,The Snow-Drop: A Holiday Gift,"Mower, Sarah S.",,,['en'],20,'Poetry',Text,'Poetry'
145,PG11496,Poetry,"Quiller-Couch, Arthur",1863.0,1944.0,['en'],26,'Poetry',Text,'Poetry'
147,PG11522,Deadly Pollen,"Oliver, Stephen",1950.0,,['en'],12,'Poetry',Text,'Poetry'
154,PG11564,"An Essay on War, in Blank Verse; Honington Green, a Ballad; the Culprit, an Elegy; and Other Poems, on Various Subjects","Bloomfield, Nathaniel",,,['en'],25,'Poetry',Text,'Poetry'
158,PG11599,Withered Leaves from Memory's Garland,"Hanna, Abigail Stanley",,,['en'],24,"'Fiction', 'Poetry'",Text,'Poetry'
173,PG11983,Poetic Sketches: A Collection of Miscellaneous Poetry,"Gent, Thomas",1780.0,,['en'],12,'Poetry',Text,'Poetry'
