,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
22,PG10122,Fairies and Fusiliers,"Graves, Robert",1895.0,1985.0,['en'],146,"'World War, 1914-1918 -- Poetry', 'War poetry, English'",Text,1914-1918 -- Poetry'
43,PG1034,Poems,"Owen, Wilfred",1893.0,1918.0,['en'],267,"'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'",Text,1914-1918 -- Poetry'
313,PG13886,Rhymes of the Rookies: Sunny Side of Soldier Service,"Christian, W. E.",,,['en'],18,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
353,PG14757,The War Poems of Siegfried Sassoon,"Sassoon, Siegfried",1886.0,1967.0,['en'],76,"'World War, 1914-1918 -- Poetry', 'War poetry, English'",Text,1914-1918 -- Poetry'
414,PG15937,"""I was there"" with the Yanks on the western front, 1917-1919","Baldridge, Cyrus Leroy",1889.0,1977.0,['en'],73,"'World War, 1914-1918 -- Pictorial works', 'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
455,PG16632,Over Here,"Guest, Edgar A. (Edgar Albert)",1881.0,1959.0,['en'],60,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
472,PG16904,"'Hello, soldier!' : $b Khaki verse","Dyson, Edward",1865.0,1931.0,['en'],38,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
583,PG18649,Some Diversions of a Man of Letters,"Gosse, Edmund",1849.0,1928.0,['en'],38,"'World War, 1914-1918 -- Poetry', 'American literature -- History and criticism', 'English literature -- History and criticism'",Text,1914-1918 -- Poetry'
634,PG19358,War Rhymes by Wayfarer,"Cosens, Abner",,,['en'],25,"'World War, 1914-1918 -- Poetry', 'Canadian poetry'",Text,1914-1918 -- Poetry'
720,PG20072,With the Colors: Songs of the American Service,"Appleton, Everard Jack",1872.0,1931.0,['en'],45,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
724,PG20123,"Golden Stars, and Other Verses Following ""The Red Flower""","Van Dyke, Henry",1852.0,1933.0,['en'],31,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
