,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
58,PG10354,Die Laune des Verliebten: Ein Schäferspiel in Versen und einem Akt,"Goethe, Johann Wolfgang von",1749.0,1832.0,['de'],21,"'Pastoral poetry', 'German poetry -- 18th century'",Text,'Pastoral poetry'
59,PG10354,Die Laune des Verliebten: Ein Schäferspiel in Versen und einem Akt,"Goethe, Johann Wolfgang von",1749.0,1832.0,['de'],21,"'Pastoral poetry', 'German poetry -- 18th century'",Text,'German poetry -- 18th century'
228,PG12268,Hohe Sommertage: Neue Gedichte,"Falke, Gustav",1853.0,1916.0,['de'],31,'German poetry -- 20th century',Text,'German poetry -- 20th century'
293,PG12921,Gesammelte Werke in fünf Bänden — 1. Band,"Bjørnson, Bjørnstjerne",1832.0,1910.0,['de'],61,"'Scandinavian poetry -- Translations into German', 'Norway -- Fiction', 'Short stories'",Text,'Scandinavian poetry -- Translations into German'
354,PG13732,Das liebe Nest,"Dehmel, Paula",1862.0,1918.0,['de'],55,"""Children's poetry, German""",Text,"""Children's poetry"
387,PG14221,Aladdin und die Wunderlampe: Tausend und einer Nacht nacherzaehlt,"Fulda, Ludwig",1862.0,1939.0,['de'],73,"""Children's poetry, German""",Text,"""Children's poetry"
400,PG14340,Pater Filucius,"Busch, Wilhelm",1832.0,1908.0,['de'],26,'German poetry -- 19th century',Text,'German poetry -- 19th century'
444,PG14915,Das Nibelungenlied,Unknown,,,['de'],150,"'Epic poetry, German'",Text,'Epic poetry
500,PG15813,Michelangelo Gedichte und Briefe: In Auswahl herausgegeben von R. A. Guardini,Michelangelo Buonarroti,1475.0,1564.0,['de'],113,"'Michelangelo Buonarroti, 1475-1564. Correspondence', 'Italian poetry -- 16th century -- Translations into German', 'Artists -- Correspondence'",Text,'Italian poetry -- 16th century -- Translations into German'
592,PG16880,Über die Dichtkunst beim Aristoteles: Neu übersetzt und mit Einleitung und einem erklärenden Namen- und Sachverzeichnis versehen von Alfred Gudemann 1921,Aristotle,-384.0,-322.0,['de'],118,"'Classical literature', 'Aristotle, 384 BC-322 BC', 'Poetry -- Early works to 1800'",Text,'Poetry -- Early works to 1800'
619,PG17161,Max und Moritz: Eine Bubengeschichte in sieben Streichen,"Busch, Wilhelm",1832.0,1908.0,['de'],1321,"'Wit and humor', 'Practical jokes -- Juvenile poetry', ""Children's poetry, German""",Text,'Practical jokes -- Juvenile poetry'
620,PG17161,Max und Moritz: Eine Bubengeschichte in sieben Streichen,"Busch, Wilhelm",1832.0,1908.0,['de'],1321,"'Wit and humor', 'Practical jokes -- Juvenile poetry', ""Children's poetry, German""",Text,"""Children's poetry"
734,PG18463,Romanzen vom Rosenkranz,"Brentano, Clemens",1778.0,1842.0,['de'],49,'German poetry -- 18th century',Text,'German poetry -- 18th century'
857,PG19636,Bildergeschichten,"Busch, Wilhelm",1832.0,1908.0,['de'],200,"'German poetry -- 19th century', ""Children's poetry, German""",Sound,'German poetry -- 19th century'
