,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
1948,PG30613,Ομήρου Οδύσσεια Τόμος Α,Homer,-750.0,-650.0,['el'],127,"'Odysseus, King of Ithaca (Mythological character) -- Poetry', 'Epic poetry, Greek'",Text,King of Ithaca (Mythological character) -- Poetry'
1949,PG30613,Ομήρου Οδύσσεια Τόμος Α,Homer,-750.0,-650.0,['el'],127,"'Odysseus, King of Ithaca (Mythological character) -- Poetry', 'Epic poetry, Greek'",Text,'Epic poetry
1950,PG30614,Ομήρου Οδύσσεια Τόμος Β,Homer,-750.0,-650.0,['el'],51,"'Odysseus, King of Ithaca (Mythological character) -- Poetry', 'Epic poetry, Greek'",Text,King of Ithaca (Mythological character) -- Poetry'
1951,PG30614,Ομήρου Οδύσσεια Τόμος Β,Homer,-750.0,-650.0,['el'],51,"'Odysseus, King of Ithaca (Mythological character) -- Poetry', 'Epic poetry, Greek'",Text,'Epic poetry
1952,PG30615,Ομήρου Οδύσσεια Τόμος Γ,Homer,-750.0,-650.0,['el'],244,"'Odysseus, King of Ithaca (Mythological character) -- Poetry', 'Epic poetry, Greek'",Text,King of Ithaca (Mythological character) -- Poetry'
1953,PG30615,Ομήρου Οδύσσεια Τόμος Γ,Homer,-750.0,-650.0,['el'],244,"'Odysseus, King of Ithaca (Mythological character) -- Poetry', 'Epic poetry, Greek'",Text,'Epic poetry
1954,PG30616,Ομήρου Οδύσσεια Τόμος Δ,Homer,-750.0,-650.0,['el'],51,"'Odysseus, King of Ithaca (Mythological character) -- Poetry', 'Epic poetry, Greek'",Text,King of Ithaca (Mythological character) -- Poetry'
1955,PG30616,Ομήρου Οδύσσεια Τόμος Δ,Homer,-750.0,-650.0,['el'],51,"'Odysseus, King of Ithaca (Mythological character) -- Poetry', 'Epic poetry, Greek'",Text,'Epic poetry
1999,PG31404,Μύθοι,"Velaras, Ioannes",1771.0,1823.0,['el'],34,"'Greek poetry, Modern'",Text,'Greek poetry
2025,PG31669,Ιλιάδος Ραψωδία Α: Μεταφρασθείσα εις δημοτικούς στίχους,Homer,-750.0,-650.0,['el'],40,"'Achilles (Mythological character) -- Poetry', 'Epic poetry, Greek -- Translations into Modern Greek', 'Trojan War -- Poetry'",Text,'Achilles (Mythological character) -- Poetry'
2026,PG31669,Ιλιάδος Ραψωδία Α: Μεταφρασθείσα εις δημοτικούς στίχους,Homer,-750.0,-650.0,['el'],40,"'Achilles (Mythological character) -- Poetry', 'Epic poetry, Greek -- Translations into Modern Greek', 'Trojan War -- Poetry'",Text,'Epic poetry
2027,PG31669,Ιλιάδος Ραψωδία Α: Μεταφρασθείσα εις δημοτικούς στίχους,Homer,-750.0,-650.0,['el'],40,"'Achilles (Mythological character) -- Poetry', 'Epic poetry, Greek -- Translations into Modern Greek', 'Trojan War -- Poetry'",Text,'Trojan War -- Poetry'
