,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
2,PG1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],3277,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Hell -- Poetry'
3,PG1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],3277,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
4,PG1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],3277,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
5,PG1002,"Divine Comedy, Longfellow's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],275,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
6,PG1002,"Divine Comedy, Longfellow's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],275,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
7,PG10031,The Complete Poetical Works of Edgar Allan Poe: Including Essays on Poetry,"Poe, Edgar Allan",1809.0,1849.0,['en'],976,"'Fantasy poetry, American'",Text,'Fantasy poetry
8,PG1003,"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],266,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
9,PG1003,"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],266,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
10,PG1004,"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],1235,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
11,PG1004,"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],1235,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
12,PG1005,"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],60,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Hell -- Poetry'
13,PG1005,"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],60,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
14,PG1005,"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],60,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
16,PG1006,"Divine Comedy, Cary's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],65,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
17,PG1006,"Divine Comedy, Cary's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],65,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
18,PG1007,"Divine Comedy, Cary's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],61,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
19,PG1007,"Divine Comedy, Cary's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],61,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
20,PG10089,Elves and Heroes,"Mackenzie, Donald A. (Donald Alexander)",1873.0,1936.0,['en'],69,"'Ossian, active 3rd century', 'Fairy poetry', 'Scottish poetry'",Text,'Fairy poetry'
21,PG10089,Elves and Heroes,"Mackenzie, Donald A. (Donald Alexander)",1873.0,1936.0,['en'],69,"'Ossian, active 3rd century', 'Fairy poetry', 'Scottish poetry'",Text,'Scottish poetry'
22,PG1008,"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],308,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
23,PG1008,"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],308,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
30,PG10119,Adonais,"Shelley, Percy Bysshe",1792.0,1822.0,['en'],297,"'Shelley, Percy Bysshe, 1792-1822 -- Criticism and interpretation', 'Keats, John, 1795-1821 -- Poetry'",Text,1795-1821 -- Poetry'
33,PG10122,Fairies and Fusiliers,"Graves, Robert",1895.0,1985.0,['en'],146,"'World War, 1914-1918 -- Poetry', 'War poetry, English'",Text,1914-1918 -- Poetry'
34,PG10122,Fairies and Fusiliers,"Graves, Robert",1895.0,1985.0,['en'],146,"'World War, 1914-1918 -- Poetry', 'War poetry, English'",Text,'War poetry
37,PG10130,The Works of Charles and Mary Lamb — Volume 3: Books for Children,"Lamb, Charles",1775.0,1834.0,['en'],54,"""Children's poetry"", ""Children's stories""",Text,"""Children's poetry"""
38,PG10131,"Required Poems for Reading and Memorizing: Third and Fourth Grades, Prescribed by State Courses of Study",Anonymous,,,['en'],46,"""Children's poetry""",Text,"""Children's poetry"""
