,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
432,PG14765,El Gaucho Martín Fierro,"Hernández, José",1834.0,1886.0,['es'],173,'Gauchos -- Poetry',Text,'Gauchos -- Poetry'
451,PG15066,La Vuelta de Martín Fierro,"Hernández, José",1834.0,1886.0,['es'],43,'Gauchos -- Poetry',Text,'Gauchos -- Poetry'
521,PG16110,Viage al Parnaso: La Numancia (Tragedia) y El Trato de Argel (Comedia),"Cervantes Saavedra, Miguel de",1547.0,1616.0,['es'],46,"'Spanish poetry', 'Spanish drama'",Text,'Spanish poetry'
529,PG16201,Parnaso Filipino: Antología de Poetas del Archipelago Magellanico,"Martín de la Cámara, Eduardo",1873.0,,['es'],77,"'Philippines -- Biography', 'Philippine poetry (Spanish)'",Text,'Philippine poetry (Spanish)'
537,PG16319,"Impresiones, Poesías","Campo Arana, José",1847.0,1885.0,['es'],27,'Poetry',Text,'Poetry'
572,PG16625,Clásicos Castellanos: Libro de Buen Amor,"Ruiz, Juan",1282.0,1349.0,['es'],199,'Spanish poetry -- To 1500',Text,'Spanish poetry -- To 1500'
745,PG18600,Mi Ultimo Adiós,"Rizal, José",1861.0,1896.0,['es'],4273,'Poetry',Text,'Poetry'
1510,PG25317,"La Argentina, o La conquista del Rio de La Plata. Poema histórico","Barco Centenera, Martín del",1535.0,,['es'],86,"'Argentina -- History -- 1535-1617 -- Poetry', 'Rio de la Plata Region (Argentina and Uruguay) -- History -- Poetry', 'America -- Early accounts to 1600', 'America -- Discovery and exploration -- Spanish -- Poetry'",Text,'Argentina -- History -- 1535-1617 -- Poetry'
1511,PG25317,"La Argentina, o La conquista del Rio de La Plata. Poema histórico","Barco Centenera, Martín del",1535.0,,['es'],86,"'Argentina -- History -- 1535-1617 -- Poetry', 'Rio de la Plata Region (Argentina and Uruguay) -- History -- Poetry', 'America -- Early accounts to 1600', 'America -- Discovery and exploration -- Spanish -- Poetry'",Text,'Rio de la Plata Region (Argentina and Uruguay) -- History -- Poetry'
1512,PG25317,"La Argentina, o La conquista del Rio de La Plata. Poema histórico","Barco Centenera, Martín del",1535.0,,['es'],86,"'Argentina -- History -- 1535-1617 -- Poetry', 'Rio de la Plata Region (Argentina and Uruguay) -- History -- Poetry', 'America -- Early accounts to 1600', 'America -- Discovery and exploration -- Spanish -- Poetry'",Text,'America -- Discovery and exploration -- Spanish -- Poetry'
1568,PG25807,Poemas,"Poe, Edgar Allan",1809.0,1849.0,['es'],216,'American poetry -- Translations into Spanish',Text,'American poetry -- Translations into Spanish'
1852,PG28978,El infierno del amor: leyenda fantastica,"Fernández y González, Manuel",1821.0,1888.0,['es'],70,'Poetry',Text,'Poetry'
2296,PG35407,Rimas,"Mitre, Bartolomé",1821.0,1906.0,['es'],33,'Poetry',Text,'Poetry'
3075,PG47650,Prosas Profanas: Obras Completas Vol. II,"Darío, Rubén",1867.0,1916.0,['es'],73,'Nicaraguan poetry',Text,'Nicaraguan poetry'
3173,PG49333,Coplas por la muerte de su padre,"Manrique, Jorge",,1479.0,['es'],39,'Bereavement -- Poetry',Text,'Bereavement -- Poetry'
3179,PG49437,Páginas escogidas,"Machado, Antonio",1875.0,1939.0,['es'],81,'Spanish poetry',Text,'Spanish poetry'
3222,PG49914,Cancionero de Lope de Stúñiga: Códice del siglo XV.,,,,['es'],56,'Spanish poetry -- To 1500',Text,'Spanish poetry -- To 1500'
