,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
119,PG10941,Jumalainen näytelmä: Helvetti,Dante Alighieri,1265.0,1321.0,['fi'],136,'Hell -- Poetry',Text,'Hell -- Poetry'
135,PG11072,Jumalainen näytelmä: Kiirastuli,Dante Alighieri,1265.0,1321.0,['fi'],32,'Poetry',Text,'Poetry'
157,PG11294,Juhana Herttuan ja Catharina Jagellonican lauluja,"Leino, Eino",1878.0,1926.0,['fi'],13,'Poetry',Text,'Poetry'
192,PG11968,Kansanlauluja,"Lönnrot, Elias",1802.0,1884.0,['fi'],45,'Finnish poetry',Text,'Finnish poetry'
220,PG12178,Tuuli ja tähkä ynnä muita runoja,"Kailas, Uuno",1901.0,1933.0,['fi'],20,'Poetry',Text,'Poetry'
257,PG12546,Jumalainen näytelmä,Dante Alighieri,1265.0,1321.0,['fi'],279,'Poetry',Text,'Poetry'
258,PG12547,Jumalainen näytelmä: Paratiisi,Dante Alighieri,1265.0,1321.0,['fi'],24,'Poetry',Text,'Poetry'
263,PG12688,Vänrikki Stoolin tarinat (suom. Cajander),"Runeberg, Johan Ludvig",1804.0,1877.0,['fi'],52,"'Finland -- History -- Russian Conquest, 1808-1809 -- Poetry'",Text,1808-1809 -- Poetry'
280,PG12757,Vänrikki Stoolin tarinat (suom. Manninen),"Runeberg, Johan Ludvig",1804.0,1877.0,['fi'],39,"'Finland -- History -- Russian Conquest, 1808-1809 -- Poetry'",Text,1808-1809 -- Poetry'
292,PG12907,Runot; Lyhyet kertomukset,"Kivi, Aleksis",1834.0,1872.0,['fi'],21,"'Poetry', 'Short stories'",Text,'Poetry'
300,PG13063,Kootut teokset 1: Runoelmia 1868-1885,"Erkko, J. H.",1849.0,1906.0,['fi'],14,'Finnish poetry',Text,'Finnish poetry'
307,PG13099,Runoja,"Hellaakoski, Aaro",1893.0,1952.0,['fi'],40,'Poetry',Text,'Poetry'
311,PG13129,Helkavirsiä I-II,"Leino, Eino",1878.0,1926.0,['fi'],52,'Finnish poetry',Text,'Finnish poetry'
326,PG13318,Runoelmia,"Cajander, Paavo Emil",1846.0,1913.0,['fi'],32,'Poetry',Text,'Poetry'
333,PG13429,Nimettömiä lauluja,"Hellaakoski, Aaro",1893.0,1952.0,['fi'],33,'Poetry',Text,'Poetry'
402,PG14351,Maaliskuun lauluja; Tarina suuresta tammesta; Yökehrääjä,"Leino, Eino",1878.0,1926.0,['fi'],20,'Finnish poetry',Text,'Finnish poetry'
418,PG14607,Kahden talonpojan ulkomaan-matka,"Reuter, Fritz",1810.0,1874.0,['fi'],11,"'Epic poetry, German -- Adaptations'",Text,'Epic poetry
421,PG14649,Sata ja yksi laulua; Hiihtäjän virsiä; Pyhä kevät,"Leino, Eino",1878.0,1926.0,['fi'],29,'Poetry',Text,'Poetry'
427,PG14724,Kangastuksia; Talvi-yö; Halla; Tähtitarha,"Leino, Eino",1878.0,1926.0,['fi'],21,'Poetry',Text,'Poetry'
433,PG14774,Painuva päivä; Elämän koreus; Leirivalkeat; Ajatar; Syreenien kukkiessa,"Leino, Eino",1878.0,1926.0,['fi'],25,'Poetry',Text,'Poetry'
436,PG14861,Kivesjärveläiset; Simo Hurtta; Bellerophon,"Leino, Eino",1878.0,1926.0,['fi'],5,'Poetry',Text,'Poetry'
501,PG15814,Lauluja ja ballaadeja,"Burns, Robert",1759.0,1796.0,['fi'],36,'Scottish poetry -- Translations into Finnish',Text,'Scottish poetry -- Translations into Finnish'
513,PG15897,Ristiaallokossa: Kokoelma runoelmia,"Leino, Kasimir",1866.0,1919.0,['fi'],28,'Poetry',Text,'Poetry'
516,PG15993,25 vuotta: Valikoima runoja,"Leino, Kasimir",1866.0,1919.0,['fi'],41,'Poetry',Text,'Poetry'
531,PG16211,Fjalar Kuningas,"Runeberg, Johan Ludvig",1804.0,1877.0,['fi'],21,'Poetry',Text,'Poetry'
538,PG16326,Väljemmillä vesillä: Uusia Runoja,"Leino, Kasimir",1866.0,1919.0,['fi'],12,'Poetry',Text,'Poetry'
547,PG16395,Runoelmia,"Kramsu, Kaarlo",1855.0,1895.0,['fi'],16,'Poetry',Text,'Poetry'
719,PG18272,Valikoima runoelmia,"Tavaststjerna, Karl August",1860.0,1898.0,['fi'],23,'Poetry',Text,'Poetry'
721,PG18301,Kootut teokset 2: Runoelmia 1886-1906,"Erkko, J. H.",1849.0,1906.0,['fi'],23,'Finnish poetry',Text,'Finnish poetry'
722,PG18303,Dityrambeja,"Kouta, Aarni",1884.0,1924.0,['fi'],33,'Poetry',Text,'Poetry'
727,PG18348,Faust I,"Goethe, Johann Wolfgang von",1749.0,1832.0,['fi'],35,"'German poetry', 'Legends -- Germany -- Drama', 'Magicians -- Drama', 'Faust, -approximately 1540 -- Drama'",Text,'German poetry'
731,PG18411,Sata runoa: Valikoituja maailmankirjallisuudesta,,,,['fi'],17,'Poetry',Text,'Poetry'
751,PG18706,Runoja. Uusi sarja,"Juva, Valter",1865.0,1922.0,['fi'],21,'Poetry',Text,'Poetry'
782,PG18998,Väinölä: Helmivyö suomalaista runoutta,Various,,,['fi'],37,'Finnish poetry',Text,'Finnish poetry'
881,PG19917,Bucolica,Virgil,-70.0,-19.0,['fi'],29,"'Country life -- Rome -- Poetry', 'Pastoral poetry, Latin -- Translations into Finnish'",Text,'Country life -- Rome -- Poetry'
882,PG19917,Bucolica,Virgil,-70.0,-19.0,['fi'],29,"'Country life -- Rome -- Poetry', 'Pastoral poetry, Latin -- Translations into Finnish'",Text,'Pastoral poetry
914,PG20100,Runoja,"Koskenniemi, Veikko Antero",1885.0,1962.0,['fi'],28,'Poetry',Text,'Poetry'
916,PG20118,Valkeat kaupungit,"Koskenniemi, Veikko Antero",1885.0,1962.0,['fi'],21,'Poetry',Text,'Poetry'
920,PG20140,Hiilivalkea,"Koskenniemi, Veikko Antero",1885.0,1962.0,['fi'],38,'Poetry',Text,'Poetry'
922,PG20145,Elegioja,"Koskenniemi, Veikko Antero",1885.0,1962.0,['fi'],71,'Poetry',Text,'Poetry'
923,PG20148,Hannu; Nuori Anssi; Sydän ja Kuolema,"Koskenniemi, Veikko Antero",1885.0,1962.0,['fi'],38,"'Fiction', 'Poetry'",Text,'Poetry'
925,PG20166,Lyyra ja paimenhuilu: Runosuomennoksia,,,,['fi'],21,'Poetry',Text,'Poetry'
933,PG20227,Runoelmia,"Heine, Heinrich",1797.0,1856.0,['fi'],19,'German poetry -- Translations into Finnish',Text,'German poetry -- Translations into Finnish'
936,PG20284,Uusi Grottelaulu,"Rydberg, Viktor",1828.0,1895.0,['fi'],34,'Poetry',Text,'Poetry'
948,PG20422,Runoelmia,"Goethe, Johann Wolfgang von",1749.0,1832.0,['fi'],38,'Poetry',Text,'Poetry'
996,PG20881,Säveliä: Hämeestä ja muualta,Various,,,['fi'],28,'Poetry',Text,'Poetry'
997,PG20882,Nadeschda: Yhdeksän laulua,"Runeberg, Johan Ludvig",1804.0,1877.0,['fi'],39,'Poetry',Text,'Poetry'
998,PG20883,Lyyrillisiä runoelmia 1,"Runeberg, Johan Ludvig",1804.0,1877.0,['fi'],23,'Poetry',Text,'Poetry'
1009,PG20970,Liian Paha Sappi,"Hellaakoski, Aaro",1893.0,1952.0,['fi'],60,'Poetry',Sound,'Poetry'
1016,PG21026,Vähemmät eepilliset runoelmat,"Runeberg, Johan Ludvig",1804.0,1877.0,['fi'],31,'Poetry',Text,'Poetry'
1090,PG21803,"""Soitto on suruista tehty"": Historiallisia runoelmia: I. Pilatus. II. Piispa Tuomas.","Mäkinen, Antti",1857.0,1936.0,['fi'],32,'Poetry',Text,'Poetry'
1215,PG22923,Pieni helmivyö: Suomen runoja koulunuorisolle,,,,['fi'],24,'Finnish poetry',Text,'Finnish poetry'
1297,PG23543,Kalervo: Runollinen kalenteri,"Bergman, Johan Albert",1844.0,1924.0,['fi'],25,'Poetry',Text,'Poetry'
1449,PG24638,"Kahdeksantoista runoniekkaa: Valikoima Korhosen, Lyytisen, Makkosen, Kymäläisen, Puhakan,; Räikkösen y.m. runoja ja lauluja",,,,['fi'],24,'Finnish poetry',Text,'Finnish poetry'
1488,PG24905,Elämän polulla: Runoelmia,"Mantere, Niilo",1870.0,1954.0,['fi'],26,'Finnish poetry',Text,'Finnish poetry'
1493,PG25052,"Valittuja runoja: Kokoelmista 'Guitarr och Dragharmonika', 'Nya Dikter' ja 'Räggler å Paschaser'","Fröding, Gustaf",1860.0,1911.0,['fi'],35,'Swedish poetry -- Translations into Finnish',Text,'Swedish poetry -- Translations into Finnish'
1562,PG25790,Muistoja ja toiveita ystäville jouluksi,"Genetz, Arvid",1848.0,1915.0,['fi'],28,'Finnish poetry',Text,'Finnish poetry'
1635,PG26555,Sepitelmiä: Runon-kokeita,"Wuorinen, Olli",1842.0,1917.0,['fi'],14,'Finnish poetry',Text,'Finnish poetry'
1659,PG26773,Honkakannel 1: Kielten viritys,"Paavo-Kallio, Esa",1858.0,1936.0,['fi'],20,'Finnish poetry',Text,'Finnish poetry'
1723,PG27247,Maan puoleen: Runoja,"Siljo, Juhani",1888.0,1918.0,['fi'],8,'Finnish poetry',Text,'Finnish poetry'
1787,PG27898,Runoelmia 1,"Brummer, F. F. (Frans Ferdinand)",1847.0,1893.0,['fi'],25,'Finnish poetry',Text,'Finnish poetry'
1788,PG27899,Runoelmia 2,"Brummer, F. F. (Frans Ferdinand)",1847.0,1893.0,['fi'],27,'Finnish poetry',Text,'Finnish poetry'
1864,PG29126,Aikarunoja,"Heine, Heinrich",1797.0,1856.0,['fi'],15,'German poetry -- Translations into Finnish',Text,'German poetry -- Translations into Finnish'
1890,PG29708,Runoelmia,"Mäkinen, Antti",1857.0,1936.0,['fi'],10,'Poetry',Text,'Poetry'
1891,PG29709,Valikoima runoelmia,"Heine, Heinrich",1797.0,1856.0,['fi'],28,'Poetry',Text,'Poetry'
2205,PG33949,Valikoima Jaakko Juteinin runoja,"Juteini, Jaakko",1781.0,1855.0,['fi'],25,'Poetry',Text,'Poetry'
2331,PG35923,Ilolaulu Jesuksesta,"Salamnius, Mattias",1650.0,1691.0,['fi'],16,'Jesus Christ -- Poetry',Text,'Jesus Christ -- Poetry'
2336,PG36019,Korven kaikuja: Hengellisiä lauluja,"Jaakkola, Efraim",,,['fi'],17,'Poetry',Text,'Poetry'
2348,PG36070,Kertovaisia runoelmia: Alkuperäisiä,Various,,,['fi'],17,'Poetry',Text,'Poetry'
2370,PG36362,Matkustus Belgiaan,"Reuter, Fritz",1810.0,1874.0,['fi'],22,"'Epic poetry, German -- Adaptations', 'Peasants -- Germany -- Fiction'",Text,'Epic poetry
2411,PG37018,Raittiutta runoissa I-II: Raittiuskokouksissa lausuttavaksi ja kotona luettavaksi,"Hellman, Juho",,,['fi'],16,'Temperance -- Poetry',Text,'Temperance -- Poetry'
2412,PG37037,Sääskiä: 1. parvi. Runollisia kokeita,"Rahkonen, Aleksanteri",1841.0,1877.0,['fi'],27,'Poetry',Text,'Poetry'
2413,PG37045,Sääskiä: 2. parvi. Runollisia kokeita,"Rahkonen, Aleksanteri",1841.0,1877.0,['fi'],19,'Poetry',Text,'Poetry'
2601,PG40007,"Säkeniä, Kokous runoelmia","Ahlqvist, August",1826.0,1889.0,['fi'],28,'Finnish poetry',Text,'Finnish poetry'
2672,PG41449,Runot,"Siljo, Juhani",1888.0,1918.0,['fi'],9,'Finnish poetry',Text,'Finnish poetry'
2676,PG41469,Suonion kootut runoelmat ja kertoelmat,"Krohn, Julius",1835.0,1888.0,['fi'],16,'Finnish poetry',Text,'Finnish poetry'
2791,PG43521,Niitä näitä runouden alalta,"Blom, E. J. (Erik Johan)",1817.0,1887.0,['fi'],26,'Finnish poetry',Text,'Finnish poetry'
2794,PG43619,Ristin tie: Runoja,"Kouta, Aarni",1884.0,1924.0,['fi'],46,'Finnish poetry',Text,'Finnish poetry'
2813,PG44042,Runous ja runouden muodot: Kirjoitelmia. Runoja.,"Godenhjelm, B. F. (Bernhard Fredrik)",1840.0,1912.0,['fi'],34,"'Poetry', 'Poetry -- History and criticism', 'Essays'",Text,'Poetry'
2814,PG44042,Runous ja runouden muodot: Kirjoitelmia. Runoja.,"Godenhjelm, B. F. (Bernhard Fredrik)",1840.0,1912.0,['fi'],34,"'Poetry', 'Poetry -- History and criticism', 'Essays'",Text,'Poetry -- History and criticism'
2853,PG44871,Kuvia ja säveliä,"Juva, Valter",1865.0,1922.0,['fi'],26,'Poetry',Text,'Poetry'
2974,PG45897,Runoelmia,"Keats, John",1795.0,1821.0,['fi'],25,'English poetry -- Translations into Finnish',Text,'English poetry -- Translations into Finnish'
2997,PG46502,Valikoima Frans Mikael Franzénin runoelmia,"Franzén, Frans Michael",1772.0,1847.0,['fi'],17,'Poetry',Text,'Poetry'
3042,PG47154,Hirven-hiihtäjät,"Runeberg, Johan Ludvig",1804.0,1877.0,['fi'],31,'Poetry',Text,'Poetry'
3050,PG47267,C. M. Bellmanin Lauluja ja Loiluja,"Bellman, Carl Michael",1740.0,1795.0,['fi'],29,'Swedish poetry -- Translations into Finnish',Text,'Swedish poetry -- Translations into Finnish'
3061,PG47407,Pieniä Runoja Suomen Pojille Ratoxi,Various,,,['fi'],17,'Finnish poetry',Text,'Finnish poetry'
3064,PG47458,Rakkaita muistoja,"Lehtonen, Joel",1881.0,1934.0,['fi'],18,'Finnish poetry',Text,'Finnish poetry'
3070,PG47550,Satu Sallisesta; Uni,"Lagervall, Jacob Fredrik",1787.0,1865.0,['fi'],32,'Finnish poetry',Text,'Finnish poetry'
3078,PG47652,Runokokeita,"Leino, Kasimir",1866.0,1919.0,['fi'],22,'Finnish poetry',Text,'Finnish poetry'
3106,PG47985,Lyyrillisiä runoelmia 2,"Runeberg, Johan Ludvig",1804.0,1877.0,['fi'],29,'Poetry',Text,'Poetry'
3117,PG48176,"Kantele Taikka Suomen Kansan sekä Wanhoja että Nykyisempiä Runoja ja Lauluja, I","Lönnrot, Elias",1802.0,1884.0,['fi'],40,'Finnish poetry',Text,'Finnish poetry'
3118,PG48177,"Kantele Taikka Suomen Kansan sekä Wanhoja että Nykyisempiä Runoja ja Lauluja, II","Lönnrot, Elias",1802.0,1884.0,['fi'],26,'Finnish poetry',Text,'Finnish poetry'
3119,PG48201,"Kantele Taikka Suomen Kansan sekä Wanhoja että Nykyisempiä Runoja ja Lauluja, III","Lönnrot, Elias",1802.0,1884.0,['fi'],23,'Finnish poetry',Text,'Finnish poetry'
3120,PG48202,"Kantele Taikka Suomen Kansan sekä Wanhoja että Nykyisempiä Runoja ja Lauluja, IV","Lönnrot, Elias",1802.0,1884.0,['fi'],24,'Finnish poetry',Text,'Finnish poetry'
3133,PG48380,Kalevala (1835) 1. Osa: taikka Wanhoja Karjalan Runoja Suomen kansan muinosista ajoista,"Lönnrot, Elias",1802.0,1884.0,['fi'],116,'Finnish poetry',Text,'Finnish poetry'
3134,PG48381,Kalevala (1835) 2. Osa: taikka Wanhoja Karjalan Runoja Suomen kansan muinosista ajoista,"Lönnrot, Elias",1802.0,1884.0,['fi'],32,'Finnish poetry',Text,'Finnish poetry'
3145,PG48739,Kynnyksellä: Runoja,"Kaatra, Kössi",1882.0,1928.0,['fi'],21,'Finnish poetry',Text,'Finnish poetry'
3146,PG48755,Elämästä: Runoja,"Kaatra, Kössi",1882.0,1928.0,['fi'],23,'Finnish poetry',Text,'Finnish poetry'
3151,PG48814,"""Suurlakkokuvia"" y.m. työväenlauluja","Kaatra, Kössi",1882.0,1928.0,['fi'],25,'Finnish poetry',Text,'Finnish poetry'
3152,PG48817,Runoja,"Kaatra, Kössi",1882.0,1928.0,['fi'],20,'Finnish poetry',Text,'Finnish poetry'
3163,PG49028,Suomalaisten runojen uskonto,"Krohn, Kaarle",1863.0,1933.0,['fi'],69,"'Finland -- Religion', 'Folklore -- Finland', 'Finnish poetry -- History and criticism', 'Finland -- Religious life and customs'",Text,'Finnish poetry -- History and criticism'
3165,PG49076,Helmivyö: Suomalaista runoutta,,,,['fi'],35,'Finnish poetry',Text,'Finnish poetry'
3180,PG49457,Vapauden kirja: Runovalikoima,"Leino, Eino",1878.0,1926.0,['fi'],19,'Finnish poetry',Text,'Finnish poetry'
3195,PG49646,"Lauluja Anakreonilta, ynnä myös Laulu Sapfolta",Anacreon,,,['fi'],22,"'Greek poetry -- Translations into Finnish', 'Anacreon -- Parodies, imitations, etc.'",Text,'Greek poetry -- Translations into Finnish'
3202,PG49700,Kolme runokertomusta: Korinton piiritys. Mazeppa. Chillonin vanki.,"Byron, George Gordon Byron, Baron",1788.0,1824.0,['fi'],31,'English poetry -- Translations into Finnish',Text,'English poetry -- Translations into Finnish'
3246,PG50537,Kokeita suomalaisessa laulannassa,"Lönnrot, Elias",1802.0,1884.0,['fi'],19,"'Finnish poetry', 'Finnish poetry -- History and criticism'",Text,'Finnish poetry'
3247,PG50537,Kokeita suomalaisessa laulannassa,"Lönnrot, Elias",1802.0,1884.0,['fi'],19,"'Finnish poetry', 'Finnish poetry -- History and criticism'",Text,'Finnish poetry -- History and criticism'
3267,PG50920,Matkamies: Runoja,"Kivijärvi, Erkki",1882.0,1942.0,['fi'],33,'Finnish poetry',Text,'Finnish poetry'
3278,PG51071,Sampo: Runollisto vuonna 1847,"Gottlund, C. A. (Carl Axel)",1796.0,1875.0,['fi'],30,'Finnish poetry',Text,'Finnish poetry'
3279,PG51098,Runola,"Gottlund, C. A. (Carl Axel)",1796.0,1875.0,['fi'],27,'Finnish poetry',Text,'Finnish poetry'
3286,PG51316,Maailman kannel,,,,['fi'],20,'Poetry -- Translations into Finnish',Text,'Poetry -- Translations into Finnish'
3290,PG51327,Virran varrelta: Runoja,"Kivijärvi, Erkki",1882.0,1942.0,['fi'],29,'Finnish poetry',Text,'Finnish poetry'
3291,PG51348,"Oodit, Karmen-Seekulaare ja Epoodit",Horace,-65.0,-8.0,['fi'],19,"'Latin poetry -- Translations into Finnish', 'Horace -- Translations into Finnish'",Text,'Latin poetry -- Translations into Finnish'
3319,PG51794,Kyttä,"Kaatra, Kössi",1882.0,1928.0,['fi'],23,'Finnish poetry',Text,'Finnish poetry'
