,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
15,PG10061,Les Heures Claires,"Verhaeren, Emile",1855.0,1916.0,['fr'],20,'Belgian poetry (French)',Text,'Belgian poetry (French)'
67,PG10442,La Comédie de la mort,"Gautier, Théophile",1811.0,1872.0,['fr'],26,"'Death in literature', 'Death -- Poetry'",Text,'Death -- Poetry'
203,PG12005,Les Chants de Maldoror,"Lautréamont, comte de",1846.0,1870.0,['fr'],271,"'Fantasy poetry, French', 'Metamorphosis -- Religious aspects -- Poetry'",Text,'Fantasy poetry
204,PG12005,Les Chants de Maldoror,"Lautréamont, comte de",1846.0,1870.0,['fr'],271,"'Fantasy poetry, French', 'Metamorphosis -- Religious aspects -- Poetry'",Text,'Metamorphosis -- Religious aspects -- Poetry'
211,PG12072,Contes des fées,"Bonnières, Robert de",1850.0,1905.0,['fr'],48,'Fairy poetry',Text,'Fairy poetry'
227,PG12246,Œuvres complètes de François Villon: Suivies d'un choix des poésies de ses disciples,"Villon, François",1431.0,1463.0,['fr'],307,'French poetry -- To 1500',Text,'French poetry -- To 1500'
234,PG12365,Femmes Rêvées,"Ferland, Albert",1872.0,1943.0,['fr'],6,'French-Canadian poetry',Text,'French-Canadian poetry'
250,PG12459,Contes et poésies de Prosper Jourdan: 1854-1866,"Jourdan, Prosper",1840.0,1866.0,['fr'],27,"'Poetry', 'Short stories'",Text,'Poetry'
284,PG12812,Oeuvres poétiques Tome 2,"Christine, de Pisan",1363.0,1430.0,['fr'],28,'Poetry',Text,'Poetry'
391,PG14258,"Le Livre des Mères et des Enfants, Tome I","Desbordes-Valmore, Marceline",1786.0,1859.0,['fr'],45,"""Children's poetry, French"", ""Children's stories, French""",Text,"""Children's poetry"
395,PG14285,L'Iliade,Homer,-750.0,-650.0,['fr'],148,"'Trojan War', 'Achilles (Mythological character)', 'Epic poetry, Greek -- Translations into French'",Text,'Epic poetry
396,PG14286,L'Odyssée,Homer,-750.0,-650.0,['fr'],65,"'Homer -- Translations into French', 'Odysseus, King of Ithaca (Mythological character)', 'Epic poetry, Greek -- Translations into French'",Text,'Epic poetry
397,PG14310,"Le Livre des Mères et des Enfants, Tome II","Desbordes-Valmore, Marceline",1786.0,1859.0,['fr'],20,"""Children's poetry, French"", ""Children's stories, French""",Text,"""Children's poetry"
401,PG14343,Poésies de Charles d'Orléans,"Charles, d'Orléans",1394.0,1465.0,['fr'],520,'French poetry -- To 1500',Text,'French poetry -- To 1500'
422,PG14683,Poèmes,"Wilde, Oscar",1854.0,1900.0,['fr'],36,'Poetry',Text,'Poetry'
435,PG14805,Les trophées,"Heredia, José-Maria de",1842.0,1905.0,['fr'],30,'Poetry',Text,'Poetry'
455,PG15112,"Œuvres complètes - Volume 1: Poèmes Saturniens, Fêtes Galantes, Bonne chanson, Romances sans paroles, Sagesse, Jadis et naguère","Verlaine, Paul",1844.0,1896.0,['fr'],342,'French poetry -- 19th century',Text,'French poetry -- 19th century'
458,PG15150,La maison de la courtisane: Nouveaux Poèmes,"Wilde, Oscar",1854.0,1900.0,['fr'],42,'Poetry',Text,'Poetry'
473,PG15324,Promenades et intérieurs,"Coppée, François",1842.0,1908.0,['fr'],31,'French poetry',Text,'French poetry'
483,PG15462,Alcools,"Apollinaire, Guillaume",1880.0,1918.0,['fr'],246,'French poetry -- 20th century',Text,'French poetry -- 20th century'
490,PG15589,Les vies encloses,"Rodenbach, Georges",1855.0,1898.0,['fr'],11,'French poetry -- 19th century',Text,'French poetry -- 19th century'
533,PG16238,Poésies Allemandes,"Klopstock, Friedrich Gottlieb",1724.0,1803.0,['fr'],18,'German poetry -- History and criticism',Text,'German poetry -- History and criticism'
586,PG16816,Le roman de la rose - Tome I,"Guillaume, de Lorris",,,['fr'],727,"'Romances', 'Courtly love -- Poetry'",Text,'Courtly love -- Poetry'
593,PG16883,Les amours jaunes,"Corbière, Tristan",1845.0,1875.0,['fr'],43,'French poetry -- 19th century',Text,'French poetry -- 19th century'
598,PG16989,Poésies,"Lautréamont, comte de",1846.0,1870.0,['fr'],54,'French poetry -- 19th century',Text,'French poetry -- 19th century'
618,PG17140,Le roman de la rose - Tome II,"Guillaume, de Lorris",,,['fr'],82,"'Romances', 'Courtly love -- Poetry'",Text,'Courtly love -- Poetry'
661,PG17509,Le renard,"Goethe, Johann Wolfgang von",1749.0,1832.0,['fr'],32,"'German poetry -- Translations into French', 'Reynard the Fox (Legendary character) -- Poetry', 'Epic poetry'",Text,'German poetry -- Translations into French'
662,PG17509,Le renard,"Goethe, Johann Wolfgang von",1749.0,1832.0,['fr'],32,"'German poetry -- Translations into French', 'Reynard the Fox (Legendary character) -- Poetry', 'Epic poetry'",Text,'Reynard the Fox (Legendary character) -- Poetry'
663,PG17509,Le renard,"Goethe, Johann Wolfgang von",1749.0,1832.0,['fr'],32,"'German poetry -- Translations into French', 'Reynard the Fox (Legendary character) -- Poetry', 'Epic poetry'",Text,'Epic poetry'
665,PG17540,Poésies populaires Serbes: Traduites sur les originaux avec une introduction et des notes,"Dozon, Auguste",1822.0,1891.0,['fr'],36,"'Epic poetry, Serbian -- Translations into French', 'Ballads, Serbian -- Texts -- Translations into French', 'Folk poetry, Serbian -- Translations into French'",Text,'Epic poetry
666,PG17540,Poésies populaires Serbes: Traduites sur les originaux avec une introduction et des notes,"Dozon, Auguste",1822.0,1891.0,['fr'],36,"'Epic poetry, Serbian -- Translations into French', 'Ballads, Serbian -- Texts -- Translations into French', 'Folk poetry, Serbian -- Translations into French'",Text,'Folk poetry
680,PG17708,Gaspard de la nuit: Fantaisies à la manière de Rembrandt et de Callot,"Bertrand, Aloysius",1807.0,1841.0,['fr'],190,'French poetry -- 19th century',Text,'French poetry -- 19th century'
701,PG17899,Poésies choisies de André Chénier,"Chénier, André",1762.0,1794.0,['fr'],110,'French poetry -- 18th century',Text,'French poetry -- 18th century'
704,PG17916,"Les vaines tendresses: Études et Portraits littéraires, premier série",Sully Prudhomme,1839.0,1907.0,['fr'],53,'French poetry -- 19th century',Text,'French poetry -- 19th century'
712,PG18061,Oeuvres poétiques Tome 1,"Christine, de Pisan",1363.0,1430.0,['fr'],146,'Poetry',Text,'Poetry'
849,PG19631,Épigramme,"Maynard, François de",,1646.0,['fr'],43,'French poetry',Sound,'French poetry'
863,PG19689,Les voix intimes: Premières Poésies,"Caouette, J. B. (Jean Baptiste)",1854.0,1922.0,['fr'],27,'French-Canadian poetry',Text,'French-Canadian poetry'
884,PG19954,L'amie rustique et autres vers divers,"La Tour d'Albenas, François Bérenger de",,,['fr'],20,'Poetry',Text,'Poetry'
896,PG19992,Rimes familières,"Saint-Saëns, Camille",1835.0,1921.0,['fr'],34,'French poetry',Text,'French poetry'
901,PG20013,Formules pour l'esprit,"Smarandache, Florentin",1954.0,,['fr'],24,'Romanian poetry -- Translations into French',Text,'Romanian poetry -- Translations into French'
911,PG20077,Danse macabre,Anonymous,,,['fr'],46,"'Death -- Poetry', 'Dance of death'",Text,'Death -- Poetry'
953,PG20441,Adieu à la France: Sur l'embarquement du sieur de Poutrincourt et de son Équipage faisant voile en la terre de Canadas dicte la France Occidentalle,"Lescarbot, Marc",1570.0,1641.0,['fr'],23,'French poetry -- 17th century',Text,'French poetry -- 17th century'
954,PG20457,"La Defaite des Sauvages Armouchiquois par le Sagamos Membertou et ses alliez Sauvages, en la Nouvelle France, au mois de Juillet dernier, 1607","Lescarbot, Marc",1570.0,1641.0,['fr'],27,"'Indians of North America -- Nova Scotia', 'Indians of North America -- Nova Scotia -- Poetry'",Text,'Indians of North America -- Nova Scotia -- Poetry'
955,PG20479,Le Râmâyana - tome premier: Poème sanscrit de Valmiky,Valmiki,,,['fr'],45,"'Folklore -- India', 'Epic poetry, Sanskrit -- Translations into French', 'Rama (Hindu deity) -- Fiction'",Text,'Epic poetry
962,PG20568,Hombres (Hommes),"Verlaine, Paul",1844.0,1896.0,['fr'],78,"'Erotic poetry, French', 'French poetry -- 19th century'",Text,'Erotic poetry
