,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
2509,PG38461,"Csak így... : Versek, 1918-20.","Reményik, Sándor",1890.0,1941.0,['hu'],23,'Hungarian poetry',Text,'Hungarian poetry'
2511,PG38465,"Vadvizek zúgása: Versek, Rodnaborberek, 1921 június-július","Reményik, Sándor",1890.0,1941.0,['hu'],23,'Hungarian poetry',Text,'Hungarian poetry'
2515,PG38476,A menekülő Élet,"Ady, Endre",1877.0,1919.0,['hu'],26,'Hungarian poetry',Text,'Hungarian poetry'
2516,PG38494,A magunk szerelme: Versek,"Ady, Endre",1877.0,1919.0,['hu'],22,'Hungarian poetry',Text,'Hungarian poetry'
2521,PG38541,A halottak élén,"Ady, Endre",1877.0,1919.0,['hu'],58,'Hungarian poetry',Text,'Hungarian poetry'
2544,PG38914,Válogatott magyar népdalok: Képes kiadás,"Erdélyi, János",1814.0,1868.0,['hu'],29,"'Hungarian poetry', 'Folk songs, Hungarian'",Text,'Hungarian poetry'
2567,PG39450,Erdély hegyei közt,"Tompa, László",1883.0,1964.0,['hu'],9,'Hungarian poetry',Text,'Hungarian poetry'
2581,PG39649,Népdalok és mondák (3. kötet); Magyar népköltési gyüjtemény,"Erdélyi, János",1814.0,1868.0,['hu'],43,"'Hungarian poetry', 'Tales -- Hungary'",Text,'Hungarian poetry'
2599,PG39931,Népdalok és mondák (1. kötet); Magyar népköltési gyüjtemény,"Erdélyi, János",1814.0,1868.0,['hu'],58,"'Hungarian poetry', 'Tales -- Hungary'",Text,'Hungarian poetry'
2677,PG41504,Petőfi Sándor összes költeményei: Hazai művészek rajzaival díszített negyedik népies kiadás,"Petőfi, Sándor",1823.0,1849.0,['hu'],188,'Hungarian poetry',Text,'Hungarian poetry'
2683,PG41699,Buda halála: Hún rege,"Arany, János",1817.0,1882.0,['hu'],34,'Hungarian poetry',Text,'Hungarian poetry'
2705,PG42094,Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 7. kötet,"Mailand, Oszkár",1858.0,1924.0,['hu'],64,"'Folk songs, Hungarian -- Romania -- Transylvania', 'Short stories, Hungarian -- Romania -- Transylvania', 'Hungarian poetry -- Romania -- Transylvania'",Text,'Hungarian poetry -- Romania -- Transylvania'
2719,PG42325,Régi magyar vitézi énekek és elegyes dalok (1. kötet),"Thaly, Kálmán",1839.0,1909.0,['hu'],51,'Hungarian poetry',Text,'Hungarian poetry'
2720,PG42326,Régi magyar vitézi énekek és elegyes dalok (2. kötet),"Thaly, Kálmán",1839.0,1909.0,['hu'],62,'Hungarian poetry',Text,'Hungarian poetry'
2774,PG43029,Új versek,"Ady, Endre",1877.0,1919.0,['hu'],21,'Hungarian poetry',Text,'Hungarian poetry'
2783,PG43324,Csongrádmegyei gyüjtés; Magyar népköltési gyüjtemény 2. kötet,"Török, Károly",1843.0,1875.0,['hu'],92,"'Hungarian poetry', 'Folk literature, Hungarian'",Text,'Hungarian poetry'
2884,PG45246,Gróf Gvadányi József és Fazekas Mihály (Magyar remekirók 6. kötet),"Fazekas, Mihály",1766.0,1828.0,['hu'],29,'Hungarian poetry',Text,'Hungarian poetry'
4216,PG64390,Ignotus verseiből,Ignotus,1869.0,1949.0,['hu'],29,'Hungarian poetry',Text,'Hungarian poetry'
4220,PG64508,Mágia,"Kosztolányi, Dezső",1885.0,1936.0,['hu'],31,'Hungarian poetry',Text,'Hungarian poetry'
4229,PG64618,Koszorú a román népköltészet virágaiból,"Moldován, Gergely",1845.0,1930.0,['hu'],18,"'Folk poetry, Romanian'",Text,'Folk poetry
4240,PG64802,Hajnali szerenád: Versek,"Tóth, Árpád",1886.0,1928.0,['hu'],27,'Hungarian poetry',Text,'Hungarian poetry'
4241,PG64844,Mák,"Kosztolányi, Dezső",1885.0,1936.0,['hu'],24,'Hungarian poetry',Text,'Hungarian poetry'
4330,PG66179,Kenyér és bor: új versek,"Kosztolányi, Dezső",1885.0,1936.0,['hu'],22,'Hungarian poetry',Text,'Hungarian poetry'
4348,PG66426,Ki látott engem? Versek,"Ady, Endre",1877.0,1919.0,['hu'],27,'Hungarian poetry',Text,'Hungarian poetry'
4360,PG66593,Nem én kiáltok,"József, Attila",1905.0,1937.0,['hu'],26,'Hungarian poetry',Text,'Hungarian poetry'
4422,PG67563,A slemíl keservei,Ignotus,1869.0,1949.0,['hu'],22,"'Stories in rhyme', 'Hungarian poetry'",Text,'Hungarian poetry'
4499,PG68814,A szegény kisgyermek panaszai,"Kosztolányi, Dezső",1885.0,1936.0,['hu'],25,'Hungarian poetry',Text,'Hungarian poetry'
4502,PG68900,Modern költők: Külföldi antológia a költők arcképeivel,,,,['hu'],40,'Poetry -- Translations into Hungarian',Text,'Poetry -- Translations into Hungarian'
