,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
0,PG1000,La Divina Commedia di Dante: Complete,Dante Alighieri,1265.0,1321.0,['it'],788,"'Epic poetry, Italian', 'Italian poetry -- To 1400'",Text,'Epic poetry
1,PG1000,La Divina Commedia di Dante: Complete,Dante Alighieri,1265.0,1321.0,['it'],788,"'Epic poetry, Italian', 'Italian poetry -- To 1400'",Text,'Italian poetry -- To 1400'
24,PG1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,1265.0,1321.0,['it'],87,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Epic poetry
25,PG1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,1265.0,1321.0,['it'],87,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Hell -- Poetry'
26,PG1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,1265.0,1321.0,['it'],87,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Italian poetry -- To 1400'
27,PG1010,La Divina Commedia di Dante: Purgatorio,Dante Alighieri,1265.0,1321.0,['it'],54,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Epic poetry
28,PG1010,La Divina Commedia di Dante: Purgatorio,Dante Alighieri,1265.0,1321.0,['it'],54,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Hell -- Poetry'
29,PG1010,La Divina Commedia di Dante: Purgatorio,Dante Alighieri,1265.0,1321.0,['it'],54,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Italian poetry -- To 1400'
31,PG1011,La Divina Commedia di Dante: Paradiso,Dante Alighieri,1265.0,1321.0,['it'],137,"'Epic poetry, Italian', 'Italian poetry -- To 1400'",Text,'Epic poetry
32,PG1011,La Divina Commedia di Dante: Paradiso,Dante Alighieri,1265.0,1321.0,['it'],137,"'Epic poetry, Italian', 'Italian poetry -- To 1400'",Text,'Italian poetry -- To 1400'
35,PG1012,La Divina Commedia di Dante,Dante Alighieri,1265.0,1321.0,['it'],558,"'Epic poetry, Italian', 'Italian poetry -- To 1400'",Text,'Epic poetry
36,PG1012,La Divina Commedia di Dante,Dante Alighieri,1265.0,1321.0,['it'],558,"'Epic poetry, Italian', 'Italian poetry -- To 1400'",Text,'Italian poetry -- To 1400'
457,PG15136,Amedeide: Poema eroico,"Chiabrera, Gabriello",1552.0,1638.0,['it'],21,'Poetry',Text,'Poetry'
678,PG17671,Poesie scelte,"Pellico, Silvio",1789.0,1854.0,['it'],33,'Poetry',Text,'Poetry'
679,PG17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",1867.0,1914.0,['it'],23,'Poetry',Text,'Poetry'
696,PG17838,L'aeroplano del papa: Romanzo profetico in versi liberi,"Marinetti, F. T.",1876.0,1944.0,['it'],48,'Poetry',Text,'Poetry'
697,PG17847,Rime di Argia Sbolenfi: con prefazione di Lorenzo Stecchetti,"Guerrini, Olindo",1845.0,1916.0,['it'],27,'Poetry',Text,'Poetry'
702,PG17905,Vecchie cadenze e nuove,"De Marchi, Emilio",1851.0,1901.0,['it'],23,'Poetry',Text,'Poetry'
703,PG17906,Libro proibito,"Ghislanzoni, Antonio",1824.0,1893.0,['it'],57,"'Italian wit and humor', 'Humorous poetry'",Text,'Humorous poetry'
813,PG19428,Le nostalgie,"Gualdo, Luigi",1847.0,1898.0,['it'],26,'Poetry',Text,'Poetry'
814,PG19429,Poesie inedite vol. I,"Pellico, Silvio",1789.0,1854.0,['it'],17,'Poetry',Text,'Poetry'
839,PG19558,Poesie inedite vol. II,"Pellico, Silvio",1789.0,1854.0,['it'],22,'Poetry',Text,'Poetry'
876,PG19886,Fiore di leggende: Cantari antichi I - cantari leggendari,,,,['it'],51,'Italian poetry',Text,'Italian poetry'
877,PG19894,In gondoleta: Barcarole e Rime Veneziane,"Negri, Antonio",,,['it'],24,'Poetry',Text,'Poetry'
1172,PG22641,Lucifero,"Rapisardi, Mario",1844.0,1912.0,['it'],39,'Poetry',Text,'Poetry'
1502,PG25210,Distruzione: Poema Futurista,"Marinetti, F. T.",1876.0,1944.0,['it'],47,'Poetry',Text,'Poetry'
1732,PG27334,Africa Orrenda,"Rapisardi, Mario",1844.0,1912.0,['it'],24,'Italy -- Colonies -- Africa -- Poetry',Text,'Italy -- Colonies -- Africa -- Poetry'
1748,PG27433,Il Quadriregio,"Frezzi, Federico",,1416.0,['it'],19,'Poetry',Text,'Poetry'
