,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
122,PG10975,Vitaulium: Hofwyck en Spaansche Wijsheit,"Huygens, Constantijn",1596.0,1687.0,['nl'],19,"'Huygens, Constantijn, 1596-1687 -- Homes and haunts -- Netherlands -- Voorburg -- Poetry', 'Poets, Dutch -- Homes and haunts -- Netherlands -- Voorburg -- Poetry'",Text,1596-1687 -- Homes and haunts -- Netherlands -- Voorburg -- Poetry'
123,PG10975,Vitaulium: Hofwyck en Spaansche Wijsheit,"Huygens, Constantijn",1596.0,1687.0,['nl'],19,"'Huygens, Constantijn, 1596-1687 -- Homes and haunts -- Netherlands -- Voorburg -- Poetry', 'Poets, Dutch -- Homes and haunts -- Netherlands -- Voorburg -- Poetry'",Text,Dutch -- Homes and haunts -- Netherlands -- Voorburg -- Poetry'
285,PG12822,De Edda,"Berding, Frans",,,['nl'],30,'Old Norse poetry',Text,'Old Norse poetry'
329,PG13326,Van vijf moderne dichters,"Boutens, P. C.",1870.0,1943.0,['nl'],1458,'Poetry',Text,'Poetry'
394,PG14281,Grashalmen,"Whitman, Walt",1819.0,1892.0,['nl'],37,'Poetry',Text,'Poetry'
470,PG15273,Gedichten,"Bastiaanse, Frans",1868.0,1947.0,['nl'],38,'Poetry',Text,'Poetry'
588,PG16830,Een klein heldendicht,"Gorter, Herman",1864.0,1927.0,['nl'],23,'Dutch poetry',Text,'Dutch poetry'
590,PG16842,"Liedekens van Bontekoe en vijf novellen: Blaauw bes, blauw bes!—'T is maar een pennelikker!—Marie—De ezelinnen—Hanna","Potgieter, E. J. (Everhardus Johannes)",1808.0,1875.0,['nl'],45,"'Fiction', 'Poetry'",Text,'Poetry'
607,PG17080,Proeve van Kleine Gedigten voor Kinderen,"Alphen, Hieronymus van",1746.0,1803.0,['nl'],31,"""Children's poetry, Dutch""",Text,"""Children's poetry"
660,PG17484,Poëzy: Nieuwe Bloemlezing uit de dichtwerken van J.J.L ten Kate,"Kate, J. J. L. ten (Jan Jakob Lodewijk)",1819.0,1889.0,['nl'],17,"'Religious poetry, Dutch'",Text,'Religious poetry
675,PG17637,"De muis, of De gestoorde nachtrust: een berijmde geschiedenis in twaalf tafereelen voor jong en oud","Braga Jr., [pseud.]",,,['nl'],35,'Mice -- Poetry',Text,'Mice -- Poetry'
1089,PG21800,De complete werken van Joost van Vondel. Eerste deel,"Vondel, Joost van den",1587.0,1679.0,['nl'],42,'Dutch poetry',Text,'Dutch poetry'
1246,PG23309,Klokje Bim-Bam: Rijmpjes en plaatjes van Alfred Listal,"Listal, Alfred",,,['nl'],19,"""Children's poetry, Dutch""",Text,"""Children's poetry"
1378,PG24090,Gedichten,"Perk, Jacques Fabrice Herman",1859.0,1881.0,['nl'],35,'Dutch poetry',Text,'Dutch poetry'
1634,PG26530,Mei-droom: Een feestelijk verbeeldingsspel in acht tooneelen,"Adama van Scheltema, Carel Steven",1877.0,1924.0,['nl'],41,'Poetry',Text,'Poetry'
1757,PG27512,Laatste verzen,"Gezelle, Guido",1830.0,1899.0,['nl'],29,'Poetry',Text,'Poetry'
1777,PG27803,Kerkhofblommen,"Gezelle, Guido",1830.0,1899.0,['nl'],19,'Poetry',Text,'Poetry'
1856,PG29075,"Dante en Beatrice, en andere verzen","Eeden, Frederik van",1860.0,1932.0,['nl'],24,'Poetry',Text,'Poetry'
1868,PG29289,Bloemlezing uit Guido Gezelle's Gedichten,"Gezelle, Guido",1830.0,1899.0,['nl'],57,'Poetry',Text,'Poetry'
