,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
658,PG17473,Przyjaciel Dziatek: Wierszyki dla — Dziatwy Polskiej w Ameryce,"Wachtl, Karol",1876.0,1946.0,['pl'],42,"'Animals -- Juvenile poetry', ""Children's poetry, Polish""",Text,'Animals -- Juvenile poetry'
659,PG17473,Przyjaciel Dziatek: Wierszyki dla — Dziatwy Polskiej w Ameryce,"Wachtl, Karol",1876.0,1946.0,['pl'],42,"'Animals -- Juvenile poetry', ""Children's poetry, Polish""",Text,"""Children's poetry"
1694,PG27081,Sonety Adama Mickiewicza,"Mickiewicz, Adam",1798.0,1855.0,['pl'],61,'Poetry',Text,'Poetry'
1714,PG27208,Threny,"Kochanowski, Jan",1530.0,1584.0,['pl'],37,'Bereavement -- Poetry',Text,'Bereavement -- Poetry'
1779,PG27835,Wiesław: sielanka krakowska w pięciu aktach,"Brodziński, Kazimierz",1791.0,1835.0,['pl'],24,'Poetry',Text,'Poetry'
1785,PG27871,Moja Beatrice,"Krasiński, Zygmunt, hrabia",1812.0,1859.0,['pl'],43,'Poetry',Text,'Poetry'
1791,PG27928,Pobudka: zbiorek poezji,"Asnyk, Adam",1838.0,1897.0,['pl'],51,'Poetry',Text,'Poetry'
1792,PG27937,Wiersz do Króla Pruskiego: Napisany Przy Zdobyciu Arsenału Dnia 14 Czerwca 1848 W Berlinie,"Anczyc, Wł. L. (Władysław Ludwik)",1823.0,1883.0,['pl'],42,'Poetry',Text,'Poetry'
1795,PG28009,Szopka: Wiersz Or-Ota,"Oppman, Artur",1867.0,1932.0,['pl'],44,"""Children's poetry""",Text,"""Children's poetry"""
1800,PG28049,Balady i romanse,"Mickiewicz, Adam",1798.0,1855.0,['pl'],113,'Poetry',Text,'Poetry'
1801,PG28121,Anhelli,"Słowacki, Juliusz",1809.0,1849.0,['pl'],45,'Polish poetry',Text,'Polish poetry'
1802,PG28153,Grażyna: Powieść Litewska,"Mickiewicz, Adam",1798.0,1855.0,['pl'],47,'Poetry',Text,'Poetry'
2014,PG31536,Pan Tadeusz: Czyli Ostatni Zajazd na Litwie. Historja Szlachecka z r. 1811 i 1812 we Dwunastu Księgach Wierszem,"Mickiewicz, Adam",1798.0,1855.0,['pl'],292,"'Gentry -- Lithuania -- Social life and customs -- 19th century -- Poetry', 'Epic poetry, Polish', 'Gentry -- Poland -- Social life and customs -- 19th century -- Poetry'",Text,'Gentry -- Lithuania -- Social life and customs -- 19th century -- Poetry'
2015,PG31536,Pan Tadeusz: Czyli Ostatni Zajazd na Litwie. Historja Szlachecka z r. 1811 i 1812 we Dwunastu Księgach Wierszem,"Mickiewicz, Adam",1798.0,1855.0,['pl'],292,"'Gentry -- Lithuania -- Social life and customs -- 19th century -- Poetry', 'Epic poetry, Polish', 'Gentry -- Poland -- Social life and customs -- 19th century -- Poetry'",Text,'Epic poetry
2016,PG31536,Pan Tadeusz: Czyli Ostatni Zajazd na Litwie. Historja Szlachecka z r. 1811 i 1812 we Dwunastu Księgach Wierszem,"Mickiewicz, Adam",1798.0,1855.0,['pl'],292,"'Gentry -- Lithuania -- Social life and customs -- 19th century -- Poetry', 'Epic poetry, Polish', 'Gentry -- Poland -- Social life and customs -- 19th century -- Poetry'",Text,'Gentry -- Poland -- Social life and customs -- 19th century -- Poetry'
2288,PG35301,Łąka,"Leśmian, Bolesław",1877.0,1937.0,['pl'],58,'Polish poetry',Text,'Polish poetry'
2376,PG36526,Legendy i pieśni ludu polskiego nowo odkryte,"Maciejowski, Wacław Aleksander",1793.0,1883.0,['pl'],64,'Polish poetry',Text,'Polish poetry'
