,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
158,PG11299,O cancioneiro portuguez da Vaticana,"Braga, Teófilo",1843.0,1924.0,['pt'],22,'Portuguese poetry -- To 1500',Text,'Portuguese poetry -- To 1500'
546,PG16385,"Obras poéticas de Nicoláo Tolentino de Almeida, Tom. II","Tolentino, Nicolau",1740.0,1811.0,['pt'],46,'Poetry',Text,'Poetry'
624,PG17193,Só,"Nobre, António Pereira",1867.0,1900.0,['pt'],55,"'Poetry', 'Portuguese poetry'",Text,'Poetry'
625,PG17193,Só,"Nobre, António Pereira",1867.0,1900.0,['pt'],55,"'Poetry', 'Portuguese poetry'",Text,'Portuguese poetry'
664,PG17534,Os Simples,"Junqueiro, Abílio Manuel Guerra",1850.0,1923.0,['pt'],37,'Poetry',Text,'Poetry'
672,PG17610,Livro de Máguas,"Espanca, Florbela",1894.0,1930.0,['pt'],89,'Poetry',Text,'Poetry'
676,PG17639,A Alma Nova,"Azevedo, Guilherme Avelino Chave de",1846.0,1882.0,['pt'],26,'Portuguese poetry -- 19th century',Text,'Portuguese poetry -- 19th century'
709,PG17962,Luar de Janeiro,"Gil, Augusto",1873.0,1929.0,['pt'],30,'Poetry',Text,'Poetry'
713,PG18082,Marilia de Dirceo,"Gonzaga, Tomás António",1744.0,1809.0,['pt'],23,'Poetry',Text,'Poetry'
784,PG19046,Sonetos,"Quental, Antero de",1842.0,1891.0,['pt'],17,'Portuguese poetry',Text,'Portuguese poetry'
832,PG19532,Sol de Inverno: ultimos versos : 1915,"Feijó, António Joaquim de Castro",1859.0,1917.0,['pt'],27,'Portuguese poetry',Text,'Portuguese poetry'
859,PG19641,Relaçam dedicada A Serenissima Senhora Rainha da Gram Bretanha da Jornada que fes de Lixboa the Por-ts Mouth,"Fonseca, Sebastião da",1625.0,1705.0,['pt'],18,'Poetry',Text,'Poetry'
921,PG20142,Os sonetos completos de Anthero de Quental,"Quental, Antero de",1842.0,1891.0,['pt'],44,'Portuguese poetry',Text,'Portuguese poetry'
956,PG20482,A José Estevão,"Pato, Raimundo António de Bulhão",1829.0,1912.0,['pt'],32,"'Estêvão, José, 1809-1862 -- Poetry'",Text,1809-1862 -- Poetry'
957,PG20495,Um meeting na parvonia: poemeto escripto num canto,Anonymous,,,['pt'],24,'Poetry',Text,'Poetry'
967,PG20581,"Trovas do Bandarra: natural da Villa de Trancoso, apuradas e impressas por ordem de um grande senhor de Portugal","Bandarra, Gonçalo Anes",,,['pt'],57,"'Portuguese poetry -- Classical period, 1500-1700'",Text,'Portuguese poetry -- Classical period
968,PG20582,Garatujas,"Freitas, Joaquim de Melo",1852.0,1923.0,['pt'],14,'Poetry',Text,'Poetry'
995,PG20874,Raios de extincta luz: poesias ineditas (1859-1863),"Quental, Antero de",1842.0,1891.0,['pt'],38,'Poetry',Text,'Poetry'
1004,PG20940,Claridades do sul,"Leal, António Duarte Gomes",1848.0,1921.0,['pt'],22,'Poetry',Text,'Poetry'
1044,PG21283,Santarenaida: poema eroi-comico,"Figueiredo, Francisco de Paula de",1768.0,1803.0,['pt'],23,'Poetry',Text,'Poetry'
1045,PG21287,"Pranto de Maria Parda: Porque vio as ruas de Lisboa com tão poucos ramos nas tavernas, e o vinho tão caro e ella não podia passar sem elle","Vicente, Gil",,,['pt'],230,"'Drama', 'Poetry'",Text,'Poetry'
1060,PG21545,Trovas Inedìtas de Bandarra,"Bandarra, Gonçalo Anes",,,['pt'],37,"'Portuguese poetry -- Classical period, 1500-1700'",Text,'Portuguese poetry -- Classical period
1081,PG21780,Galatéa: Egloga; Primeira e Segunda Parte,"Carvalho, António Joaquim de",,1817.0,['pt'],27,'Poetry',Text,'Poetry'
1086,PG21786,Ruy o escudeiro: Conto,"Mousinho de Albuquerque, Luís da Silva",1792.0,1846.0,['pt'],29,'Poetry',Text,'Poetry'
1087,PG21799,Dispersão: 12 poesias por Mario de Sá-Carneiro,"Sá-Carneiro, Mário de",1890.0,1916.0,['pt'],66,"'Poetry', 'Portuguese poetry'",Text,'Poetry'
1088,PG21799,Dispersão: 12 poesias por Mario de Sá-Carneiro,"Sá-Carneiro, Mário de",1890.0,1916.0,['pt'],66,"'Poetry', 'Portuguese poetry'",Text,'Portuguese poetry'
1092,PG21855,A Fome de Camões,"Leal, António Duarte Gomes",1848.0,1921.0,['pt'],23,'Poetry',Text,'Poetry'
1124,PG22299,Cantos Sagrados,"Arriaga, Manuel de",1840.0,1917.0,['pt'],35,'Poetry',Text,'Poetry'
1130,PG22330,Clepsydra: Poêmas de Camillo Pessanha,"Pessanha, Camilo Almeida",1867.0,1926.0,['pt'],33,'Portuguese poetry',Text,'Portuguese poetry'
1136,PG22395,O Melro: (Fragmento),"Junqueiro, Abílio Manuel Guerra",1850.0,1923.0,['pt'],43,'Poetry',Text,'Poetry'
1139,PG22412,Duas Paginas Dos Quatorze Annos: Poesias Por Abilio Guerra Junqueiro,"Junqueiro, Abílio Manuel Guerra",1850.0,1923.0,['pt'],31,'Poetry',Text,'Poetry'
1148,PG22468,Cintra,"Beirão, Mário Pires Gomes",1890.0,1965.0,['pt'],25,'Poetry',Text,'Poetry'
1149,PG22469,A morte do athleta,"Leal, António Duarte Gomes",1848.0,1921.0,['pt'],25,'Poetry',Text,'Poetry'
1166,PG22614,A Pavorosa Illusão,"Bocage, Manuel Maria Barbosa du",1765.0,1805.0,['pt'],36,'Portuguese poetry',Text,'Portuguese poetry'
1167,PG22615,A Scena do Odio,"Almada Negreiros, José de",1893.0,1970.0,['pt'],43,'Poetry',Text,'Poetry'
1168,PG22616,"Salve, Rei!: Poesia de Camillo Castello Branco","Castelo Branco, Camilo",1825.0,1890.0,['pt'],37,'Poetry',Text,'Poetry'
1169,PG22632,Á ventura,"Pascoais, Teixeira de",1877.0,1952.0,['pt'],34,'Portuguese poetry',Text,'Portuguese poetry'
1170,PG22634,Versos em honra do grande poeta Manoel Maria Barbosa du Bocage,"Sadão, Elisino",,,['pt'],22,"'Bocage, Manuel Maria Barbosa du, 1765-1805 -- Poetry'",Text,1765-1805 -- Poetry'
1173,PG22647,A velha disciplina: Versos,"Dumont, Júlio",,,['pt'],33,'Poetry',Text,'Poetry'
1174,PG22648,O trophéo,"Santos, C. Afonso dos",,,['pt'],18,'Poetry',Text,'Poetry'
1178,PG22678,13 Sonetos,"Forte, Arnaldo",,,['pt'],78,'Poetry',Text,'Poetry'
1179,PG22679,Canções,"Boto, António Tomás",1897.0,1959.0,['pt'],44,'Poetry',Text,'Poetry'
1184,PG22723,Os Sinos: Poesia Narrativa,"Proença, Raul Sangreman",1884.0,1941.0,['pt'],19,'Poetry',Text,'Poetry'
1186,PG22729,Testamento Poetico-Anachreontico,"Lima, João de Figueiredo Maio e",1779.0,1851.0,['pt'],20,'Poetry',Text,'Poetry'
1190,PG22742,A Harpa do Crente: Tentativas poeticas pelo auctor da Voz do Propheta,"Herculano, Alexandre",1810.0,1877.0,['pt'],73,'Poetry',Text,'Poetry'
1191,PG22772,Camões e o amor: no aniversario 304 da morte do poeta,"Pires, Ernesto",1857.0,1884.0,['pt'],29,"'Camões, Luís de, 1524?-1580 -- Poetry'",Text,1524?-1580 -- Poetry'
1195,PG22802,Litoral: A Amadeo de Souza Cardoso,"Almada Negreiros, José de",1893.0,1970.0,['pt'],32,'Poetry',Text,'Poetry'
1197,PG22817,Mágoas Amorosas de Elmano: Idyllio Por Bocage,"Bocage, Manuel Maria Barbosa du",1765.0,1805.0,['pt'],32,'Portuguese poetry',Text,'Portuguese poetry'
1202,PG22870,Epistola de Heloysa a Abaylard: composta no idioma Inglez por Pope,"Pope, Alexander",1688.0,1744.0,['pt'],43,"'Abelard, Peter, 1079-1142 -- Poetry', 'Héloïse, approximately 1095-1163 or 1164 -- Poetry'",Text,1079-1142 -- Poetry'
1203,PG22870,Epistola de Heloysa a Abaylard: composta no idioma Inglez por Pope,"Pope, Alexander",1688.0,1744.0,['pt'],43,"'Abelard, Peter, 1079-1142 -- Poetry', 'Héloïse, approximately 1095-1163 or 1164 -- Poetry'",Text,approximately 1095-1163 or 1164 -- Poetry'
1206,PG22898,Elegia,"Bocage, Manuel Maria Barbosa du",1765.0,1805.0,['pt'],23,'Portuguese poetry',Text,'Portuguese poetry'
1210,PG22907,Elegia da solidão,"Pascoais, Teixeira de",1877.0,1952.0,['pt'],33,'Poetry',Text,'Poetry'
1217,PG22970,Queixumes do Pastor Elmano Contra a Falsidade da Pastora Urselina: Egloga,"Bocage, Manuel Maria Barbosa du",1765.0,1805.0,['pt'],23,'Portuguese poetry',Text,'Portuguese poetry'
1226,PG23105,Elegias,"Pascoais, Teixeira de",1877.0,1952.0,['pt'],30,'Portuguese poetry',Text,'Portuguese poetry'
1227,PG23109,Improvisos de Bocage: Na Sua Mui Perigosa Enfermidade Dedicados a Seus Bons Amigos,"Bocage, Manuel Maria Barbosa du",1765.0,1805.0,['pt'],41,'Portuguese poetry',Text,'Portuguese poetry'
1228,PG23110,"A Morte de D. Ignez de Castro: Cantata por Manoel Maria Barbosa du Bucage; A Que Se Ajunta o Episódio, Ao Mesmo Assumpto, do Immortal Luiz de Camões","Bocage, Manuel Maria Barbosa du",1765.0,1805.0,['pt'],64,"'Castro, Inês de, -1355 -- Poetry'",Text,-1355 -- Poetry'
1231,PG23133,K4 O Quadrado Azul,"Almada Negreiros, José de",1893.0,1970.0,['pt'],30,'Poetry',Text,'Poetry'
1232,PG23156,Trovas: Canções de Amor,"Ferreira, António Florêncio",1848.0,1914.0,['pt'],24,'Poetry',Text,'Poetry'
1274,PG23442,Lyra da Mocidade: Primeiros Versos,"Júnior, Faustino Fonseca",,,['pt'],19,'Poetry',Text,'Poetry'
1293,PG23486,"Folhas cahidas, apanhadas na lama por um antigo juiz das almas de Campanhan","Castelo Branco, Camilo",1825.0,1890.0,['pt'],35,'Poetry',Text,'Poetry'
1294,PG23525,As Saudades do Bardo Orthodoxo,"Coutinho, Henrique Ernesto de Almeida",1788.0,1868.0,['pt'],20,'Poetry',Text,'Poetry'
1295,PG23526,A Velhice do Padre Eterno,"Junqueiro, Abílio Manuel Guerra",1850.0,1923.0,['pt'],49,'Portuguese poetry',Text,'Portuguese poetry'
1392,PG24245,A viagem da Índia: poemeto em dois cantos,"Costa, Fernandes",1848.0,1920.0,['pt'],24,'Poetry',Text,'Poetry'
1408,PG24291,O doido e a morte,"Pascoais, Teixeira de",1877.0,1952.0,['pt'],32,'Poetry',Text,'Poetry'
1427,PG24411,Miragaia: Romance Popular,"Almeida Garrett, João Batista da Silva Leitão de Almeida Garrett, Visconde de",1799.0,1854.0,['pt'],51,'Poetry',Text,'Poetry'
1434,PG24462,O desastre de Lisboa em 1755: poesia,"Fonseca, Augusto de Oliveira Cardoso",1842.0,1917.0,['pt'],22,"'Lisbon Earthquake, Portugal, 1755', 'Portuguese poetry', 'Pombal, Sebastião José de Carvalho e Melo, Marquês de, 1699-1782'",Text,'Portuguese poetry'
