,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
308,PG13100,Samlade arbeten I,"Runeberg, Johan Ludvig",1804.0,1877.0,['sv'],27,'Poetry',Text,'Poetry'
309,PG13101,Samlade arbeten II,"Runeberg, Johan Ludvig",1804.0,1877.0,['sv'],20,'Poetry',Text,'Poetry'
497,PG15753,Svensk diktning II: Selections from Swedish Poets with Brief Monographies,,,,['sv'],22,"'Poets, Swedish', 'Swedish poetry'",Text,'Swedish poetry'
1379,PG24100,Jephthas bok: En Minnes-Sång i Israël,"Nervander, Johan Jacob",1805.0,1848.0,['sv'],21,'Bible -- History of Biblical events -- Poetry',Text,'Bible -- History of Biblical events -- Poetry'
3069,PG47543,Ett land i kamp: Dikter,"Hemmer, Jarl",1893.0,1944.0,['sv'],21,"'Finland -- History -- Civil War, 1918 -- Poetry'",Text,1918 -- Poetry'
3092,PG47799,Michaël Choræi Samlade skaldestycken,"Choraeus, Michaël",1774.0,1806.0,['sv'],16,'Poetry',Text,'Poetry'
3153,PG48854,Bhagavad-Gita: Herrens Sång,,,,['sv'],71,"'Sanskrit poetry -- Translations into Swedish', 'Epic poetry', 'Hinduism -- Sacred books'",Text,'Sanskrit poetry -- Translations into Swedish'
3154,PG48854,Bhagavad-Gita: Herrens Sång,,,,['sv'],71,"'Sanskrit poetry -- Translations into Swedish', 'Epic poetry', 'Hinduism -- Sacred books'",Text,'Epic poetry'
3164,PG49047,Molnbilder: Dikter,"Alfthan, Johannes",1830.0,1893.0,['sv'],20,'Poetry',Text,'Poetry'
3170,PG49308,Den Gamles Minnen: Bilder från finska skogsbygden,"Berndtson, Fredrik",1820.0,1881.0,['sv'],26,'Poetry',Text,'Poetry'
3401,PG52765,Mosaiker,Various,,,['sv'],23,'Swedish poetry',Text,'Swedish poetry'
3520,PG53842,Anakreons sånger,Anacreon,,,['sv'],25,"'Greek poetry -- Translations into Swedish', 'Anacreon -- Parodies, imitations, etc.'",Text,'Greek poetry -- Translations into Swedish'
3524,PG53914,Theocritos' Idyller,Theocritus,-300.0,-260.0,['sv'],29,"'Pastoral poetry, Greek -- Translations into Swedish'",Text,'Pastoral poetry
3543,PG54200,Odysseia,Homer,-750.0,-650.0,['sv'],36,"'Epic poetry, Greek -- Translations into Swedish', 'Odysseus, King of Ithaca (Mythological character) -- Poetry'",Text,'Epic poetry
3544,PG54200,Odysseia,Homer,-750.0,-650.0,['sv'],36,"'Epic poetry, Greek -- Translations into Swedish', 'Odysseus, King of Ithaca (Mythological character) -- Poetry'",Text,King of Ithaca (Mythological character) -- Poetry'
3571,PG54571,Lärkan: Poetisk kalender,Various,,,['sv'],24,'Swedish poetry',Text,'Swedish poetry'
3683,PG56421,Kalevala,Anonymous,,,['sv'],43,'Finnish poetry -- Translations into Swedish',Text,'Finnish poetry -- Translations into Swedish'
3716,PG56938,Skärgårdens vår,"Mörne, Arvid",1876.0,1946.0,['sv'],26,'Finnish poetry (Swedish)',Text,'Finnish poetry (Swedish)'
3742,PG57499,Femtio fabler för barn,"Hey, Wilhelm",1789.0,1854.0,['sv'],39,"'Fables, German -- Translations into Swedish', ""Children's poetry""",Text,"""Children's poetry"""
3776,PG58368,Samlade dikter,"Wecksell, J. J. (Josef Julius)",1838.0,1907.0,['sv'],26,'Swedish poetry',Text,'Swedish poetry'
3890,PG60111,Nala och Dayamanti: En indisk dikt ur Mahabharata,"Sriharsa, active 12th century",,,['sv'],23,"'Damayanti (Hindu mythology) -- Poetry', 'Nala (Hindu mythology) -- Poetry'",Text,'Damayanti (Hindu mythology) -- Poetry'
3891,PG60111,Nala och Dayamanti: En indisk dikt ur Mahabharata,"Sriharsa, active 12th century",,,['sv'],23,"'Damayanti (Hindu mythology) -- Poetry', 'Nala (Hindu mythology) -- Poetry'",Text,'Nala (Hindu mythology) -- Poetry'
4048,PG61835,Samlade skaldeförsök,"Thomasson, Pehr",1818.0,1883.0,['sv'],20,'Swedish poetry',Text,'Swedish poetry'
4084,PG62540,Dikter af Alceste,"Runeberg, Hjalmar Johannes",1874.0,1934.0,['sv'],22,'Finnish poetry (Swedish)',Text,'Finnish poetry (Swedish)'
4359,PG66586,Finsk bilderbok: 10 teckningar,"Topelius, Zacharias",1818.0,1898.0,['sv'],35,"""Children's poetry, Swedish""",Text,"""Children's poetry"
4690,PG72567,Rågens rike,"Hemmer, Jarl",1893.0,1944.0,['sv'],29,'Swedish poetry',Text,'Swedish poetry'
