,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
1008,PG20968,"Three Hundred Tang Poems, Volume 1",Various,,,['zh'],443,"'Chinese poetry -- Tang dynasty, 618-907'",Sound,'Chinese poetry -- Tang dynasty
1330,PG23823,弟子規,"Li, Yuxiu, active 17th century-18th century",,,['zh'],42,"'Chinese poetry -- Qing dynasty, 1644-1912', 'Confucianism', 'Conduct of life'",Text,'Chinese poetry -- Qing dynasty
1335,PG23873,詩經,Anonymous,,,['zh'],158,'Chinese poetry',Text,'Chinese poetry'
1372,PG24028,東坡樂府,"Su, Shi",1037.0,1101.0,['zh'],64,"'Chinese poetry -- Song dynasty, 960-1279'",Text,'Chinese poetry -- Song dynasty
1375,PG24041,洛神賦,"Cao, Zhi",192.0,232.0,['zh'],109,'Chinese poetry -- 220-589',Text,'Chinese poetry -- 220-589'
1376,PG24060,李太白集,"Li, Bai",701.0,762.0,['zh'],195,"'Chinese poetry -- Tang dynasty, 618-907'",Text,'Chinese poetry -- Tang dynasty
1381,PG24112,人間詞話,"Wang, Guowei",1877.0,1927.0,['zh'],57,'Ci (Chinese poetry) -- History and criticism',Text,'Ci (Chinese poetry) -- History and criticism'
1388,PG24169,李太白集,"Li, Bai",701.0,762.0,['zh'],70,"'Chinese poetry -- Tang dynasty, 618-907'",Text,'Chinese poetry -- Tang dynasty
1417,PG24316,花間集,"Zhao, Chongzuo, active 934-965",,,['zh'],54,"'Ci (Chinese poetry)', 'Chinese poetry -- Five dynasties and the Ten kingdoms, 907-979', 'Chinese poetry -- Tang dynasty, 618-907'",Text,'Ci (Chinese poetry)'
1418,PG24316,花間集,"Zhao, Chongzuo, active 934-965",,,['zh'],54,"'Ci (Chinese poetry)', 'Chinese poetry -- Five dynasties and the Ten kingdoms, 907-979', 'Chinese poetry -- Tang dynasty, 618-907'",Text,'Chinese poetry -- Five dynasties and the Ten kingdoms
1419,PG24316,花間集,"Zhao, Chongzuo, active 934-965",,,['zh'],54,"'Ci (Chinese poetry)', 'Chinese poetry -- Five dynasties and the Ten kingdoms, 907-979', 'Chinese poetry -- Tang dynasty, 618-907'",Text,'Chinese poetry -- Tang dynasty
1458,PG24733,辛棄疾詞選,"Xin, Qiji",1140.0,1207.0,['zh'],42,"'Chinese poetry -- Song dynasty, 960-1279', 'Ci (Chinese poetry)'",Text,'Chinese poetry -- Song dynasty
1459,PG24733,辛棄疾詞選,"Xin, Qiji",1140.0,1207.0,['zh'],42,"'Chinese poetry -- Song dynasty, 960-1279', 'Ci (Chinese poetry)'",Text,'Ci (Chinese poetry)'
1497,PG25121,花外集,"Wang, Yisun",,,['zh'],28,"'Chinese poetry -- Song dynasty, 960-1279', 'Ci (Chinese poetry)'",Text,'Chinese poetry -- Song dynasty
1498,PG25121,花外集,"Wang, Yisun",,,['zh'],28,"'Chinese poetry -- Song dynasty, 960-1279', 'Ci (Chinese poetry)'",Text,'Ci (Chinese poetry)'
1500,PG25194,飲水詞集,"Nalan, Xingde",1655.0,1685.0,['zh'],43,"'Ci (Chinese poetry)', 'Chinese poetry -- Qing dynasty, 1644-1912'",Text,'Ci (Chinese poetry)'
1501,PG25194,飲水詞集,"Nalan, Xingde",1655.0,1685.0,['zh'],43,"'Ci (Chinese poetry)', 'Chinese poetry -- Qing dynasty, 1644-1912'",Text,'Chinese poetry -- Qing dynasty
1503,PG25218,六一詞,"Ouyang, Xiu",1007.0,1072.0,['zh'],47,'Ci (Chinese poetry)',Text,'Ci (Chinese poetry)'
1504,PG25228,樂章集,"Liu, Yong, jin shi 1034",,,['zh'],57,'Ci (Chinese poetry)',Text,'Ci (Chinese poetry)'
1507,PG25247,李義山詩集,"Li, Shangyin",813.0,858.0,['zh'],40,"'Chinese poetry -- Tang dynasty, 618-907'",Text,'Chinese poetry -- Tang dynasty
1509,PG25289,滄浪詩話,"Yan, Yu, active 12th century",,,['zh'],33,'Chinese poetry -- History and criticism',Text,'Chinese poetry -- History and criticism'
1513,PG25324,玉台新詠,,,,['zh'],70,"'Chinese poetry -- Qin and Han dynasties, 221 B.C.-220 A.D.', 'Chinese poetry -- 220-589'",Text,'Chinese poetry -- Qin and Han dynasties
1514,PG25324,玉台新詠,,,,['zh'],70,"'Chinese poetry -- Qin and Han dynasties, 221 B.C.-220 A.D.', 'Chinese poetry -- 220-589'",Text,'Chinese poetry -- 220-589'
1516,PG25352,長恨歌,"Bai, Juyi",772.0,846.0,['zh'],120,"'Yang, gui fei, 719-756 -- Poetry', 'Chinese poetry', 'Tang Xuanzong, Emperor of China, 685-762 -- Poetry'",Text,719-756 -- Poetry'
