,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
10,PG1000,La Divina Commedia di Dante: Complete,Dante Alighieri,1265.0,1321.0,['it'],788,"'Epic poetry, Italian', 'Italian poetry -- To 1400'",Text,'Epic poetry
10,PG1000,La Divina Commedia di Dante: Complete,Dante Alighieri,1265.0,1321.0,['it'],788,"'Epic poetry, Italian', 'Italian poetry -- To 1400'",Text,'Italian poetry -- To 1400'
21,PG1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],3277,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Hell -- Poetry'
21,PG1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],3277,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
21,PG1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],3277,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
32,PG1002,"Divine Comedy, Longfellow's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],275,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
32,PG1002,"Divine Comedy, Longfellow's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],275,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
34,PG10031,The Complete Poetical Works of Edgar Allan Poe: Including Essays on Poetry,"Poe, Edgar Allan",1809.0,1849.0,['en'],976,"'Fantasy poetry, American'",Text,'Fantasy poetry
43,PG1003,"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],266,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
43,PG1003,"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],266,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
54,PG1004,"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],1235,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
54,PG1004,"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],1235,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
65,PG1005,"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],60,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Hell -- Poetry'
65,PG1005,"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],60,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
65,PG1005,"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],60,"'Hell -- Poetry', 'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
67,PG10061,Les Heures Claires,"Verhaeren, Emile",1855.0,1916.0,['fr'],20,'Belgian poetry (French)',Text,'Belgian poetry (French)'
76,PG1006,"Divine Comedy, Cary's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],65,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
76,PG1006,"Divine Comedy, Cary's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],65,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
87,PG1007,"Divine Comedy, Cary's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],61,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
87,PG1007,"Divine Comedy, Cary's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],61,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
97,PG10089,Elves and Heroes,"Mackenzie, Donald A. (Donald Alexander)",1873.0,1936.0,['en'],69,"'Ossian, active 3rd century', 'Fairy poetry', 'Scottish poetry'",Text,'Fairy poetry'
97,PG10089,Elves and Heroes,"Mackenzie, Donald A. (Donald Alexander)",1873.0,1936.0,['en'],69,"'Ossian, active 3rd century', 'Fairy poetry', 'Scottish poetry'",Text,'Scottish poetry'
98,PG1008,"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],308,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Italian poetry -- To 1400 -- Translations into English'
98,PG1008,"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],308,"'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'",Text,'Epic poetry
109,PG1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,1265.0,1321.0,['it'],87,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Epic poetry
109,PG1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,1265.0,1321.0,['it'],87,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Hell -- Poetry'
109,PG1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,1265.0,1321.0,['it'],87,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Italian poetry -- To 1400'
121,PG1010,La Divina Commedia di Dante: Purgatorio,Dante Alighieri,1265.0,1321.0,['it'],54,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Epic poetry
121,PG1010,La Divina Commedia di Dante: Purgatorio,Dante Alighieri,1265.0,1321.0,['it'],54,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Hell -- Poetry'
121,PG1010,La Divina Commedia di Dante: Purgatorio,Dante Alighieri,1265.0,1321.0,['it'],54,"'Epic poetry, Italian', 'Hell -- Poetry', 'Italian poetry -- To 1400'",Text,'Italian poetry -- To 1400'
131,PG10119,Adonais,"Shelley, Percy Bysshe",1792.0,1822.0,['en'],297,"'Shelley, Percy Bysshe, 1792-1822 -- Criticism and interpretation', 'Keats, John, 1795-1821 -- Poetry'",Text,1795-1821 -- Poetry'
132,PG1011,La Divina Commedia di Dante: Paradiso,Dante Alighieri,1265.0,1321.0,['it'],137,"'Epic poetry, Italian', 'Italian poetry -- To 1400'",Text,'Epic poetry
132,PG1011,La Divina Commedia di Dante: Paradiso,Dante Alighieri,1265.0,1321.0,['it'],137,"'Epic poetry, Italian', 'Italian poetry -- To 1400'",Text,'Italian poetry -- To 1400'
135,PG10122,Fairies and Fusiliers,"Graves, Robert",1895.0,1985.0,['en'],146,"'World War, 1914-1918 -- Poetry', 'War poetry, English'",Text,1914-1918 -- Poetry'
