,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by hekula03, David E. Brown, and the Online"
5,,Distributed Proofreading Team at http://www.pgdp.net (This
6,,book was produced from images made available by the
7,,HathiTrust Digital Library.)
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,FIGURES IN VERSE,FIGURES IN VERSE
18,FIGURES IN VERSE,
19,AND,AND
20,AND,
21,"SIMPLE RHYMES,","SIMPLE RHYMES,"
22,"SIMPLE RHYMES,",
23,FOR,FOR
24,FOR,
25,LITTLE LEARNERS.,LITTLE LEARNERS.
26,LITTLE LEARNERS.,
27,LITTLE LEARNERS.,[Illustration]
28,LITTLE LEARNERS.,
29,NEW YORK:,NEW YORK:
30,"KIGGINS & KELLOGG,","KIGGINS & KELLOGG,"
31,88 JOHN STREET.,88 JOHN STREET.
32,88 JOHN STREET.,
33,88 JOHN STREET.,
34,88 JOHN STREET.,
35,88 JOHN STREET.,
36,88 JOHN STREET.,[Illustration]
37,88 JOHN STREET.,
38,88 JOHN STREET.,
39,88 JOHN STREET.,
40,88 JOHN STREET.,
41,"FIGURES IN VERSE,","FIGURES IN VERSE,"
42,"FIGURES IN VERSE,",
43,AND,AND
44,AND,
45,SIMPLE RHYMES.,SIMPLE RHYMES.
46,SIMPLE RHYMES.,
47,SIMPLE RHYMES.,[Illustration]
48,SIMPLE RHYMES.,
49,SIMPLE RHYMES.,
50,SIMPLE RHYMES.,"1, 2,"
51,SIMPLE RHYMES.,"One, Two,"
52,I. II.,I. II.
53,I. II.,Fasten my shoe.
54,I. II.,
55,I. II.,"3, 4,"
56,I. II.,"Three, Four,"
57,III. IV.,III. IV.
58,III. IV.,Shut the door.
59,III. IV.,
60,III. IV.,"5, 6,"
61,III. IV.,"Five, Six,"
62,V. VI.,V. VI.
63,V. VI.,Pick up sticks.
64,V. VI.,
65,V. VI.,[Illustration]
66,V. VI.,
67,V. VI.,"7, 8,"
68,V. VI.,"Seven, Eight,"
69,VII. VIII.,VII. VIII.
70,VII. VIII.,Lay them straight.
71,VII. VIII.,
72,VII. VIII.,"9, 10,"
73,VII. VIII.,"Nine, Ten,"
74,IX. X.,IX. X.
75,IX. X.,A good fat hen.
76,IX. X.,
77,IX. X.,[Illustration]
78,IX. X.,
79,IX. X.,"11, 12,"
80,IX. X.,"Eleven, Twelve,"
81,XI. XII.,XI. XII.
82,XI. XII.,Who will delve.
83,XI. XII.,
84,XI. XII.,"13, 14,"
85,XI. XII.,"Thirteen, Fourteen,"
86,XIII. XIV.,XIII. XIV.
87,XIII. XIV.,Clerks reporting.
88,XIII. XIV.,
89,XIII. XIV.,"15, 16,"
90,XIII. XIV.,"Fifteen, Sixteen,"
91,XV. XVI.,XV. XVI.
92,XV. XVI.,Kate’s a vixen.
93,XV. XVI.,
94,XV. XVI.,"17, 18,"
