,Poem Title,line
0,,
1,,
2,,
3,,
4,SIMPLE POEMS,SIMPLE POEMS
5,SIMPLE POEMS,
6,FOR,FOR
7,FOR,
8,INFANT MINDS.,INFANT MINDS.
9,INFANT MINDS.,
10,INFANT MINDS.,[Illustration]
11,INFANT MINDS.,
12,NEW YORK:,NEW YORK:
13,"KIGGINS & KELLOGG,","KIGGINS & KELLOGG,"
14,"KIGGINS & KELLOGG,",123 & 125 William St.
15,"KIGGINS & KELLOGG,",
16,"KIGGINS & KELLOGG,",[Illustration]
17,"KIGGINS & KELLOGG,",
18,"KIGGINS & KELLOGG,",
19,"KIGGINS & KELLOGG,",
20,"KIGGINS & KELLOGG,",
21,"SIMPLE POEMS,","SIMPLE POEMS,"
22,"SIMPLE POEMS,",
23,FOR INFANT MINDS.,FOR INFANT MINDS.
24,FOR INFANT MINDS.,
25,FOR INFANT MINDS.,
26,FOR INFANT MINDS.,[Illustration]
27,FOR INFANT MINDS.,
28,FOR INFANT MINDS.,
29,FOR INFANT MINDS.,
30,FOR INFANT MINDS.,
31,THE SAIL-BOAT.,THE SAIL-BOAT.
32,THE SAIL-BOAT.,
33,THE SAIL-BOAT.,
34,THE SAIL-BOAT.,"Oh, see our little boat,"
35,THE SAIL-BOAT.,How prettily it glides;
36,THE SAIL-BOAT.,"Like a bird it seems to float,"
37,THE SAIL-BOAT.,"Press’d forward by the tides,"
38,THE SAIL-BOAT.,By the tides.
39,THE SAIL-BOAT.,
40,THE SAIL-BOAT.,"The sky is shining brightly,"
41,THE SAIL-BOAT.,"The fishes dart below,"
42,THE SAIL-BOAT.,While our little boat so lightly
43,THE SAIL-BOAT.,Leaps onward as we go--
44,THE SAIL-BOAT.,As we go.
45,THE SAIL-BOAT.,
46,THE SAIL-BOAT.,"I would like to be a boat,"
47,THE SAIL-BOAT.,And live upon the sea;
48,THE SAIL-BOAT.,"So merrily I’d float,"
49,THE SAIL-BOAT.,With naught to trouble me--
50,THE SAIL-BOAT.,Trouble me.
51,THE SAIL-BOAT.,
52,THE SAIL-BOAT.,"But should a storm come near,"
53,THE SAIL-BOAT.,"And fill me with alarms,"
54,THE SAIL-BOAT.,I would row to mother dear--
55,THE SAIL-BOAT.,"My boat should be her arms,"
56,THE SAIL-BOAT.,Mother’s arms.
57,THE SAIL-BOAT.,
58,THE SAIL-BOAT.,[Illustration]
59,THE SAIL-BOAT.,
60,THE SAIL-BOAT.,
61,THE SAIL-BOAT.,
62,THE SAIL-BOAT.,
63,A LITTLE STORY.,A LITTLE STORY.
64,A LITTLE STORY.,
65,A LITTLE STORY.,
66,A LITTLE STORY.,"I will write a little story,"
67,A LITTLE STORY.,About a little boy;
68,A LITTLE STORY.,"He is his father’s comfort,"
69,A LITTLE STORY.,He is his mother’s joy.
70,A LITTLE STORY.,
71,A LITTLE STORY.,"When we give a little errand,"
