,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by hekula03, Charlie Howard, and the Online"
5,,Distributed Proofreading Team at https://www.pgdp.net (This
6,,book was produced from images made available by the
7,,HathiTrust Digital Library.)
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,Transcriber’s Note
18,,
19,,Table of Contents added by Transcriber.
20,,
21,,
22,,
23,,
24,ANTHOLOGY OF,ANTHOLOGY OF
25,MAGAZINE VERSE,MAGAZINE VERSE
26,FOR 1913,FOR 1913
27,FOR 1913,
28,FOR 1913,
29,FOR 1913,_Including the Magazines
30,FOR 1913,and the Poets_  *.*  _A Review_
31,FOR 1913,
32,BY,BY
33,WILLIAM STANLEY BRAITHWAITE,WILLIAM STANLEY BRAITHWAITE
34,WILLIAM STANLEY BRAITHWAITE,
35,WILLIAM STANLEY BRAITHWAITE,"_Author of “The House of Falling Leaves,”"
36,WILLIAM STANLEY BRAITHWAITE,"“The Book of Elizabethan Verse,” etc._"
37,WILLIAM STANLEY BRAITHWAITE,
38,WILLIAM STANLEY BRAITHWAITE,
39,WILLIAM STANLEY BRAITHWAITE,*.*
40,WILLIAM STANLEY BRAITHWAITE,
41,WILLIAM STANLEY BRAITHWAITE,
42,ISSUED BY,ISSUED BY
43,W. S. B.,W. S. B.
44,"CAMBRIDGE, MASSACHUSETTS","CAMBRIDGE, MASSACHUSETTS"
45,"CAMBRIDGE, MASSACHUSETTS",
46,"CAMBRIDGE, MASSACHUSETTS",
47,"CAMBRIDGE, MASSACHUSETTS",
48,"CAMBRIDGE, MASSACHUSETTS",
49,"COPYRIGHT 1913, BY","COPYRIGHT 1913, BY"
50,WILLIAM STANLEY BRAITHWAITE,WILLIAM STANLEY BRAITHWAITE
51,WILLIAM STANLEY BRAITHWAITE,
52,WILLIAM STANLEY BRAITHWAITE,
53,WILLIAM STANLEY BRAITHWAITE,"Thomas Todd Co., Printers"
54,WILLIAM STANLEY BRAITHWAITE,"14 Beacon Street, Boston, Mass."
55,WILLIAM STANLEY BRAITHWAITE,
56,WILLIAM STANLEY BRAITHWAITE,
57,WILLIAM STANLEY BRAITHWAITE,
58,WILLIAM STANLEY BRAITHWAITE,
59,TO THE POETS OF AMERICA,TO THE POETS OF AMERICA
60,SINGING TODAY,SINGING TODAY
61,THE SOUL OF THEIR COUNTRY,THE SOUL OF THEIR COUNTRY
62,"TRUTH, BEAUTY, BROTHERHOOD","TRUTH, BEAUTY, BROTHERHOOD"
63,THEIR NAMES ARE TORCHES,THEIR NAMES ARE TORCHES
64,THEIR NAMES ARE TORCHES,
65,THEIR NAMES ARE TORCHES,
66,THEIR NAMES ARE TORCHES,
67,THEIR NAMES ARE TORCHES,
68,CONTENTS,CONTENTS
69,CONTENTS,
70,CONTENTS,
71,PAGE,PAGE
72,PAGE,Introduction                                                         v
73,PAGE,
