,Poem Title,line
0,,
1,,
2,,
3,,
4,,
5,CHILDHOOD’S,CHILDHOOD’S
6,HAPPY HOME,HAPPY HOME
7,AND,AND
8,OTHER VERSES,OTHER VERSES
9,OTHER VERSES,
10,OTHER VERSES,
11,OTHER VERSES,[Illustration: [Girl]]
12,OTHER VERSES,
13,LEMUEL KAYHART,LEMUEL KAYHART
14,LEMUEL KAYHART,
15,LEMUEL KAYHART,
16,LEMUEL KAYHART,
17,LEMUEL KAYHART,
18,LEMUEL KAYHART,"Copyright, 1921"
19,LEMUEL KAYHART,By LEMUEL KAYHART
20,LEMUEL KAYHART,
21,LEMUEL KAYHART,
22,LEMUEL KAYHART,
23,LEMUEL KAYHART,
24,CHILDHOOD’S HAPPY HOME,CHILDHOOD’S HAPPY HOME
25,CHILDHOOD’S HAPPY HOME,
26,CHILDHOOD’S HAPPY HOME,
27,LEMUEL KAYHART,LEMUEL KAYHART
28,LEMUEL KAYHART,
29,LEMUEL KAYHART,"Oh home, sweet home, my childhood’s home,"
30,LEMUEL KAYHART,"To thee my heart holds near,"
31,LEMUEL KAYHART,"No other place in this wide world,"
32,LEMUEL KAYHART,"To me, is half so dear."
33,LEMUEL KAYHART,
34,LEMUEL KAYHART,"When daisies decked the green clad fields,"
35,LEMUEL KAYHART,"And fragrance filled the air,"
36,LEMUEL KAYHART,"I loved to roam the shady dell,"
37,LEMUEL KAYHART,And never dreamed of care!
38,LEMUEL KAYHART,
39,LEMUEL KAYHART,And when I’d lay my weary head
40,LEMUEL KAYHART,"On mother’s loving breast,"
41,LEMUEL KAYHART,"No mortal danger could I fear,"
42,LEMUEL KAYHART,While there I’d calmly rest.
43,LEMUEL KAYHART,
44,LEMUEL KAYHART,"And when the twilight hours came,"
45,LEMUEL KAYHART,"The stars began to peep,—"
46,LEMUEL KAYHART,She’d take me to my little couch
47,LEMUEL KAYHART,And lay me down to sleep.
48,LEMUEL KAYHART,
49,LEMUEL KAYHART,"And in the morning, when I’d wake,"
50,LEMUEL KAYHART,Oh what heavenly bliss!
51,LEMUEL KAYHART,"She’d take me in her loving arms,"
52,LEMUEL KAYHART,And greet me with a kiss.
53,LEMUEL KAYHART,
54,LEMUEL KAYHART,"But now old age is coming on,"
55,LEMUEL KAYHART,"These locks are turning gray,—"
56,LEMUEL KAYHART,"Like millions passed and gone, I feel"
57,LEMUEL KAYHART,I’m passing fast away.
58,LEMUEL KAYHART,
59,LEMUEL KAYHART,Oh that I were a child again
60,LEMUEL KAYHART,To lean on mother’s breast;
61,LEMUEL KAYHART,"Free from trouble, care and strife"
62,LEMUEL KAYHART,This weary form might rest.
63,LEMUEL KAYHART,
64,LEMUEL KAYHART,"When earth and friends I bid adieu,"
65,LEMUEL KAYHART,"Yon golden streets to roam,—"
66,LEMUEL KAYHART,"I may forget,—but not till then,"
