,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by Jonathan Ingram, Clytie Siddall, Charles Franks"
5,,and the Online Distributed Proofreading Team.
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,THE,THE
17,THE,
18,POETICAL WORKS,POETICAL WORKS
19,POETICAL WORKS,
20,OF,OF
21,OF,
22,"BEATTIE, BLAIR, AND FALCONER.","BEATTIE, BLAIR, AND FALCONER."
23,"BEATTIE, BLAIR, AND FALCONER.",
24,"BEATTIE, BLAIR, AND FALCONER.",
25,"BEATTIE, BLAIR, AND FALCONER.",
26,"BEATTIE, BLAIR, AND FALCONER.",
27,"BEATTIE, BLAIR, AND FALCONER.","With Lives, Critical Dissertations, and Explanatory Notes,"
28,"BEATTIE, BLAIR, AND FALCONER.",
29,"BEATTIE, BLAIR, AND FALCONER.",
30,"BEATTIE, BLAIR, AND FALCONER.",
31,"BEATTIE, BLAIR, AND FALCONER.",
32,"BEATTIE, BLAIR, AND FALCONER.",
33,BY THE,BY THE
34,BY THE,
35,REV. GEORGE GILFILLAN.,REV. GEORGE GILFILLAN.
36,REV. GEORGE GILFILLAN.,
37,REV. GEORGE GILFILLAN.,
38,REV. GEORGE GILFILLAN.,
39,REV. GEORGE GILFILLAN.,
40,REV. GEORGE GILFILLAN.,
41,CONTENTS,CONTENTS
42,CONTENTS,
43,CONTENTS,
44,CONTENTS,Beattie's Poetical Works
45,CONTENTS,The Life and Poetry of James Beattie
46,CONTENTS,"The Minstrel; or, the Progress of Genius"
47,CONTENTS,Miscellaneous Poems
48,CONTENTS,Ode to Hope
49,CONTENTS,Ode to Peace
50,CONTENTS,Ode on Lord Hay's Birthday
51,CONTENTS,The Judgment of Paris
52,CONTENTS,The Triumph of Melancholy
53,CONTENTS,Elegy
54,CONTENTS,"Elegy, written in the year 1758"
55,CONTENTS,Retirement
56,CONTENTS,The Hermit
57,CONTENTS,"On the Report of a Monument to be erected in Westminster Abbey, to"
58,CONTENTS,the Memory of a late Author (Churchill)
59,CONTENTS,The Battle of the Pigmies and Cranes
60,CONTENTS,The Hares. A Fable
61,CONTENTS,The Wolf and Shepherds. A Fable
62,CONTENTS,"Song, in imitation of Shakspeare's ""Blow, blow, thou winter wind"""
63,CONTENTS,"To Lady Charlotte Gordon, dressed in a Tartan Scotch Bonnet, with"
64,CONTENTS,"Plumes, &c"
65,CONTENTS,Epitaph: being part of an Inscription designed for a Monument
66,CONTENTS,erected by a Gentleman to the Memory of his Lady
67,CONTENTS,"Epitaph on Two Young Men of the name of Leitch, who were drowned in"
68,CONTENTS,crossing the River Southesk
69,CONTENTS,"Epitaph, intended for Himself"
70,CONTENTS,
71,CONTENTS,Blair's Poetical Works
72,CONTENTS,The Life of Robert Blair
73,CONTENTS,The Grave
