,Poem Title,line
0,,
1,,
2,,
3,,
4,,Produced by David Widger from page images generously
5,,provided by the Internet Archive
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,PUCK ON PEGASUS,PUCK ON PEGASUS
14,PUCK ON PEGASUS,
15,PUCK ON PEGASUS,By H. Cholmondeley Pennell
16,PUCK ON PEGASUS,
17,PUCK ON PEGASUS,"Illustrated By Leech, Phiz, Portch, and Tenniel"
18,PUCK ON PEGASUS,
19,PUCK ON PEGASUS,With a Frontispiece By George Cruikshank
20,PUCK ON PEGASUS,
21,PUCK ON PEGASUS,Fourth Edition
22,PUCK ON PEGASUS,
23,PUCK ON PEGASUS,"Routledge, Warne, & Routledge:"
24,PUCK ON PEGASUS,
25,PUCK ON PEGASUS,1862.
26,PUCK ON PEGASUS,
27,PUCK ON PEGASUS,
28,PUCK ON PEGASUS,
29,PUCK ON PEGASUS,
30,PUCK ON PEGASUS.,PUCK ON PEGASUS.
31,PUCK ON PEGASUS.,
32,PUCK ON PEGASUS.,
33,PUCK ON PEGASUS.,"""Those that Hobgoblin call you, and swee Puck"
34,PUCK ON PEGASUS.,
35,PUCK ON PEGASUS.,"You do their work, and they shall have good luck,"
36,PUCK ON PEGASUS.,
37,PUCK ON PEGASUS.,"Are not you he?""------"
38,PUCK ON PEGASUS.,
39,PUCK ON PEGASUS.,Midsummer Nights Dream.
40,PUCK ON PEGASUS.,
41,PUCK ON PEGASUS.,
42,PUCK ON PEGASUS.,
43,PUCK ON PEGASUS.,
44,PREFACE TO THE FOURTH EDITION.,PREFACE TO THE FOURTH EDITION.
45,PREFACE TO THE FOURTH EDITION.,
46,PREFACE TO THE FOURTH EDITION.,|The custom of inditing a preface is one which is perhaps more honoured
47,PREFACE TO THE FOURTH EDITION.,"in the breach than in the observance: nevertheless, I cannot allow the"
48,PREFACE TO THE FOURTH EDITION.,present opportunity to pass without returning my hearty thanks and
49,PREFACE TO THE FOURTH EDITION.,"acknowledgments to my Critics, and the Press generally, for the"
50,PREFACE TO THE FOURTH EDITION.,"indulgent consideration I have received at their hands, and for the"
51,PREFACE TO THE FOURTH EDITION.,"discriminating advice, of which, in revising this edition, I have gladly"
52,PREFACE TO THE FOURTH EDITION.,availed myself. Many of the minor pieces-introduced in the first
53,PREFACE TO THE FOURTH EDITION.,"instance principally as vehicles for illustrations have been omitted,"
54,PREFACE TO THE FOURTH EDITION.,and others of a somewhat less trivial character substituted.
55,PREFACE TO THE FOURTH EDITION.,
56,PREFACE TO THE FOURTH EDITION.,"These alterations have, to a certain extent, modified the original"
57,PREFACE TO THE FOURTH EDITION.,"design of the book, as conveyed by its title; but the unexpectedly"
58,PREFACE TO THE FOURTH EDITION.,"flattering reception accorded to the two most serious poems, the ""Night"
59,PREFACE TO THE FOURTH EDITION.,"Mail North,"" and the ""Derby Day,"" (the former haying been quoted at"
