,Poem Title,line
0,,
1,,
2,,
3,,
4,,Produced by David Widger
5,,
6,,
7,,
8,,
9,,
10,THE VISION,THE VISION
11,THE VISION,
12,OF,OF
13,OF,
14,"HELL, PURGATORY, AND PARADISE","HELL, PURGATORY, AND PARADISE"
15,"HELL, PURGATORY, AND PARADISE",
16,"HELL, PURGATORY, AND PARADISE",
17,BY,BY
18,BY,
19,DANTE ALIGHIERI,DANTE ALIGHIERI
20,DANTE ALIGHIERI,
21,DANTE ALIGHIERI,
22,DANTE ALIGHIERI,
23,TRANSLATED BY,TRANSLATED BY
24,TRANSLATED BY,
25,"THE REV. H. F. CARY, M.A.","THE REV. H. F. CARY, M.A."
26,"THE REV. H. F. CARY, M.A.",
27,"THE REV. H. F. CARY, M.A.",
28,"THE REV. H. F. CARY, M.A.",
29,HELL,HELL
30,HELL,
31,OR THE INFERNO,OR THE INFERNO
32,OR THE INFERNO,
33,OR THE INFERNO,
34,OR THE INFERNO,Part 1
35,OR THE INFERNO,
36,OR THE INFERNO,
37,OR THE INFERNO,Cantos 1 - 2
38,OR THE INFERNO,
39,OR THE INFERNO,
40,OR THE INFERNO,
41,CANTO I,CANTO I
42,CANTO I,
43,CANTO I,
44,CANTO I,"IN the midway of this our mortal life,"
45,CANTO I,"I found me in a gloomy wood, astray"
46,CANTO I,Gone from the path direct: and e'en to tell
47,CANTO I,"It were no easy task, how savage wild"
48,CANTO I,"That forest, how robust and rough its growth,"
49,CANTO I,"Which to remember only, my dismay"
50,CANTO I,"Renews, in bitterness not far from death."
51,CANTO I,"Yet to discourse of what there good befell,"
52,CANTO I,All else will I relate discover'd there.
53,CANTO I,"How first I enter'd it I scarce can say,"
54,CANTO I,Such sleepy dullness in that instant weigh'd
55,CANTO I,"My senses down, when the true path I left,"
56,CANTO I,"But when a mountain's foot I reach'd, where clos'd"
57,CANTO I,"The valley, that had pierc'd my heart with dread,"
58,CANTO I,"I look'd aloft, and saw his shoulders broad"
59,CANTO I,"Already vested with that planet's beam,"
60,CANTO I,Who leads all wanderers safe through every way.
61,CANTO I,
62,CANTO I,"Then was a little respite to the fear,"
63,CANTO I,"That in my heart's recesses deep had lain,"
64,CANTO I,"All of that night, so pitifully pass'd:"
65,CANTO I,"And as a man, with difficult short breath,"
66,CANTO I,"Forespent with toiling, 'scap'd from sea to shore,"
67,CANTO I,"Turns to the perilous wide waste, and stands"
68,CANTO I,"At gaze; e'en so my spirit, that yet fail'd"
69,CANTO I,"Struggling with terror, turn'd to view the straits,"
70,CANTO I,That none hath pass'd and liv'd.  My weary frame
71,CANTO I,"After short pause recomforted, again"
72,CANTO I,"I journey'd on over that lonely steep,"
73,CANTO I,
74,CANTO I,The hinder foot still firmer.  Scarce the ascent
75,CANTO I,"Began, when, lo! a panther, nimble, light,"
76,CANTO I,"And cover'd with a speckled skin, appear'd,"
