,Poem Title,line
0,,
1,,
2,,"E-text preparerd by Barbara Tozier, William Flis, and the Project"
3,,Gutenberg Online Distributed Proofreading Team (https://www.pgdp.net)
4,,
5,,
6,,
7,HARRY,HARRY
8,HARRY,
9,HARRY,by
10,HARRY,
11,FANNY WHEELER HART,FANNY WHEELER HART
12,FANNY WHEELER HART,
13,FANNY WHEELER HART,The Author of _Mrs. Jerningham's Journal_
14,FANNY WHEELER HART,
15,FANNY WHEELER HART,Fourth Edition
16,FANNY WHEELER HART,
17,FANNY WHEELER HART,New York
18,FANNY WHEELER HART,Macmillan and Co.
19,FANNY WHEELER HART,
20,FANNY WHEELER HART,1877
21,FANNY WHEELER HART,
22,FANNY WHEELER HART,
23,FANNY WHEELER HART,
24,FANNY WHEELER HART,
25,FANNY WHEELER HART,
26,FANNY WHEELER HART,
27,FANNY WHEELER HART,
28,DEDICATED TO,DEDICATED TO
29,DEDICATED TO,
30,"MENELLA SMEDLEY,","MENELLA SMEDLEY,"
31,"MENELLA SMEDLEY,",
32,AS A TINY TOKEN,AS A TINY TOKEN
33,AS A TINY TOKEN,
34,OF,OF
35,OF,
36,BOUNDLESS LOVE AND ADMIRATION.,BOUNDLESS LOVE AND ADMIRATION.
37,BOUNDLESS LOVE AND ADMIRATION.,
38,BOUNDLESS LOVE AND ADMIRATION.,
39,BOUNDLESS LOVE AND ADMIRATION.,
40,BOUNDLESS LOVE AND ADMIRATION.,
41,HARRY.,HARRY.
42,HARRY.,
43,HARRY.,
44,HARRY.,
45,PART I.,PART I.
46,PART I.,
47,PART I.,
48,PART I.,"Love caught his heart in a lovely surprise,"
49,PART I.,Just the first moment he looked in my eyes:
50,PART I.,"Poor little eyes! by no prescience lit,"
51,PART I.,They saw him three weeks ere I lov'd him one bit.
52,PART I.,
53,PART I.,Fair is the book[1] where we read of a life
54,PART I.,"Born to a throne, taking love for its bliss,"
55,PART I.,Self-reproach wounding the sweet royal wife
56,PART I.,For keeping two years he had asked for as his.
57,PART I.,
58,PART I.,"[Footnote 1: See 'Life of Prince Consort,' vol. i.]"
59,PART I.,
60,PART I.,"So _I_ might suffer a sort of remorse,"
61,PART I.,"Thinking of days that I cared not, yet knew;"
62,PART I.,"Only, he says, ''Tis a matter of course"
63,PART I.,Girls should be woo'd and their lovers should woo.'
64,PART I.,
65,PART I.,"Only, the blossom he stoops not to touch."
66,PART I.,Sparkling with beauty that lies at his feet;
67,PART I.,"Only, the blossom he coveteth much,"
68,PART I.,Is one that shineth as distant as sweet.
69,PART I.,
70,PART I.,"Only, a bird may fly helplessly near,"
71,PART I.,Chirping aloud in a manner too free;
72,PART I.,"Only, the bird he delighteth to hear,"
73,PART I.,Sings from the far-away top of a tree.
74,PART I.,
75,PART I.,"Is it for this he first fancied me, then?"
76,PART I.,"He to whom earth her allegiance brings,"
