,Poem Title,line
0,,
1,,
2,,E-text prepared by Pat Saumell and Chuck Greif
3,,
4,,
5,,
6,OVER HERE,OVER HERE
7,OVER HERE,
8,OVER HERE,by
9,OVER HERE,
10,EDGAR A. GUEST,EDGAR A. GUEST
11,EDGAR A. GUEST,
12,EDGAR A. GUEST,"Author of ""A Heap o' Livin'"" ""Just Folks"""
13,EDGAR A. GUEST,
14,EDGAR A. GUEST,The Reilly & Britton Co.
15,EDGAR A. GUEST,Chicago
16,EDGAR A. GUEST,
17,EDGAR A. GUEST,1918
18,EDGAR A. GUEST,
19,EDGAR A. GUEST,
20,EDGAR A. GUEST,
21,EDGAR A. GUEST,
22,EDGAR A. GUEST,
23,EDGAR A. GUEST,
24,EDGAR A. GUEST,
25,EDGAR A. GUEST,To the Mothers Over Here
26,EDGAR A. GUEST,
27,EDGAR A. GUEST,
28,EDGAR A. GUEST,
29,EDGAR A. GUEST,
30,INDEX,INDEX
31,INDEX,
32,INDEX,"Alarm, The"
33,INDEX,America
34,INDEX,April Thoughts
35,INDEX,As It Looks to the Boy
36,INDEX,"Battle Prayer, A"
37,INDEX,Beautifying the Flag
38,INDEX,"Better Thing, The"
39,INDEX,"Big Deeds, The"
40,INDEX,Bigger Than His Dad
41,INDEX,"Boy Enlists, The"
42,INDEX,"Boy's Adventure, The"
43,INDEX,"Call, The"
44,INDEX,"Call to Service, The"
45,INDEX,"Change, The"
46,INDEX,"Chaplain, The"
47,INDEX,"Christmas, 1918"
48,INDEX,"Christmas Box, The"
49,INDEX,"Christmas Greeting, A"
50,INDEX,"Complacent Slacker, The"
51,INDEX,Constant Beauty
52,INDEX,"Creed, A"
53,INDEX,"Discovery of a Soul, The"
54,INDEX,Do Your All
55,INDEX,Drafted
56,INDEX,Duty
57,INDEX,Easy Service
58,INDEX,Envy
59,INDEX,Everywhere in America
60,INDEX,Exempt
61,INDEX,"Father's Prayer, A"
62,INDEX,"Father's Thoughts, A"
63,INDEX,"Father's Tribute, A"
64,INDEX,"Flag, The"
65,INDEX,"Flag on the Farm, The"
66,INDEX,Fly a Clean Flag
67,INDEX,Follow the Flag
68,INDEX,For Your Boy and Mine
69,INDEX,"Friendly Greeting, The"
70,INDEX,From Laughter to Labor
71,INDEX,"Future, The"
72,INDEX,General Pershing
73,INDEX,"Girl He Left Behind, The"
74,INDEX,"Glory of Age, The"
75,INDEX,"Gold Givers, The"
76,INDEX,Good Luck
77,INDEX,"Good Soldier, A"
78,INDEX,Hate
79,INDEX,Here We Are!
80,INDEX,His Room
81,INDEX,His Santa Claus
82,INDEX,"Honor Roll, The"
83,INDEX,Hope
84,INDEX,I Follow a Famous Father
85,INDEX,Ideals
86,INDEX,If He Should Meet a Mother There
87,INDEX,"Important Thing, The"
88,INDEX,"Joy to Be, The"
89,INDEX,"July the Fourth, 1917"
